ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,perc_diff
Regionali Speciali,Casalfiumanese,Bologna,Emilia-Romagna,1320,1371,2691,29.69,60.39,799,2024-11-17,19:00,1,-30.7
Regionali Speciali,Casalfiumanese,Bologna,Emilia-Romagna,1320,1371,2691,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Casalfiumanese,Bologna,Emilia-Romagna,1320,1371,2691,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castel D'Aiano,Bologna,Emilia-Romagna,820,865,1685,13.23,23.77,223,2024-11-17,12:00,0,-10.54
Regionali Speciali,Castel D'Aiano,Bologna,Emilia-Romagna,820,865,1685,31.93,61.14,538,2024-11-17,19:00,1,-29.21
Regionali Speciali,Castel D'Aiano,Bologna,Emilia-Romagna,820,865,1685,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castel D'Aiano,Bologna,Emilia-Romagna,820,865,1685,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castel Del Rio,Bologna,Emilia-Romagna,497,505,1002,11.18,27.09,112,2024-11-17,12:00,0,-15.91
Regionali Speciali,Castel Del Rio,Bologna,Emilia-Romagna,497,505,1002,27.15,58.39,272,2024-11-17,19:00,1,-31.24
Regionali Speciali,Castel Del Rio,Bologna,Emilia-Romagna,497,505,1002,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castel Del Rio,Bologna,Emilia-Romagna,497,505,1002,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castel Di Casio,Bologna,Emilia-Romagna,1441,1414,2855,11.17,23.94,319,2024-11-17,12:00,0,-12.77
Regionali Speciali,Castel Di Casio,Bologna,Emilia-Romagna,1441,1414,2855,31.84,62.55,909,2024-11-17,19:00,1,-30.71
Regionali Speciali,Castel Di Casio,Bologna,Emilia-Romagna,1441,1414,2855,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castel Di Casio,Bologna,Emilia-Romagna,1441,1414,2855,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castel Guelfo Di Bologna,Bologna,Emilia-Romagna,1802,1806,3608,12.39,25.46,447,2024-11-17,12:00,0,-13.07
Regionali Speciali,Castel Guelfo Di Bologna,Bologna,Emilia-Romagna,1802,1806,3608,33.43,59.84,1206,2024-11-17,19:00,1,-26.41
Regionali Speciali,Castel Guelfo Di Bologna,Bologna,Emilia-Romagna,1802,1806,3608,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castel Guelfo Di Bologna,Bologna,Emilia-Romagna,1802,1806,3608,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castello D'Argile,Bologna,Emilia-Romagna,2548,2656,5204,11.26,22.17,586,2024-11-17,12:00,0,-10.91
Regionali Speciali,Castello D'Argile,Bologna,Emilia-Romagna,2548,2656,5204,33.13,62.52,1724,2024-11-17,19:00,1,-29.39
Regionali Speciali,Castello D'Argile,Bologna,Emilia-Romagna,2548,2656,5204,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castello D'Argile,Bologna,Emilia-Romagna,2548,2656,5204,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castel Maggiore,Bologna,Emilia-Romagna,7714,7195,14909,13.55,24.96,2020,2024-11-17,12:00,0,-11.41
Regionali Speciali,Castel Maggiore,Bologna,Emilia-Romagna,7714,7195,14909,38.01,66.27,5667,2024-11-17,19:00,1,-28.26
Regionali Speciali,Castel Maggiore,Bologna,Emilia-Romagna,7714,7195,14909,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castel Maggiore,Bologna,Emilia-Romagna,7714,7195,14909,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castel San Pietro Terme,Bologna,Emilia-Romagna,8745,8303,17048,12.19,22.45,2079,2024-11-17,12:00,0,-10.26
Regionali Speciali,Castel San Pietro Terme,Bologna,Emilia-Romagna,8745,8303,17048,34.96,60.67,5960,2024-11-17,19:00,1,-25.71
Regionali Speciali,Castel San Pietro Terme,Bologna,Emilia-Romagna,8745,8303,17048,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castel San Pietro Terme,Bologna,Emilia-Romagna,8745,8303,17048,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castenaso,Bologna,Emilia-Romagna,6813,6444,13257,14.25,27.58,1889,2024-11-17,12:00,0,-13.33
Regionali Speciali,Castenaso,Bologna,Emilia-Romagna,6813,6444,13257,38.73,66.69,5134,2024-11-17,19:00,1,-27.96
Regionali Speciali,Castenaso,Bologna,Emilia-Romagna,6813,6444,13257,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castenaso,Bologna,Emilia-Romagna,6813,6444,13257,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Castiglione Dei Pepoli,Bologna,Emilia-Romagna,2187,2260,4447,11.15,23.77,496,2024-11-17,12:00,0,-12.62
Regionali Speciali,Castiglione Dei Pepoli,Bologna,Emilia-Romagna,2187,2260,4447,32.34,63.05,1438,2024-11-17,19:00,1,-30.71
Regionali Speciali,Castiglione Dei Pepoli,Bologna,Emilia-Romagna,2187,2260,4447,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Castiglione Dei Pepoli,Bologna,Emilia-Romagna,2187,2260,4447,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Crevalcore,Bologna,Emilia-Romagna,5496,5406,10902,12.91,26.09,1407,2024-11-17,12:00,0,-13.18
Regionali Speciali,Crevalcore,Bologna,Emilia-Romagna,5496,5406,10902,33.02,61.87,3600,2024-11-17,19:00,1,-28.85
Regionali Speciali,Crevalcore,Bologna,Emilia-Romagna,5496,5406,10902,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Crevalcore,Bologna,Emilia-Romagna,5496,5406,10902,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Dozza,Bologna,Emilia-Romagna,2673,2650,5323,11.63,25.29,619,2024-11-17,12:00,0,-13.66
Regionali Speciali,Dozza,Bologna,Emilia-Romagna,2673,2650,5323,29.91,59.37,1592,2024-11-17,19:00,1,-29.46
Regionali Speciali,Dozza,Bologna,Emilia-Romagna,2673,2650,5323,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Dozza,Bologna,Emilia-Romagna,2673,2650,5323,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Fontanelice,Bologna,Emilia-Romagna,747,763,1510,15.1,26.03,228,2024-11-17,12:00,0,-10.93
Regionali Speciali,Fontanelice,Bologna,Emilia-Romagna,747,763,1510,30.73,62.22,464,2024-11-17,19:00,1,-31.49
Regionali Speciali,Fontanelice,Bologna,Emilia-Romagna,747,763,1510,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Fontanelice,Bologna,Emilia-Romagna,747,763,1510,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Gaggio Montano,Bologna,Emilia-Romagna,2002,1971,3973,10.67,22.8,424,2024-11-17,12:00,0,-12.13
Regionali Speciali,Gaggio Montano,Bologna,Emilia-Romagna,2002,1971,3973,28.9,61.07,1148,2024-11-17,19:00,1,-32.17
Regionali Speciali,Gaggio Montano,Bologna,Emilia-Romagna,2002,1971,3973,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Gaggio Montano,Bologna,Emilia-Romagna,2002,1971,3973,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Galliera,Bologna,Emilia-Romagna,2020,2068,4088,10.57,22.81,432,2024-11-17,12:00,0,-12.24
Regionali Speciali,Galliera,Bologna,Emilia-Romagna,2020,2068,4088,31.14,58.69,1273,2024-11-17,19:00,1,-27.55
Regionali Speciali,Galliera,Bologna,Emilia-Romagna,2020,2068,4088,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Galliera,Bologna,Emilia-Romagna,2020,2068,4088,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Granarolo Dell'Emilia,Bologna,Emilia-Romagna,5271,5035,10306,13.24,26.53,1365,2024-11-17,12:00,0,-13.29
Regionali Speciali,Granarolo Dell'Emilia,Bologna,Emilia-Romagna,5271,5035,10306,36.81,65.21,3794,2024-11-17,19:00,1,-28.4
Regionali Speciali,Granarolo Dell'Emilia,Bologna,Emilia-Romagna,5271,5035,10306,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Granarolo Dell'Emilia,Bologna,Emilia-Romagna,5271,5035,10306,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Grizzana Morandi,Bologna,Emilia-Romagna,1604,1671,3275,11.39,26.14,373,2024-11-17,12:00,0,-14.75
Regionali Speciali,Grizzana Morandi,Bologna,Emilia-Romagna,1604,1671,3275,29.53,63.16,967,2024-11-17,19:00,1,-33.63
Regionali Speciali,Grizzana Morandi,Bologna,Emilia-Romagna,1604,1671,3275,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Grizzana Morandi,Bologna,Emilia-Romagna,1604,1671,3275,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Imola,Bologna,Emilia-Romagna,28721,26974,55695,12.58,25.54,7008,2024-11-17,12:00,0,-12.96
Regionali Speciali,Imola,Bologna,Emilia-Romagna,28721,26974,55695,33.63,60.91,18732,2024-11-17,19:00,1,-27.28
