Comune,Candidate,Total_Votes,Percentage
IMOLA,BORGONZONI LUCIA,Eletto cons.,0%
IMOLA,N/A,0,0%
IMOLA,N/A,0,0%
IMOLA,N/A,0,0%
IMOLA,N/A,0,0%
IMOLA,N/A,0,0%
IMOLA,N/A,Totale coalizione,0%
IMOLA,BENINI SIMONE,0,0%
IMOLA,N/A,0,0%
IMOLA,COLLOT MARTA,0,0%
IMOLA,N/A,0,0%
IMOLA,BERGAMINI LAURA,0,0%
IMOLA,N/A,0,0%
IMOLA,BATTAGLIA DOMENICO,0,0%
IMOLA,N/A,0,0%
IMOLA,LUGLI STEFANO,0,0%
IMOLA,N/A,0,0%
IMOLA,N/A,0,37.542
IMOLA,N/A,0,35.022
LIZZANO IN BELVEDERE,BORGONZONI LUCIA,Eletto cons.,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,Totale coalizione,0%
LIZZANO IN BELVEDERE,BONACCINI STEFANO,Eletto pres.,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,Totale coalizione,0%
LIZZANO IN BELVEDERE,BENINI SIMONE,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,BATTAGLIA DOMENICO,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,COLLOT MARTA,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,BERGAMINI LAURA,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,LUGLI STEFANO,0,0%
LIZZANO IN BELVEDERE,N/A,0,0%
LIZZANO IN BELVEDERE,N/A,0,1.285
LIZZANO IN BELVEDERE,N/A,0,1.212
LOIANO,BONACCINI STEFANO,Eletto pres.,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,Totale coalizione,0%
LOIANO,BORGONZONI LUCIA,Eletto cons.,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,Totale coalizione,0%
LOIANO,BENINI SIMONE,0,0%
LOIANO,N/A,0,0%
LOIANO,BATTAGLIA DOMENICO,0,0%
LOIANO,N/A,0,0%
LOIANO,COLLOT MARTA,0,0%
LOIANO,N/A,0,0%
LOIANO,BERGAMINI LAURA,0,0%
LOIANO,N/A,0,0%
LOIANO,LUGLI STEFANO,0,0%
LOIANO,N/A,0,0%
LOIANO,N/A,0,2.337
LOIANO,N/A,0,2.168
MALALBERGO,BORGONZONI LUCIA,Eletto cons.,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,Totale coalizione,0%
MALALBERGO,BONACCINI STEFANO,Eletto pres.,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,Totale coalizione,0%
MALALBERGO,BENINI SIMONE,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,BERGAMINI LAURA,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,COLLOT MARTA,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,BATTAGLIA DOMENICO,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,LUGLI STEFANO,0,0%
MALALBERGO,N/A,0,0%
MALALBERGO,N/A,0,4.715
MALALBERGO,N/A,0,4.401
MARZABOTTO,BONACCINI STEFANO,Eletto pres.,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,Totale coalizione,0%
MARZABOTTO,BORGONZONI LUCIA,Eletto cons.,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,Totale coalizione,0%
MARZABOTTO,BENINI SIMONE,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,BATTAGLIA DOMENICO,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,COLLOT MARTA,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,BERGAMINI LAURA,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,LUGLI STEFANO,0,0%
MARZABOTTO,N/A,0,0%
MARZABOTTO,N/A,0,3.715
MARZABOTTO,N/A,0,3.509
MEDICINA,BONACCINI STEFANO,Eletto pres.,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,Totale coalizione,0%
MEDICINA,BORGONZONI LUCIA,Eletto cons.,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,Totale coalizione,0%
MEDICINA,BENINI SIMONE,0,0%
MEDICINA,N/A,0,0%
MEDICINA,BERGAMINI LAURA,0,0%
MEDICINA,N/A,0,0%
MEDICINA,COLLOT MARTA,0,0%
MEDICINA,N/A,0,0%
MEDICINA,BATTAGLIA DOMENICO,0,0%
MEDICINA,N/A,0,0%
MEDICINA,LUGLI STEFANO,0,0%
MEDICINA,N/A,0,0%
MEDICINA,N/A,0,8.900
MEDICINA,N/A,0,8.346
MINERBIO,BONACCINI STEFANO,Eletto pres.,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,Totale coalizione,0%
MINERBIO,BORGONZONI LUCIA,Eletto cons.,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,Totale coalizione,0%
MINERBIO,BENINI SIMONE,0,0%
MINERBIO,N/A,0,0%
MINERBIO,BATTAGLIA DOMENICO,0,0%
MINERBIO,N/A,0,0%
MINERBIO,BERGAMINI LAURA,0,0%
MINERBIO,N/A,0,0%
MINERBIO,COLLOT MARTA,0,0%
MINERBIO,N/A,0,0%
MINERBIO,LUGLI STEFANO,0,0%
MINERBIO,N/A,0,0%
MINERBIO,N/A,0,4.768
MINERBIO,N/A,0,4.367
MOLINELLA,BORGONZONI LUCIA,Eletto cons.,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,Totale coalizione,0%
MOLINELLA,BONACCINI STEFANO,Eletto pres.,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,Totale coalizione,0%
MOLINELLA,BENINI SIMONE,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,BERGAMINI LAURA,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,BATTAGLIA DOMENICO,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,COLLOT MARTA,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,LUGLI STEFANO,0,0%
MOLINELLA,N/A,0,0%
MOLINELLA,N/A,0,7.981
MOLINELLA,N/A,0,7.245
MONGHIDORO,BORGONZONI LUCIA,Eletto cons.,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,Totale coalizione,0%
MONGHIDORO,BONACCINI STEFANO,Eletto pres.,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,Totale coalizione,0%
MONGHIDORO,BENINI SIMONE,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,BERGAMINI LAURA,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,COLLOT MARTA,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,BATTAGLIA DOMENICO,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,LUGLI STEFANO,0,0%
MONGHIDORO,N/A,0,0%
MONGHIDORO,N/A,0,2.010
MONGHIDORO,N/A,0,1.891
MONTE SAN PIETRO,BONACCINI STEFANO,Eletto pres.,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,Totale coalizione,0%
MONTE SAN PIETRO,BORGONZONI LUCIA,Eletto cons.,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,Totale coalizione,0%
MONTE SAN PIETRO,BENINI SIMONE,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,BERGAMINI LAURA,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,BATTAGLIA DOMENICO,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,COLLOT MARTA,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,LUGLI STEFANO,0,0%
MONTE SAN PIETRO,N/A,0,0%
MONTE SAN PIETRO,N/A,0,6.562
MONTE SAN PIETRO,N/A,0,6.122
MONTERENZIO,BONACCINI STEFANO,Eletto pres.,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,Totale coalizione,0%
MONTERENZIO,BORGONZONI LUCIA,Eletto cons.,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,Totale coalizione,0%
MONTERENZIO,BENINI SIMONE,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,BERGAMINI LAURA,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,BATTAGLIA DOMENICO,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,COLLOT MARTA,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,LUGLI STEFANO,0,0%
MONTERENZIO,N/A,0,0%
MONTERENZIO,N/A,0,3.069
MONTERENZIO,N/A,0,2.852
MONZUNO,BONACCINI STEFANO,Eletto pres.,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,Totale coalizione,0%
MONZUNO,BORGONZONI LUCIA,Eletto cons.,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,Totale coalizione,0%
MONZUNO,BENINI SIMONE,0,0%
MONZUNO,N/A,0,0%
MONZUNO,BERGAMINI LAURA,0,0%
MONZUNO,N/A,0,0%
MONZUNO,COLLOT MARTA,0,0%
MONZUNO,N/A,0,0%
MONZUNO,BATTAGLIA DOMENICO,0,0%
MONZUNO,N/A,0,0%
MONZUNO,LUGLI STEFANO,0,0%
MONZUNO,N/A,0,0%
MONZUNO,N/A,0,3.335
MONZUNO,N/A,0,3.135
MORDANO,BONACCINI STEFANO,Eletto pres.,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,Totale coalizione,0%
MORDANO,BORGONZONI LUCIA,Eletto cons.,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,Totale coalizione,0%
MORDANO,BENINI SIMONE,0,0%
MORDANO,N/A,0,0%
MORDANO,BERGAMINI LAURA,0,0%
MORDANO,N/A,0,0%
MORDANO,BATTAGLIA DOMENICO,0,0%
MORDANO,N/A,0,0%
MORDANO,LUGLI STEFANO,0,0%
MORDANO,N/A,0,0%
MORDANO,COLLOT MARTA,0,0%
MORDANO,N/A,0,0%
MORDANO,N/A,0,2.572
MORDANO,N/A,0,2.409
OZZANO DELL'EMILIA,BONACCINI STEFANO,Eletto pres.,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,Totale coalizione,0%
OZZANO DELL'EMILIA,BORGONZONI LUCIA,Eletto cons.,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,Totale coalizione,0%
OZZANO DELL'EMILIA,BENINI SIMONE,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,BERGAMINI LAURA,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,BATTAGLIA DOMENICO,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,COLLOT MARTA,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,LUGLI STEFANO,0,0%
OZZANO DELL'EMILIA,N/A,0,0%
OZZANO DELL'EMILIA,N/A,0,8.133
OZZANO DELL'EMILIA,N/A,0,7.454
PIANORO,BONACCINI STEFANO,Eletto pres.,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,Totale coalizione,0%
PIANORO,BORGONZONI LUCIA,Eletto cons.,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,Totale coalizione,0%
PIANORO,BENINI SIMONE,0,0%
PIANORO,N/A,0,0%
PIANORO,BERGAMINI LAURA,0,0%
PIANORO,N/A,0,0%
PIANORO,BATTAGLIA DOMENICO,0,0%
PIANORO,N/A,0,0%
PIANORO,COLLOT MARTA,0,0%
PIANORO,N/A,0,0%
PIANORO,LUGLI STEFANO,0,0%
PIANORO,N/A,0,0%
PIANORO,N/A,0,10.081
PIANORO,N/A,0,9.391
PIEVE DI CENTO,BONACCINI STEFANO,Eletto pres.,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,Totale coalizione,0%
PIEVE DI CENTO,BORGONZONI LUCIA,Eletto cons.,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,Totale coalizione,0%
PIEVE DI CENTO,BENINI SIMONE,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,BERGAMINI LAURA,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,COLLOT MARTA,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,BATTAGLIA DOMENICO,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,LUGLI STEFANO,0,0%
PIEVE DI CENTO,N/A,0,0%
PIEVE DI CENTO,N/A,0,4.089
PIEVE DI CENTO,N/A,0,3.842
SALA BOLOGNESE,BONACCINI STEFANO,Eletto pres.,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,Totale coalizione,0%
SALA BOLOGNESE,BORGONZONI LUCIA,Eletto cons.,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,Totale coalizione,0%
SALA BOLOGNESE,BENINI SIMONE,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,BERGAMINI LAURA,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,BATTAGLIA DOMENICO,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,COLLOT MARTA,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,LUGLI STEFANO,0,0%
SALA BOLOGNESE,N/A,0,0%
SALA BOLOGNESE,N/A,0,4.866
SALA BOLOGNESE,N/A,0,4.481
SAN BENEDETTO VAL DI SAMBRO,BORGONZONI LUCIA,Eletto cons.,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,Totale coalizione,0%
SAN BENEDETTO VAL DI SAMBRO,BONACCINI STEFANO,Eletto pres.,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,Totale coalizione,0%
SAN BENEDETTO VAL DI SAMBRO,BENINI SIMONE,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,BERGAMINI LAURA,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,COLLOT MARTA,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,BATTAGLIA DOMENICO,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,LUGLI STEFANO,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,0%
SAN BENEDETTO VAL DI SAMBRO,N/A,0,2.338
SAN BENEDETTO VAL DI SAMBRO,N/A,0,2.215
SAN GIORGIO DI PIANO,BONACCINI STEFANO,Eletto pres.,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,Totale coalizione,0%
SAN GIORGIO DI PIANO,BORGONZONI LUCIA,Eletto cons.,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,Totale coalizione,0%
SAN GIORGIO DI PIANO,BENINI SIMONE,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,BERGAMINI LAURA,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,COLLOT MARTA,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,BATTAGLIA DOMENICO,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,LUGLI STEFANO,0,0%
SAN GIORGIO DI PIANO,N/A,0,0%
SAN GIORGIO DI PIANO,N/A,0,4.933
SAN GIORGIO DI PIANO,N/A,0,4.527
SAN GIOVANNI IN PERSICETO,BONACCINI STEFANO,Eletto pres.,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,Totale coalizione,0%
SAN GIOVANNI IN PERSICETO,BORGONZONI LUCIA,Eletto cons.,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,Totale coalizione,0%
SAN GIOVANNI IN PERSICETO,BENINI SIMONE,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,BERGAMINI LAURA,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,COLLOT MARTA,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,BATTAGLIA DOMENICO,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,LUGLI STEFANO,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,0%
SAN GIOVANNI IN PERSICETO,N/A,0,16.122
SAN GIOVANNI IN PERSICETO,N/A,0,14.925
SAN LAZZARO DI SAVENA,BONACCINI STEFANO,Eletto pres.,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,Totale coalizione,0%
SAN LAZZARO DI SAVENA,BORGONZONI LUCIA,Eletto cons.,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,Totale coalizione,0%
SAN LAZZARO DI SAVENA,BENINI SIMONE,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,COLLOT MARTA,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,BERGAMINI LAURA,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,BATTAGLIA DOMENICO,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,LUGLI STEFANO,0,0%
SAN LAZZARO DI SAVENA,N/A,0,0%
SAN LAZZARO DI SAVENA,N/A,0,19.236
SAN LAZZARO DI SAVENA,N/A,0,17.586
SAN PIETRO IN CASALE,BONACCINI STEFANO,Eletto pres.,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,Totale coalizione,0%
SAN PIETRO IN CASALE,BORGONZONI LUCIA,Eletto cons.,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,Totale coalizione,0%
SAN PIETRO IN CASALE,BENINI SIMONE,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,COLLOT MARTA,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,BERGAMINI LAURA,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,BATTAGLIA DOMENICO,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,LUGLI STEFANO,0,0%
SAN PIETRO IN CASALE,N/A,0,0%
SAN PIETRO IN CASALE,N/A,0,6.624
SAN PIETRO IN CASALE,N/A,0,6.218
SANT'AGATA BOLOGNESE,BORGONZONI LUCIA,Eletto cons.,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,Totale coalizione,0%
SANT'AGATA BOLOGNESE,BONACCINI STEFANO,Eletto pres.,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
SANT'AGATA BOLOGNESE,N/A,0,0%
