comune,provincia,regione,PAPPALARDO ANTONIO_total_votes,PAPPALARDO ANTONIO_total_perc,RICCI CLAUDIO_total_votes,RICCI CLAUDIO_total_perc,RUBICONDI ROSSANO_total_votes,RUBICONDI ROSSANO_total_perc,CARLETTI MARTINA_total_votes,CARLETTI MARTINA_total_perc,TESEI DONATELLA_total_votes,TESEI DONATELLA_total_perc,BIANCONI VINCENZO_total_votes,BIANCONI VINCENZO_total_perc,CAMUZZI EMILIANO_total_votes,CAMUZZI EMILIANO_total_perc,CIRILLO GIUSEPPE_total_votes,CIRILLO GIUSEPPE_total_perc,GILET ARANCIONI,GILET ARANCIONI_perc,RICCI PRESIDENTE,RICCI PRESIDENTE_perc,ITALIA CIVICA,ITALIA CIVICA_perc,PROPOSTA UMBRIA,PROPOSTA UMBRIA_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,RICONQUISTARE L'ITALIA,RICONQUISTARE L'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,LEGA,LEGA_perc,UMBRIA CIVICA,UMBRIA CIVICA_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,BIANCONI PER L'UMBRIA,BIANCONI PER L'UMBRIA_perc,SINISTRA CIVICA VERDE,SINISTRA CIVICA VERDE_perc,EUROPA VERDE UMBRIA,EUROPA VERDE UMBRIA_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,POTERE AL POPOLO,POTERE AL POPOLO_perc,PARTITO COMUNISTA ITALIANO,PARTITO COMUNISTA ITALIANO_perc,PARTITO DELLE BUONE MANIERE,PARTITO DELLE BUONE MANIERE_perc
CASTEL RITALDI,,,3,0.18,43,2.59,16,0.96,2,0.12,1011,60.9,528,31.81,7,0.42,0,0.0,3,0.18,28,1.69,5,0.3,1,0.06,16,0.96,1,0.06,72,4.34,79,4.76,679,40.9,26,1.57,107,6.45,355,21.39,47,2.83,5,0.3,12,0.72,83,5.0,0,0.0,6,0.36,0,0.0
CASTIGLIONE DEL LAGO,,,16,0.22,77,1.06,97,1.33,11,0.15,3440,47.3,3367,46.29,67,0.92,6,0.08,15,0.21,34,0.47,9,0.12,12,0.16,86,1.18,10,0.14,237,3.26,109,1.5,2077,28.56,69,0.95,835,11.48,2350,32.31,239,3.29,108,1.48,90,1.24,387,5.32,23,0.32,40,0.55,6,0.08
CERRETO DI SPOLETO,,,0,0.0,14,2.37,0,0.0,0,0.0,416,70.39,150,25.38,0,0.0,0,0.0,0,0.0,12,2.03,1,0.17,0,0.0,0,0.0,0,0.0,18,3.05,86,14.55,258,43.65,5,0.85,38,6.43,93,15.74,30,5.08,1,0.17,4,0.68,11,1.86,0,0.0,0,0.0,0,0.0
CITERNA,,,0,0.0,17,0.95,15,0.84,5,0.28,1061,59.21,618,34.49,16,0.89,1,0.06,0,0.0,2,0.11,8,0.45,0,0.0,14,0.78,5,0.28,41,2.29,26,1.45,767,42.8,27,1.51,174,9.71,406,22.66,27,1.51,55,3.07,23,1.28,75,4.19,2,0.11,14,0.78,1,0.06
CITTA' DELLA PIEVE,,,4,0.1,70,1.78,124,3.16,8,0.2,1778,45.3,1726,43.97,70,1.78,6,0.15,4,0.1,24,0.61,11,0.28,16,0.41,116,2.96,8,0.2,101,2.57,38,0.97,1330,33.89,30,0.76,225,5.73,1164,29.66,88,2.24,99,2.52,45,1.15,206,5.25,30,0.76,36,0.92,6,0.15
CITTA' DI CASTELLO,,,18,0.08,271,1.27,119,0.56,25,0.12,12461,58.18,7684,35.87,150,0.7,26,0.12,15,0.07,54,0.25,118,0.55,30,0.14,112,0.52,23,0.11,694,3.24,202,0.94,8813,41.15,297,1.39,2135,9.97,4735,22.11,399,1.86,299,1.4,666,3.11,1174,5.48,55,0.26,83,0.39,23,0.11
COLLAZZONE,,,2,0.11,45,2.5,51,2.83,3,0.17,1116,61.97,510,28.32,11,0.61,4,0.22,2,0.11,23,1.28,8,0.44,5,0.28,47,2.61,3,0.17,110,6.11,68,3.78,667,37.03,27,1.5,230,12.77,282,15.66,59,3.28,25,1.39,20,1.11,94,5.22,2,0.11,9,0.5,4,0.22
CORCIANO,,,21,0.19,391,3.53,106,0.96,17,0.15,5823,52.63,4316,39.01,100,0.9,9,0.08,20,0.18,191,1.73,59,0.53,48,0.43,106,0.96,16,0.14,412,3.72,369,3.34,3378,30.53,201,1.82,1237,11.18,2291,20.71,488,4.41,289,2.61,148,1.34,775,7.0,40,0.36,54,0.49,9,0.08
COSTACCIARO,,,0,0.0,5,0.77,4,0.61,1,0.15,324,49.77,286,43.93,3,0.46,3,0.46,0,0.0,2,0.31,2,0.31,0,0.0,4,0.61,1,0.15,63,9.68,12,1.84,208,31.95,5,0.77,30,4.61,180,27.65,11,1.69,15,2.3,4,0.61,63,9.68,1,0.15,2,0.31,3,0.46
DERUTA,,,10,0.2,249,4.96,62,1.24,11,0.22,3032,60.43,1485,29.6,30,0.6,8,0.16,8,0.16,141,2.81,44,0.88,23,0.46,61,1.22,10,0.2,321,6.4,136,2.71,1932,38.51,55,1.1,486,9.69,771,15.37,176,3.51,48,0.96,58,1.16,325,6.48,11,0.22,15,0.3,8,0.16
FOLIGNO,,,29,0.1,513,1.82,250,0.89,55,0.19,15849,56.19,10675,37.84,153,0.54,15,0.05,25,0.09,165,0.58,128,0.45,44,0.16,222,0.79,50,0.18,1725,6.12,1057,3.75,9018,31.97,377,1.34,2684,9.52,5611,19.89,722,2.56,824,2.92,327,1.16,2053,7.28,44,0.16,84,0.3,13,0.05
FOSSATO DI VICO,,,4,0.31,19,1.49,5,0.39,1,0.08,768,60.42,419,32.97,15,1.18,0,0.0,3,0.24,8,0.63,7,0.55,1,0.08,5,0.39,1,0.08,106,8.34,22,1.73,519,40.83,19,1.49,79,6.22,254,19.98,35,2.75,2,0.16,3,0.24,93,7.32,2,0.16,11,0.87,0,0.0
FRATTA TODINA,,,1,0.09,39,3.67,117,11.0,1,0.09,530,49.81,350,32.89,5,0.47,1,0.09,1,0.09,11,1.03,8,0.75,6,0.56,98,9.21,1,0.09,53,4.98,36,3.38,337,31.67,15,1.41,79,7.42,240,22.56,35,3.29,12,1.13,3,0.28,48,4.51,2,0.19,3,0.28,1,0.09
GIANO DELL'UMBRIA,,,1,0.06,10,0.58,5,0.29,2,0.12,1217,70.02,460,26.47,9,0.52,0,0.0,1,0.06,3,0.17,1,0.06,3,0.17,5,0.29,2,0.12,85,4.89,228,13.12,590,33.95,40,2.3,189,10.87,266,15.3,68,3.91,11,0.63,12,0.69,66,3.8,1,0.06,6,0.35,0,0.0
GUALDO CATTANEO,,,4,0.12,47,1.46,36,1.12,8,0.25,2201,68.55,819,25.51,12,0.37,4,0.12,3,0.09,18,0.56,10,0.31,13,0.4,32,1.0,7,0.22,257,8.0,544,16.94,985,30.68,35,1.09,277,8.63,515,16.04,80,2.49,17,0.53,22,0.69,134,4.17,6,0.19,6,0.19,4,0.12
GUALDO TADINO,,,3,0.04,135,1.68,35,0.43,8,0.1,5066,62.95,2539,31.55,55,0.68,10,0.12,2,0.02,65,0.81,45,0.56,11,0.14,32,0.4,7,0.09,1342,16.67,72,0.89,3049,37.89,58,0.72,447,5.55,1648,20.48,155,1.93,20,0.25,69,0.86,523,6.5,13,0.16,31,0.39,8,0.1
GUBBIO,,,26,0.15,436,2.57,112,0.66,109,0.64,8653,50.98,6825,40.21,229,1.35,15,0.09,20,0.12,234,1.38,54,0.32,30,0.18,107,0.63,82,0.48,443,2.61,1041,6.13,4783,28.18,645,3.8,1278,7.53,2430,14.32,2178,12.83,59,0.35,149,0.88,1429,8.42,13,0.08,190,1.12,11,0.06
LISCIANO NICCONE,,,1,0.38,3,1.13,0,0.0,0,0.0,123,46.42,125,47.17,1,0.38,0,0.0,1,0.38,2,0.75,1,0.38,0,0.0,0,0.0,0,0.0,15,5.66,4,1.51,89,33.58,1,0.38,10,3.77,82,30.94,5,1.89,6,2.26,4,1.51,23,8.68,1,0.38,0,0.0,0,0.0
MAGIONE,,,8,0.11,141,1.92,47,0.64,8,0.11,4127,56.28,2746,37.45,54,0.74,12,0.16,8,0.11,55,0.75,24,0.33,30,0.41,46,0.63,7,0.1,250,3.41,143,1.95,2847,38.82,164,2.24,589,8.03,1800,24.55,214,2.92,113,1.54,86,1.17,390,5.32,8,0.11,42,0.57,11,0.15
MARSCIANO,,,7,0.07,727,7.43,394,4.03,4,0.04,5193,53.09,3185,32.56,57,0.58,5,0.05,5,0.05,194,1.98,91,0.93,269,2.75,317,3.24,2,0.02,728,7.44,248,2.54,2824,28.87,254,2.6,873,8.92,1849,18.9,215,2.2,254,2.6,88,0.9,480,4.91,14,0.14,35,0.36,4,0.04
MASSA MARTANA,,,2,0.1,38,1.88,21,1.04,1,0.05,1265,62.62,606,30.0,7,0.35,3,0.15,2,0.1,21,1.04,9,0.45,4,0.2,21,1.04,1,0.05,96,4.75,38,1.88,729,36.09,44,2.18,333,16.49,387,19.16,62,3.07,11,0.54,13,0.64,97,4.8,4,0.2,3,0.15,3,0.15
MONTE CASTELLO DI VIBIO,,,0,0.0,53,6.08,54,6.19,2,0.23,497,57.0,243,27.87,3,0.34,1,0.11,0,0.0,33,3.78,9,1.03,3,0.34,48,5.5,2,0.23,32,3.67,36,4.13,312,35.78,36,4.13,73,8.37,151,17.32,13,1.49,11,1.26,11,1.26,45,5.16,0,0.0,3,0.34,1,0.11
MONTEFALCO,,,4,0.13,31,1.04,21,0.71,9,0.3,1963,66.01,856,28.78,8,0.27,3,0.1,3,0.1,16,0.54,1,0.03,4,0.13,20,0.67,8,0.27,228,7.67,461,15.5,743,24.98,128,4.3,220,7.4,509,17.11,84,2.82,30,1.01,30,1.01,130,4.37,2,0.07,6,0.2,2,0.07
MONTELEONE DI SPOLETO,,,0,0.0,5,1.44,2,0.57,1,0.29,259,74.43,69,19.83,2,0.57,0,0.0,0,0.0,2,0.57,3,0.86,0,0.0,2,0.57,1,0.29,20,5.75,56,16.09,160,45.98,1,0.29,16,4.6,24,6.9,26,7.47,1,0.29,2,0.57,13,3.74,0,0.0,2,0.57,0,0.0
MONTE SANTA MARIA TIBERINA,,,1,0.14,12,1.72,4,0.57,1,0.14,393,56.22,270,38.63,4,0.57,0,0.0,1,0.14,6,0.86,4,0.57,1,0.14,4,0.57,1,0.14,18,2.58,6,0.86,261,37.34,10,1.43,94,13.45,189,27.04,15,2.15,9,1.29,14,2.0,36,5.15,1,0.14,3,0.43,0,0.0
MONTONE,,,0,0.0,11,1.18,6,0.64,1,0.11,427,45.86,441,47.37,13,1.4,0,0.0,0,0.0,1,0.11,5,0.54,4,0.43,6,0.64,1,0.11,25,2.69,12,1.29,318,34.16,20,2.15,42,4.51,328,35.23,18,1.93,16,1.72,18,1.93,47,5.05,1,0.11,11,1.18,0,0.0
NOCERA UMBRA,,,0,0.0,55,1.79,19,0.62,7,0.23,1954,63.73,906,29.55,10,0.33,2,0.07,0,0.0,26,0.85,12,0.39,5,0.16,18,0.59,5,0.16,142,4.63,92,3.0,1388,45.27,58,1.89,220,7.18,466,15.2,55,1.79,61,1.99,16,0.52,260,8.48,4,0.13,4,0.13,2,0.07
NORCIA,,,2,0.07,15,0.56,17,0.63,1,0.04,1584,58.78,1008,37.4,7,0.26,2,0.07,2,0.07,11,0.41,2,0.07,0,0.0,16,0.59,1,0.04,286,10.61,114,4.23,925,34.32,14,0.52,197,7.31,345,12.8,391,14.51,3,0.11,8,0.3,57,2.12,3,0.11,2,0.07,2,0.07
PACIANO,,,0,0.0,8,1.54,16,3.07,1,0.19,164,31.48,313,60.08,6,1.15,1,0.19,0,0.0,7,1.34,1,0.19,0,0.0,14,2.69,1,0.19,13,2.5,8,1.54,97,18.62,2,0.38,36,6.91,223,42.8,19,3.65,5,0.96,7,1.34,41,7.87,2,0.38,2,0.38,1,0.19
PANICALE,,,5,0.18,55,2.01,38,1.39,4,0.15,1205,44.03,1317,48.12,18,0.66,5,0.18,4,0.15,28,1.02,10,0.37,9,0.33,35,1.28,4,0.15,70,2.56,48,1.75,839,30.65,15,0.55,171,6.25,853,31.17,153,5.59,33,1.21,25,0.91,189,6.91,4,0.15,14,0.51,5,0.18
PASSIGNANO SUL TRASIMENO,,,3,0.1,51,1.71,17,0.57,1,0.03,1805,60.59,1000,33.57,24,0.81,4,0.13,3,0.1,24,0.81,7,0.23,6,0.2,17,0.57,1,0.03,63,2.11,36,1.21,1360,45.65,28,0.94,296,9.94,627,21.05,82,2.75,21,0.7,40,1.34,180,6.04,7,0.23,12,0.4,4,0.13
PERUGIA,,,149,0.17,3436,4.03,738,0.87,153,0.18,43698,51.23,34391,40.32,656,0.77,69,0.08,135,0.16,1578,1.85,626,0.73,381,0.45,677,0.79,137,0.16,4238,4.97,3755,4.4,21703,25.45,2006,2.35,10191,11.95,18772,22.01,4578,5.37,1539,1.8,1539,1.8,5239,6.14,269,0.32,311,0.36,65,0.08
PIEGARO,,,0,0.0,23,1.21,16,0.84,5,0.26,912,48.15,877,46.3,15,0.79,1,0.05,0,0.0,11,0.58,6,0.32,2,0.11,16,0.84,5,0.26,62,3.27,35,1.85,644,34.0,14,0.74,126,6.65,647,34.16,27,1.43,28,1.48,12,0.63,139,7.34,3,0.16,11,0.58,1,0.05
PIETRALUNGA,,,1,0.09,12,1.04,53,4.61,0,0.0,722,62.78,306,26.61,26,2.26,1,0.09,1,0.09,4,0.35,3,0.26,3,0.26,52,4.52,0,0.0,91,7.91,15,1.3,427,37.13,26,2.26,142,12.35,208,18.09,17,1.48,12,1.04,10,0.87,41,3.57,4,0.35,22,1.91,1,0.09
