comune,provincia,regione,PAPPALARDO ANTONIO_total_votes,PAPPALARDO ANTONIO_total_perc,RICCI CLAUDIO_total_votes,RICCI CLAUDIO_total_perc,RUBICONDI ROSSANO_total_votes,RUBICONDI ROSSANO_total_perc,CARLETTI MARTINA_total_votes,CARLETTI MARTINA_total_perc,TESEI DONATELLA_total_votes,TESEI DONATELLA_total_perc,BIANCONI VINCENZO_total_votes,BIANCONI VINCENZO_total_perc,CAMUZZI EMILIANO_total_votes,CAMUZZI EMILIANO_total_perc,CIRILLO GIUSEPPE_total_votes,CIRILLO GIUSEPPE_total_perc,GILET ARANCIONI,GILET ARANCIONI_perc,RICCI PRESIDENTE,RICCI PRESIDENTE_perc,ITALIA CIVICA,ITALIA CIVICA_perc,PROPOSTA UMBRIA,PROPOSTA UMBRIA_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,RICONQUISTARE L'ITALIA,RICONQUISTARE L'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,LEGA,LEGA_perc,UMBRIA CIVICA,UMBRIA CIVICA_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,BIANCONI PER L'UMBRIA,BIANCONI PER L'UMBRIA_perc,SINISTRA CIVICA VERDE,SINISTRA CIVICA VERDE_perc,EUROPA VERDE UMBRIA,EUROPA VERDE UMBRIA_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,POTERE AL POPOLO,POTERE AL POPOLO_perc,PARTITO COMUNISTA ITALIANO,PARTITO COMUNISTA ITALIANO_perc,PARTITO DELLE BUONE MANIERE,PARTITO DELLE BUONE MANIERE_perc
TUORO SUL TRASIMENO,,,5,0.27,39,2.08,43,2.29,1,0.05,1022,54.39,692,36.83,13,0.69,2,0.11,4,0.21,10,0.53,10,0.53,3,0.16,43,2.29,1,0.05,66,3.51,70,3.73,658,35.02,32,1.7,164,8.73,401,21.34,101,5.38,25,1.33,14,0.75,95,5.06,1,0.05,11,0.59,2,0.11
UMBERTIDE,,,13,0.15,97,1.15,150,1.78,17,0.2,4289,50.87,3502,41.53,123,1.46,7,0.08,12,0.14,24,0.28,26,0.31,16,0.19,144,1.71,16,0.19,411,4.87,78,0.93,2990,35.46,190,2.25,508,6.02,2430,28.82,149,1.77,64,0.76,160,1.9,543,6.44,59,0.7,57,0.68,7,0.08
VALFABBRICA,,,5,0.26,36,1.88,11,0.58,22,1.15,1299,67.97,475,24.86,6,0.31,1,0.05,5,0.26,15,0.78,11,0.58,1,0.05,10,0.52,21,1.1,62,3.24,18,0.94,951,49.76,130,6.8,116,6.07,266,13.92,53,2.77,3,0.16,22,1.15,105,5.49,0,0.0,6,0.31,1,0.05
VALLO DI NERA,,,0,0.0,1,0.49,2,0.98,0,0.0,134,65.69,60,29.41,0,0.0,1,0.49,0,0.0,1,0.49,0,0.0,0,0.0,2,0.98,0,0.0,10,4.9,34,16.67,71,34.8,5,2.45,11,5.39,32,15.69,9,4.41,0,0.0,4,1.96,12,5.88,0,0.0,0,0.0,1,0.49
VALTOPINA,,,1,0.14,8,1.16,3,0.43,1,0.14,442,63.87,205,29.62,5,0.72,1,0.14,1,0.14,2,0.29,2,0.29,1,0.14,3,0.43,1,0.14,34,4.91,24,3.47,282,40.75,13,1.88,79,11.42,120,17.34,13,1.88,6,0.87,3,0.43,53,7.66,1,0.14,3,0.43,1,0.14
ACQUASPARTA,,,3,0.13,28,1.19,10,0.42,1,0.04,1476,62.65,767,32.56,7,0.3,4,0.17,3,0.13,10,0.42,9,0.38,6,0.25,9,0.38,1,0.04,109,4.63,49,2.08,924,39.22,30,1.27,328,13.92,452,19.19,97,4.12,11,0.47,23,0.98,137,5.81,3,0.13,4,0.17,4,0.17
ALLERONA,,,0,0.0,3,0.34,7,0.8,1,0.11,375,42.61,436,49.55,18,2.05,1,0.11,0,0.0,0,0.0,1,0.11,2,0.23,7,0.8,1,0.11,24,2.73,13,1.48,270,30.68,9,1.02,45,5.11,305,34.66,18,2.05,8,0.91,16,1.82,77,8.75,0,0.0,15,1.7,1,0.11
ALVIANO,,,0,0.0,10,1.16,3,0.35,4,0.46,580,67.13,225,26.04,8,0.93,3,0.35,0,0.0,3,0.35,2,0.23,5,0.58,3,0.35,4,0.46,69,7.99,24,2.78,390,45.14,3,0.35,82,9.49,134,15.51,12,1.39,4,0.46,5,0.58,59,6.83,2,0.23,6,0.69,2,0.23
AMELIA,,,7,0.11,59,0.92,41,0.64,22,0.34,3920,61.34,2092,32.73,68,1.06,10,0.16,7,0.11,13,0.2,21,0.33,20,0.31,38,0.59,22,0.34,991,15.51,85,1.33,1949,30.5,80,1.25,758,11.86,1158,18.12,144,2.25,80,1.25,85,1.33,478,7.48,35,0.55,29,0.45,8,0.13
ARRONE,,,0,0.0,20,1.39,24,1.66,1,0.07,830,57.52,506,35.07,23,1.59,0,0.0,0,0.0,12,0.83,1,0.07,1,0.07,23,1.59,1,0.07,48,3.33,66,4.57,544,37.7,12,0.83,128,8.87,268,18.57,37,2.56,81,5.61,15,1.04,82,5.68,5,0.35,16,1.11,0,0.0
ATTIGLIANO,,,1,0.1,7,0.68,4,0.39,2,0.19,712,68.99,254,24.61,13,1.26,3,0.29,1,0.1,0,0.0,2,0.19,1,0.1,4,0.39,2,0.19,23,2.23,3,0.29,630,61.05,5,0.48,47,4.55,132,12.79,19,1.84,4,0.39,14,1.36,69,6.69,5,0.48,8,0.78,3,0.29
