comune,provincia,regione,url,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,UMBRIA DOMANI PROIETTI PRESIDENTE,UMBRIA DOMANI PROIETTI PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA_perc,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE_perc,UMBRIA PER LA SANITA' PUBBLICA,UMBRIA PER LA SANITA' PUBBLICA_perc,CIVICI UMBRI,CIVICI UMBRI_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,LEGA,LEGA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,NOI MODERATI - CIVICI PER L'UMBRIA,NOI MODERATI - CIVICI PER L'UMBRIA_perc,ALTERNATIVA POPOLARE,ALTERNATIVA POPOLARE_perc,UNIONE DI CENTRO,UNIONE DI CENTRO_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE_perc,INSIEME PER UN'UMBRIA RESISTENTE,INSIEME PER UN'UMBRIA RESISTENTE_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,ALTERNATIVA PER L'UMBRIA,ALTERNATIVA PER L'UMBRIA_perc,FRONTE DEL DISSENSO,FRONTE DEL DISSENSO_perc,QUINTO POLO PER L'ITALIA,QUINTO POLO PER L'ITALIA_perc,PIU' ITALIA SOVRANA,PIU' ITALIA SOVRANA_perc,TRITTO PRESIDENTE UMANI INSIEME LIBERI,TRITTO PRESIDENTE UMANI INSIEME LIBERI_perc,STEFANIA PROIETTI_total_votes,STEFANIA PROIETTI_total_perc,DONATELLA TESEI_total_votes,DONATELLA TESEI_total_perc,MARCO RIZZO_total_votes,MARCO RIZZO_total_perc,MARTINA LEONARDI_total_votes,MARTINA LEONARDI_total_perc,GIUSEPPE PAOLONE_total_votes,GIUSEPPE PAOLONE_total_perc,ELIA FRANCESCO FIORINI_total_votes,ELIA FRANCESCO FIORINI_total_perc,MORENO PASQUINELLI_total_votes,MORENO PASQUINELLI_total_perc,FABRIZIO PIGNALBERI_total_votes,FABRIZIO PIGNALBERI_total_perc,GIUSEPPE TRITTO_total_votes,GIUSEPPE TRITTO_total_perc
Nocera Umbra,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040340,380,"17,63",98,"4,55",74,"3,43",76,"3,53",245,"11,37",13,"0,60",27,"1,25",542,"25,15",204,"9,47",281,"13,04",100,"4,64",51,"2,37",15,"0,70",10,"0,46",7,"0,32",6,"0,28",4,"0,19",7,"0,32",2,"0,09",2,"0,09",0,0,1,"0,05",10,"0,46",996,"42,99",1269,"54,77",19,"0,82",6,"0,26",7,"0,30",2,"0,09",3,"0,13",4,"0,17",11,"0,47"
Norcia,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040350,333,"18,52",86,"4,78",43,"2,39",28,"1,56",54,"3,00",19,"1,06",36,"2,00",398,"22,14",553,"30,76",109,"6,06",46,"2,56",41,"2,28",18,"1,00",16,"0,89",4,"0,22",7,"0,39",1,"0,06",0,0,4,"0,22",0,0,1,"0,06",1,"0,06",0,0,657,"34,47",1226,"64,32",15,"0,79",2,"0,10",0,0,4,"0,21",0,0,2,"0,10",0,0
Paciano,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040360,180,"42,55",15,"3,55",14,"3,31",24,"5,67",4,"0,95",76,"17,97",0,0,36,"8,51",16,"3,78",8,"1,89",7,"1,65",16,"3,78",1,"0,24",2,"0,47",1,"0,24",1,"0,24",1,"0,24",0,0,20,"4,73",0,0,0,0,0,0,1,"0,24",325,"73,03",95,"21,35",3,"0,67",1,"0,22",0,0,20,"4,49",0,0,0,0,1,"0,22"
Panicale,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040370,800,"39,25",180,"8,83",88,"4,32",57,"2,80",12,"0,59",93,"4,56",16,"0,79",259,"12,71",106,"5,20",86,"4,22",78,"3,83",185,"9,08",4,"0,20",3,"0,15",26,"1,28",7,"0,34",8,"0,39",10,"0,49",16,"0,79",1,"0,05",0,0,2,"0,10",1,"0,05",1320,"60,69",775,"35,63",38,"1,75",10,"0,46",10,"0,46",17,"0,78",2,"0,09",2,"0,09",1,"0,05"
Passignano Sul Trasimeno,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040380,641,"30,45",87,"4,13",76,"3,61",73,"3,47",17,"0,81",65,"3,09",8,"0,38",663,"31,50",121,"5,75",126,"5,99",93,"4,42",50,"2,38",2,"0,10",4,"0,19",24,"1,14",16,"0,76",15,"0,71",6,"0,29",9,"0,43",6,"0,29",0,0,0,0,3,"0,14",1103,"47,50",1134,"48,84",42,"1,81",16,"0,69",7,"0,30",9,"0,39",6,"0,26",1,"0,04",4,"0,17"
Perugia,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040390,18094,"29,03",3936,"6,32",2575,"4,13",3560,"5,71",1174,"1,88",2301,"3,69",451,"0,72",10132,"16,26",9274,"14,88",3024,"4,85",3850,"6,18",1916,"3,07",300,"0,48",217,"0,35",443,"0,71",255,"0,41",216,"0,35",193,"0,31",132,"0,21",156,"0,25",7,"0,01",14,"0,02",105,"0,17",37720,"53,22",31297,"44,16",863,"1,22",277,"0,39",219,"0,31",153,"0,22",173,"0,24",36,"0,05",131,"0,18"
Piegaro,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040400,641,"48,23",39,"2,93",55,"4,14",25,"1,88",6,"0,45",46,"3,46",3,"0,23",176,"13,24",109,"8,20",84,"6,32",58,"4,36",32,"2,41",4,"0,30",5,"0,38",11,"0,83",9,"0,68",6,"0,45",9,"0,68",8,"0,60",1,"0,08",0,0,2,"0,15",0,0,852,"60,47",503,"35,70",24,"1,70",8,"0,57",9,"0,64",8,"0,57",2,"0,14",3,"0,21",0,0
Pietralunga,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040410,159,"17,47",13,"1,43",35,"3,85",17,"1,87",188,"20,66",4,"0,44",10,"1,10",229,"25,16",105,"11,54",65,"7,14",33,"3,63",8,"0,88",9,"0,99",3,"0,33",11,"1,21",7,"0,77",5,"0,55",4,"0,44",0,0,2,"0,22",0,0,0,0,3,"0,33",448,"47,21",466,"49,10",21,"2,21",5,"0,53",4,"0,42",0,0,2,"0,21",0,0,3,"0,32"
Poggiodomo,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040420,15,"37,50",1,"2,50",0,0,0,0,0,0,0,0,0,0,8,"20,00",2,"5,00",8,"20,00",0,0,5,"12,50",1,"2,50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"40,91",26,"59,09",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preci,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040430,60,"18,69",4,"1,25",10,"3,12",2,"0,62",1,"0,31",0,0,1,"0,31",182,"56,70",21,"6,54",15,"4,67",6,"1,87",7,"2,18",2,"0,62",2,"0,62",0,0,1,"0,31",1,"0,31",0,0,1,"0,31",1,"0,31",1,"0,31",1,"0,31",2,"0,62",89,"26,33",240,"71,01",2,"0,59",1,"0,30",0,0,1,"0,30",1,"0,30",2,"0,59",2,"0,59"
San Giustino,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040440,1746,"41,53",53,"1,26",110,"2,62",112,"2,66",110,"2,62",33,"0,78",31,"0,74",761,"18,10",113,"2,69",765,"18,20",197,"4,69",51,"1,21",6,"0,14",11,"0,26",23,"0,55",20,"0,48",26,"0,62",9,"0,21",6,"0,14",9,"0,21",1,"0,02",4,"0,10",7,"0,17",2294,"51,67",2027,"45,65",52,"1,17",28,"0,63",9,"0,20",6,"0,14",12,"0,27",5,"0,11",7,"0,16"
Sant'Anatolia Di Narco,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040450,72,"33,96",11,"5,19",22,"10,38",4,"1,89",1,"0,47",3,"1,42",0,0,71,"33,49",5,"2,36",6,"2,83",5,"2,36",5,"2,36",4,"1,89",0,0,1,"0,47",2,"0,94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,"50,00",113,"47,88",4,"1,69",0,0,0,0,0,0,0,0,0,0,1,"0,42"
Scheggia E Pascelupo,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040460,99,"19,92",38,"7,65",24,"4,83",6,"1,21",10,"2,01",3,"0,60",39,"7,85",117,"23,54",44,"8,85",49,"9,86",37,"7,44",14,"2,82",2,"0,40",0,0,7,"1,41",1,"0,20",0,0,0,0,0,0,3,"0,60",1,"0,20",2,"0,40",1,"0,20",236,"44,19",282,"52,81",9,"1,69",0,0,0,0,0,0,3,"0,56",3,"0,56",1,"0,19"
Scheggino,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040470,50,"23,36",3,"1,40",9,"4,21",2,"0,93",1,"0,47",0,0,0,0,116,"54,21",6,"2,80",8,"3,74",5,"2,34",7,"3,27",7,"3,27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,"29,79",161,"68,51",0,0,2,"0,85",0,0,0,0,0,0,0,0,2,"0,85"
Sellano,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040480,104,"27,23",22,"5,76",12,"3,14",4,"1,05",5,"1,31",2,"0,52",4,"1,05",148,"38,74",33,"8,64",22,"5,76",4,"1,05",10,"2,62",2,"0,52",0,0,3,"0,79",1,"0,26",2,"0,52",0,0,2,"0,52",0,0,0,0,0,0,2,"0,52",172,"40,95",237,"56,43",5,"1,19",2,"0,48",0,0,2,"0,48",0,0,0,0,2,"0,48"
Sigillo,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040490,254,"28,35",37,"4,13",56,"6,25",57,"6,36",4,"0,45",13,"1,45",43,"4,80",192,"21,43",83,"9,26",72,"8,04",32,"3,57",24,"2,68",6,"0,67",2,"0,22",4,"0,45",3,"0,33",10,"1,12",0,0,2,"0,22",1,"0,11",0,0,0,0,1,"0,11",520,"50,73",479,"46,73",9,"0,88",12,"1,17",0,0,2,"0,20",2,"0,20",0,0,1,"0,10"
Spello,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040500,1008,"30,98",198,"6,08",125,"3,84",128,"3,93",170,"5,22",64,"1,97",23,"0,71",523,"16,07",207,"6,36",396,"12,17",188,"5,78",76,"2,34",27,"0,83",15,"0,46",16,"0,49",19,"0,58",12,"0,37",15,"0,46",6,"0,18",5,"0,15",0,0,3,"0,09",30,"0,92",1973,"53,82",1571,"42,85",46,"1,25",14,"0,38",15,"0,41",7,"0,19",6,"0,16",4,"0,11",30,"0,82"
Spoleto,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040510,4624,"36,28",713,"5,59",940,"7,37",289,"2,27",440,"3,45",120,"0,94",185,"1,45",3002,"23,55",793,"6,22",567,"4,45",253,"1,98",198,"1,55",291,"2,28",37,"0,29",61,"0,48",51,"0,40",51,"0,40",29,"0,23",18,"0,14",31,"0,24",1,"0,01",7,"0,05",46,"0,36",8051,"57,87",5486,"39,43",151,"1,09",73,"0,52",34,"0,24",22,"0,16",33,"0,24",11,"0,08",51,"0,37"
Todi,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040520,2023,"32,11",193,"3,06",112,"1,78",242,"3,84",120,"1,90",59,"0,94",237,"3,76",906,"14,38",1230,"19,52",314,"4,98",320,"5,08",388,"6,16",44,"0,70",10,"0,16",23,"0,37",18,"0,29",16,"0,25",17,"0,27",4,"0,06",6,"0,10",1,"0,02",2,"0,03",16,"0,25",3275,"47,91",3423,"50,07",61,"0,89",20,"0,29",18,"0,26",4,"0,06",8,"0,12",6,"0,09",21,"0,31"
Torgiano,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040530,693,"24,92",157,"5,65",100,"3,60",87,"3,13",52,"1,87",66,"2,37",19,"0,68",842,"30,28",221,"7,95",179,"6,44",124,"4,46",144,"5,18",18,"0,65",6,"0,22",22,"0,79",12,"0,43",10,"0,36",10,"0,36",13,"0,47",4,"0,14",0,0,0,0,2,"0,07",1361,"44,22",1634,"53,09",39,"1,27",12,"0,39",11,"0,36",14,"0,45",5,"0,16",0,0,2,"0,06"
Trevi,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040540,788,"28,19",117,"4,19",148,"5,30",83,"2,97",54,"1,93",29,"1,04",21,"0,75",771,"27,58",232,"8,30",213,"7,62",164,"5,87",53,"1,90",36,"1,29",2,"0,07",28,"1,00",10,"0,36",9,"0,32",4,"0,14",3,"0,11",22,"0,79",1,"0,04",0,0,7,"0,25",1432,"45,69",1606,"51,24",46,"1,47",9,"0,29",4,"0,13",3,"0,10",24,"0,77",1,"0,03",9,"0,29"
Tuoro Sul Trasimeno,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040550,417,"32,23",50,"3,86",52,"4,02",61,"4,71",17,"1,31",58,"4,48",9,"0,70",294,"22,72",61,"4,71",95,"7,34",81,"6,26",36,"2,78",4,"0,31",9,"0,70",26,"2,01",12,"0,93",8,"0,62",2,"0,15",2,"0,15",0,0,0,0,0,0,0,0,745,"51,88",633,"44,08",41,"2,86",11,"0,77",3,"0,21",2,"0,14",0,0,0,0,1,"0,07"
Umbertide,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040560,2497,"37,62",122,"1,84",372,"5,60",220,"3,31",109,"1,64",68,"1,02",136,"2,05",1507,"22,70",226,"3,40",898,"13,53",247,"3,72",63,"0,95",17,"0,26",8,"0,12",47,"0,71",28,"0,42",25,"0,38",19,"0,29",9,"0,14",14,"0,21",1,"0,02",0,0,5,"0,08",3762,"53,45",3105,"44,11",90,"1,28",28,"0,40",19,"0,27",10,"0,14",17,"0,24",1,"0,01",7,"0,10"
Valfabbrica,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040570,170,"11,97",337,"23,73",28,"1,97",23,"1,62",7,"0,49",10,"0,70",6,"0,42",381,"26,83",231,"16,27",69,"4,86",76,"5,35",35,"2,46",5,"0,35",3,"0,21",13,"0,92",3,"0,21",7,"0,49",4,"0,28",1,"0,07",1,"0,07",0,0,0,0,10,"0,70",621,"41,40",836,"55,73",17,"1,13",7,"0,47",4,"0,27",1,"0,07",1,"0,07",1,"0,07",12,"0,80"
Vallo Di Nera,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040580,52,"35,62",8,"5,48",4,"2,74",3,"2,05",4,"2,74",1,"0,68",3,"2,05",51,"34,93",8,"5,48",4,"2,74",3,"2,05",1,"0,68",2,"1,37",1,"0,68",1,"0,68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,"53,09",73,"45,06",2,"1,23",0,0,0,0,0,0,0,0,0,0,1,"0,62"
Valtopina,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040590,127,"25,35",44,"8,78",21,"4,19",29,"5,79",12,"2,40",12,"2,40",5,"1,00",140,"27,94",17,"3,39",47,"9,38",21,"4,19",13,"2,59",5,"1,00",0,0,1,"0,20",4,"0,80",2,"0,40",0,0,1,"0,20",0,0,0,0,0,0,0,0,280,"51,28",255,"46,70",7,"1,28",2,"0,37",0,0,2,"0,37",0,0,0,0,0,0
Acquasparta,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040010,391,"22,79",52,"3,03",58,"3,38",40,"2,33",322,"18,76",23,"1,34",11,"0,64",379,"22,09",102,"5,94",134,"7,81",104,"6,06",28,"1,63",37,"2,16",10,"0,58",4,"0,23",3,"0,17",7,"0,41",1,"0,06",1,"0,06",1,"0,06",0,0,0,0,8,"0,47",948,"51,89",849,"46,47",12,"0,66",7,"0,38",1,"0,05",1,"0,05",1,"0,05",0,0,8,"0,44"
Allerona,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040020,309,"47,39",22,"3,37",21,"3,22",37,"5,67",3,"0,46",31,"4,75",8,"1,23",84,"12,88",16,"2,45",57,"8,74",14,"2,15",11,"1,69",6,"0,92",12,"1,84",3,"0,46",3,"0,46",8,"1,23",0,0,0,0,4,"0,61",1,"0,15",0,0,2,"0,31",462,"66,28",214,"30,70",6,"0,86",8,"1,15",0,0,0,0,4,"0,57",1,"0,14",2,"0,29"
Alviano,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040030,153,"28,13",11,"2,02",19,"3,49",7,"1,29",4,"0,74",4,"0,74",3,"0,55",152,"27,94",87,"15,99",42,"7,72",22,"4,04",11,"2,02",13,"2,39",0,0,2,"0,37",0,0,4,"0,74",0,0,0,0,5,"0,92",0,0,1,"0,18",4,"0,74",230,"38,79",343,"57,84",3,"0,51",4,"0,67",0,0,1,"0,17",6,"1,01",1,"0,17",5,"0,84"
Amelia,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040040,1584,"31,64",86,"1,72",284,"5,67",137,"2,74",128,"2,56",44,"0,88",23,"0,46",1100,"21,97",1057,"21,11",190,"3,79",84,"1,68",71,"1,42",55,"1,10",14,"0,28",23,"0,46",22,"0,44",32,"0,64",13,"0,26",8,"0,16",39,"0,78",2,"0,04",4,"0,08",7,"0,14",2417,"45,88",2675,"50,78",56,"1,06",38,"0,72",13,"0,25",9,"0,17",43,"0,82",8,"0,15",9,"0,17"
Arrone,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040050,354,"36,20",30,"3,07",33,"3,37",19,"1,94",22,"2,25",10,"1,02",5,"0,51",271,"27,71",37,"3,78",51,"5,21",22,"2,25",17,"1,74",36,"3,68",45,"4,60",1,"0,10",2,"0,20",15,"1,53",2,"0,20",1,"0,10",3,"0,31",0,0,1,"0,10",1,"0,10",509,"48,62",506,"48,33",6,"0,57",16,"1,53",3,"0,29",1,"0,10",3,"0,29",1,"0,10",2,"0,19"
Attigliano,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040060,168,"21,16",11,"1,39",30,"3,78",20,"2,52",8,"1,01",6,"0,76",2,"0,25",384,"48,36",48,"6,05",50,"6,30",10,"1,26",8,"1,01",18,"2,27",4,"0,50",7,"0,88",4,"0,50",6,"0,76",3,"0,38",1,"0,13",5,"0,63",0,0,0,0,1,"0,13",271,"32,69",531,"64,05",11,"1,33",6,"0,72",3,"0,36",1,"0,12",5,"0,60",0,0,1,"0,12"
Avigliano Umbro,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040061,240,"22,45",17,"1,59",41,"3,84",26,"2,43",172,"16,09",21,"1,96",1,"0,09",119,"11,13",273,"25,54",36,"3,37",69,"6,45",20,"1,87",12,"1,12",2,"0,19",2,"0,19",3,"0,28",7,"0,65",6,"0,56",0,0,0,0,0,0,0,0,2,"0,19",551,"48,46",560,"49,25",8,"0,70",9,"0,79",6,"0,53",0,0,1,"0,09",0,0,2,"0,18"
Baschi,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040070,428,"40,80",36,"3,43",31,"2,96",16,"1,53",16,"1,53",12,"1,14",21,"2,00",169,"16,11",113,"10,77",91,"8,67",30,"2,86",34,"3,24",23,"2,19",7,"0,67",5,"0,48",4,"0,38",4,"0,38",2,"0,19",1,"0,10",5,"0,48",1,"0,10",0,0,0,0,604,"53,36",503,"44,43",12,"1,06",4,"0,35",2,"0,18",1,"0,09",5,"0,44",1,"0,09",0,0
Calvi Dell'Umbria,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040080,136,"24,64",14,"2,54",19,"3,44",16,"2,90",5,"0,91",10,"1,81",1,"0,18",169,"30,62",67,"12,14",70,"12,68",18,"3,26",16,"2,90",3,"0,54",0,0,1,"0,18",1,"0,18",1,"0,18",2,"0,36",0,0,2,"0,36",1,"0,18",0,0,0,0,221,"37,08",363,"60,91",4,"0,67",1,"0,17",3,"0,50",0,0,2,"0,34",1,"0,17",1,"0,17"
Castel Giorgio,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040090,234,"27,56",31,"3,65",47,"5,54",19,"2,24",1,"0,12",27,"3,18",2,"0,24",308,"36,28",23,"2,71",53,"6,24",14,"1,65",24,"2,83",4,"0,47",45,"5,30",6,"0,71",0,0,4,"0,47",1,"0,12",2,"0,24",0,0,1,"0,12",1,"0,12",2,"0,24",386,"43,13",490,"54,75",7,"0,78",4,"0,45",2,"0,22",2,"0,22",0,0,2,"0,22",2,"0,22"
Castel Viscardo,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040100,359,"31,03",34,"2,94",39,"3,37",45,"3,89",4,"0,35",46,"3,98",9,"0,78",177,"15,30",27,"2,33",116,"10,03",25,"2,16",48,"4,15",4,"0,35",209,"18,06",3,"0,26",2,"0,17",2,"0,17",2,"0,17",0,0,1,"0,09",1,"0,09",1,"0,09",3,"0,26",574,"47,32",623,"51,36",6,"0,49",2,"0,16",2,"0,16",0,0,1,"0,08",2,"0,16",3,"0,25"
Fabro,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040110,309,"34,56",30,"3,36",23,"2,57",23,"2,57",8,"0,89",32,"3,58",6,"0,67",139,"15,55",88,"9,84",103,"11,52",23,"2,57",63,"7,05",5,"0,56",4,"0,45",6,"0,67",9,"1,01",7,"0,78",1,"0,11",2,"0,22",10,"1,12",1,"0,11",1,"0,11",1,"0,11",477,"48,33",459,"46,50",25,"2,53",9,"0,91",1,"0,10",3,"0,30",10,"1,01",2,"0,20",1,"0,10"
Ferentillo,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040120,139,"19,77",20,"2,84",50,"7,11",13,"1,85",8,"1,14",8,"1,14",6,"0,85",302,"42,96",21,"2,99",34,"4,84",18,"2,56",6,"0,85",48,"6,83",7,"1,00",0,0,6,"0,85",11,"1,56",2,"0,28",0,0,4,"0,57",0,0,0,0,0,0,267,"35,46",459,"60,96",10,"1,33",11,"1,46",2,"0,27",0,0,4,"0,53",0,0,0,0
Ficulle,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040130,159,"31,42",15,"2,96",22,"4,35",14,"2,77",5,"0,99",30,"5,93",9,"1,78",88,"17,39",93,"18,38",23,"4,55",12,"2,37",11,"2,17",3,"0,59",3,"0,59",3,"0,59",4,"0,79",7,"1,38",1,"0,20",1,"0,20",3,"0,59",0,0,0,0,0,0,289,"50,00",263,"45,50",13,"2,25",8,"1,38",1,"0,17",1,"0,17",3,"0,52",0,0,0,0
Giove,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040140,200,"24,48",22,"2,69",28,"3,43",35,"4,28",6,"0,73",6,"0,73",2,"0,24",186,"22,77",53,"6,49",149,"18,24",11,"1,35",8,"0,98",16,"1,96",1,"0,12",7,"0,86",0,0,15,"1,84",0,0,1,"0,12",70,"8,57",0,0,0,0,1,"0,12",319,"37,49",438,"51,47",7,"0,82",15,"1,76",0,0,1,"0,12",70,"8,23",0,0,1,"0,12"
Guardea,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040150,196,"27,41",35,"4,90",16,"2,24",10,"1,40",8,"1,12",6,"0,84",11,"1,54",256,"35,80",34,"4,76",41,"5,73",33,"4,62",14,"1,96",15,"2,10",1,"0,14",8,"1,12",3,"0,42",3,"0,42",2,"0,28",0,0,20,"2,80",0,0,1,"0,14",2,"0,28",307,"39,82",420,"54,47",15,"1,95",3,"0,39",2,"0,26",0,0,20,"2,59",2,"0,26",2,"0,26"
Lugnano In Teverina,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040160,106,"16,01",20,"3,02",21,"3,17",14,"2,11",3,"0,45",60,"9,06",3,"0,45",101,"15,26",41,"6,19",81,"12,24",5,"0,76",9,"1,36",179,"27,04",0,0,7,"1,06",0,0,3,"0,45",1,"0,15",2,"0,30",2,"0,30",2,"0,30",0,0,2,"0,30",244,"35,78",418,"61,29",8,"1,17",3,"0,44",1,"0,15",2,"0,29",2,"0,29",2,"0,29",2,"0,29"
Montecastrilli,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040170,627,"28,64",34,"1,55",62,"2,83",49,"2,24",47,"2,15",22,"1,01",10,"0,46",192,"8,77",173,"7,90",129,"5,89",699,"31,93",42,"1,92",47,"2,15",9,"0,41",8,"0,37",4,"0,18",11,"0,50",7,"0,32",4,"0,18",8,"0,37",1,"0,05",1,"0,05",3,"0,14",897,"38,88",1358,"58,86",12,"0,52",12,"0,52",9,"0,39",4,"0,17",8,"0,35",3,"0,13",4,"0,17"
Montecchio,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040180,159,"28,60",23,"4,14",12,"2,16",15,"2,70",24,"4,32",4,"0,72",4,"0,72",90,"16,19",95,"17,09",42,"7,55",18,"3,24",49,"8,81",6,"1,08",1,"0,18",1,"0,18",3,"0,54",4,"0,72",1,"0,18",1,"0,18",3,"0,54",0,0,1,"0,18",0,0,271,"43,36",338,"54,08",6,"0,96",4,"0,64",1,"0,16",1,"0,16",3,"0,48",1,"0,16",0,0
Montefranco,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040190,90,"18,56",16,"3,30",25,"5,15",5,"1,03",6,"1,24",3,"0,62",4,"0,82",180,"37,11",27,"5,57",42,"8,66",16,"3,30",12,"2,47",33,"6,80",14,"2,89",2,"0,41",2,"0,41",5,"1,03",0,0,0,0,2,"0,41",0,0,1,"0,21",0,0,163,"31,65",338,"65,63",6,"1,17",5,"0,97",0,0,0,0,2,"0,39",1,"0,19",0,0
Montegabbione,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040200,153,"41,46",10,"2,71",17,"4,61",4,"1,08",4,"1,08",8,"2,17",4,"1,08",67,"18,16",29,"7,86",22,"5,96",9,"2,44",8,"2,17",1,"0,27",0,0,1,"0,27",2,"0,54",1,"0,27",0,0,3,"0,81",26,"7,05",0,0,0,0,0,0,217,"53,85",151,"37,47",3,"0,74",2,"0,50",0,0,3,"0,74",26,"6,45",1,"0,25",0,0
