comune,provincia,regione,url,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,UMBRIA DOMANI PROIETTI PRESIDENTE,UMBRIA DOMANI PROIETTI PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA_perc,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE_perc,UMBRIA PER LA SANITA' PUBBLICA,UMBRIA PER LA SANITA' PUBBLICA_perc,CIVICI UMBRI,CIVICI UMBRI_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,LEGA,LEGA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,NOI MODERATI - CIVICI PER L'UMBRIA,NOI MODERATI - CIVICI PER L'UMBRIA_perc,ALTERNATIVA POPOLARE,ALTERNATIVA POPOLARE_perc,UNIONE DI CENTRO,UNIONE DI CENTRO_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE_perc,INSIEME PER UN'UMBRIA RESISTENTE,INSIEME PER UN'UMBRIA RESISTENTE_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,ALTERNATIVA PER L'UMBRIA,ALTERNATIVA PER L'UMBRIA_perc,FRONTE DEL DISSENSO,FRONTE DEL DISSENSO_perc,QUINTO POLO PER L'ITALIA,QUINTO POLO PER L'ITALIA_perc,PIU' ITALIA SOVRANA,PIU' ITALIA SOVRANA_perc,TRITTO PRESIDENTE UMANI INSIEME LIBERI,TRITTO PRESIDENTE UMANI INSIEME LIBERI_perc,STEFANIA PROIETTI_total_votes,STEFANIA PROIETTI_total_perc,DONATELLA TESEI_total_votes,DONATELLA TESEI_total_perc,MARCO RIZZO_total_votes,MARCO RIZZO_total_perc,MARTINA LEONARDI_total_votes,MARTINA LEONARDI_total_perc,GIUSEPPE PAOLONE_total_votes,GIUSEPPE PAOLONE_total_perc,ELIA FRANCESCO FIORINI_total_votes,ELIA FRANCESCO FIORINI_total_perc,MORENO PASQUINELLI_total_votes,MORENO PASQUINELLI_total_perc,FABRIZIO PIGNALBERI_total_votes,FABRIZIO PIGNALBERI_total_perc,GIUSEPPE TRITTO_total_votes,GIUSEPPE TRITTO_total_perc
Citerna,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040110,512,"40,60",14,"1,11",38,"3,01",34,"2,70",26,"2,06",8,"0,63",1,"0,08",238,"18,87",41,"3,25",238,"18,87",64,"5,08",19,"1,51",3,"0,24",2,"0,16",4,"0,32",1,"0,08",4,"0,32",2,"0,16",4,"0,32",7,"0,56",1,"0,08",0,0,0,0,668,"49,52",654,"48,48",9,"0,67",4,"0,30",2,"0,15",4,"0,30",7,"0,52",1,"0,07",0,0
Citta' Della Pieve,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040120,1041,"40,30",95,"3,68",76,"2,94",212,"8,21",28,"1,08",150,"5,81",32,"1,24",417,"16,14",119,"4,61",128,"4,96",100,"3,87",74,"2,86",10,"0,39",4,"0,15",25,"0,97",23,"0,89",18,"0,70",7,"0,27",4,"0,15",12,"0,46",0,0,2,"0,08",6,"0,23",1804,"62,40",970,"33,55",58,"2,01",21,"0,73",9,"0,31",7,"0,24",12,"0,42",2,"0,07",8,"0,28"
Citta' Di Castello,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040130,4675,"31,43",292,"1,96",1101,"7,40",405,"2,72",794,"5,34",456,"3,07",57,"0,38",3220,"21,65",802,"5,39",1696,"11,40",763,"5,13",171,"1,15",46,"0,31",36,"0,24",84,"0,56",67,"0,45",59,"0,40",25,"0,17",32,"0,22",26,"0,17",4,"0,03",4,"0,03",57,"0,38",8353,"52,01",7261,"45,21",194,"1,21",73,"0,45",31,"0,19",39,"0,24",34,"0,21",11,"0,07",63,"0,39"
Collazzone,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040140,333,"25,67",82,"6,32",56,"4,32",61,"4,70",24,"1,85",5,"0,39",19,"1,46",193,"14,88",143,"11,03",119,"9,18",58,"4,47",176,"13,57",8,"0,62",0,0,5,"0,39",5,"0,39",2,"0,15",0,0,3,"0,23",1,"0,08",0,0,0,0,4,"0,31",655,"46,49",730,"51,81",11,"0,78",4,"0,28",0,0,4,"0,28",1,"0,07",0,0,4,"0,28"
Corciano,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040150,3154,"37,82",352,"4,22",350,"4,20",352,"4,22",124,"1,49",229,"2,75",52,"0,62",1607,"19,27",814,"9,76",438,"5,25",430,"5,16",169,"2,03",43,"0,52",21,"0,25",51,"0,61",23,"0,28",31,"0,37",23,"0,28",38,"0,46",18,"0,22",3,"0,04",2,"0,02",16,"0,19",5103,"55,69",3820,"41,69",91,"0,99",38,"0,41",25,"0,27",40,"0,44",20,"0,22",7,"0,08",19,"0,21"
Costacciaro,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040160,111,"24,45",10,"2,20",23,"5,07",17,"3,74",6,"1,32",3,"0,66",95,"20,93",51,"11,23",67,"14,76",21,"4,63",29,"6,39",11,"2,42",2,"0,44",0,0,1,"0,22",2,"0,44",1,"0,22",1,"0,22",1,"0,22",2,"0,44",0,0,0,0,0,0,297,"59,05",197,"39,17",4,"0,80",1,"0,20",1,"0,20",1,"0,20",2,"0,40",0,0,0,0
Deruta,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040170,820,"20,79",174,"4,41",145,"3,68",124,"3,14",59,"1,50",62,"1,57",22,"0,56",504,"12,78",330,"8,37",244,"6,19",121,"3,07",1241,"31,47",16,"0,41",4,"0,10",22,"0,56",19,"0,48",14,"0,35",4,"0,10",6,"0,15",8,"0,20",1,"0,03",1,"0,03",3,"0,08",1568,"37,08",2569,"60,75",49,"1,16",15,"0,35",5,"0,12",7,"0,17",8,"0,19",3,"0,07",5,"0,12"
Foligno,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040180,5570,"28,89",849,"4,40",869,"4,51",1476,"7,66",528,"2,74",516,"2,68",163,"0,85",4092,"21,23",1446,"7,50",1713,"8,89",946,"4,91",463,"2,40",136,"0,71",29,"0,15",97,"0,50",71,"0,37",47,"0,24",33,"0,17",31,"0,16",51,"0,26",4,"0,02",8,"0,04",141,"0,73",11975,"53,14",9936,"44,09",234,"1,04",71,"0,32",44,"0,20",40,"0,18",64,"0,28",22,"0,10",150,"0,67"
Fossato Di Vico,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040190,262,"30,08",44,"5,05",34,"3,90",20,"2,30",5,"0,57",8,"0,92",14,"1,61",184,"21,13",126,"14,47",93,"10,68",49,"5,63",11,"1,26",5,"0,57",1,"0,11",7,"0,80",7,"0,80",0,0,1,"0,11",0,0,0,0,0,0,0,0,0,0,424,"45,01",494,"52,44",20,"2,12",0,0,3,"0,32",1,"0,11",0,0,0,0,0,0
Fratta Todina,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040200,308,"37,06",47,"5,66",31,"3,73",63,"7,58",29,"3,49",24,"2,89",7,"0,84",131,"15,76",83,"9,99",45,"5,42",20,"2,41",25,"3,01",3,"0,36",3,"0,36",4,"0,48",2,"0,24",1,"0,12",1,"0,12",0,0,4,"0,48",0,0,0,0,0,0,552,"61,13",337,"37,32",7,"0,78",1,"0,11",1,"0,11",1,"0,11",4,"0,44",0,0,0,0
