ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Portovenere,La Spezia,Liguria,1592,1632,3224,29.5,30.77,951,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390220,-4.13
Regionali Speciali,Portovenere,La Spezia,Liguria,1592,1632,3224,33.25,37.24,1072,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390220,-10.71
Regionali Speciali,Portovenere,La Spezia,Liguria,1592,1632,3224,46.99,53.71,1515,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390220,-12.51
Regionali Speciali,Ricco' Del Golfo Di Spezia,La Spezia,Liguria,1715,1662,3377,8.94,11.94,302,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390230,-25.13
Regionali Speciali,Ricco' Del Golfo Di Spezia,La Spezia,Liguria,1715,1662,3377,27.21,30.03,919,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390230,-9.39
Regionali Speciali,Ricco' Del Golfo Di Spezia,La Spezia,Liguria,1715,1662,3377,31.71,37.81,1071,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390230,-16.13
Regionali Speciali,Ricco' Del Golfo Di Spezia,La Spezia,Liguria,1715,1662,3377,43.97,51.76,1485,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390230,-15.05
Regionali Speciali,Riomaggiore,La Spezia,Liguria,739,753,1492,13.14,12.9,196,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390240,1.86
Regionali Speciali,Riomaggiore,La Spezia,Liguria,739,753,1492,30.36,30.03,453,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390240,1.1
Regionali Speciali,Riomaggiore,La Spezia,Liguria,739,753,1492,34.45,37.29,514,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390240,-7.62
Regionali Speciali,Riomaggiore,La Spezia,Liguria,739,753,1492,48.39,51.14,722,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390240,-5.38
Regionali Speciali,Rocchetta Di Vara,La Spezia,Liguria,324,374,698,8.45,10.62,59,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390250,-20.43
Regionali Speciali,Rocchetta Di Vara,La Spezia,Liguria,324,374,698,29.08,30.53,203,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390250,-4.75
Regionali Speciali,Rocchetta Di Vara,La Spezia,Liguria,324,374,698,32.38,36.28,226,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390250,-10.75
Regionali Speciali,Rocchetta Di Vara,La Spezia,Liguria,324,374,698,45.99,51.33,321,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390250,-10.4
Regionali Speciali,Santo Stefano Di Magra,La Spezia,Liguria,4153,4016,8169,11.94,12.55,975,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390260,-4.86
Regionali Speciali,Santo Stefano Di Magra,La Spezia,Liguria,4153,4016,8169,31.74,32.73,2593,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390260,-3.02
Regionali Speciali,Santo Stefano Di Magra,La Spezia,Liguria,4153,4016,8169,36.72,42.45,3000,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390260,-13.5
Regionali Speciali,Santo Stefano Di Magra,La Spezia,Liguria,4153,4016,8169,48.81,57.24,3987,2024-10-28,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390260,-14.73
Regionali Speciali,Sarzana,La Spezia,Liguria,9612,8922,18534,12.66,14.79,2346,2024-10-27,12:00,0,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390270,-14.4
Regionali Speciali,Sarzana,La Spezia,Liguria,9612,8922,18534,31.91,33.26,5914,2024-10-27,19:00,1,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390270,-4.06
Regionali Speciali,Sarzana,La Spezia,Liguria,9612,8922,18534,36.94,42.19,6847,2024-10-27,23:00,2,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/070390270,-12.44
