comune,VOTANTI_TOT,SKBIANCHE,VOTI_VALIDI,GIOVANNI TOTI_total_votes,GIOVANNI TOTI_total_perc,FERRUCCIO SANSA_total_votes,FERRUCCIO SANSA_total_perc
USCIO,1057,23,1034,664,64.22,308,29.79
VADO LIGURE,4177,124,4053,1778,43.87,1897,46.8
VALBREVENNA,426,12,414,206,49.76,185,44.69
VALLEBONA,517,11,506,301,59.49,184,36.36
VALLECROSIA,2984,67,2917,1902,65.2,894,30.65
VARAZZE,6747,130,6617,4329,65.42,1806,27.29
VARESE LIGURE,1049,32,1017,732,71.98,213,20.94
VASIA,205,6,199,105,52.76,45,22.61
VENDONE,219,3,216,134,62.04,54,25.0
VENTIMIGLIA,9262,174,9088,5972,65.71,2680,29.49
VERNAZZA,459,16,443,240,54.18,174,39.28
VESSALICO,95,3,92,65,70.65,17,18.48
VEZZANO LIGURE,3575,71,3504,1545,44.09,1663,47.46
VEZZI PORTIO,405,12,393,223,56.74,147,37.4
VILLA FARALDI,202,4,198,74,37.37,38,19.19
VILLANOVA D'ALBENGA,1509,38,1471,1092,74.24,286,19.44
VOBBIA,273,17,256,136,53.12,68,26.56
ZIGNAGO,298,8,290,200,68.97,76,26.21
ZOAGLI,1464,36,1428,926,64.85,430,30.11
ZUCCARELLO,200,8,192,122,63.54,59,30.73
