comune,provincia,regione,url,MICHELE DE PASCALE_total,MICHELE DE PASCALE_perc,ELENA UGOLINI_total,ELENA UGOLINI_perc,FEDERICO SERRA_total,FEDERICO SERRA_perc,LUCA TEODORI_total,LUCA TEODORI_perc,perc_diff
Medicina,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130370,3896,"59,58",2410,"36,86",164,"2,51",69,"1,06",61.66
Minerbio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130380,1890,"56,71",1342,"40,26",66,"1,98",35,"1,05",40.83
Molinella,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130390,2434,"42,14",3182,"55,09",84,"1,45",76,"1,32",-23.51
Monghidoro,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130400,623,"43,02",778,"53,73",29,"2,00",18,"1,24",-19.92
Monterenzio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130410,1125,"52,45",912,"42,52",50,"2,33",58,"2,70",23.36
Monte San Pietro,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130420,2909,"59,73",1818,"37,33",87,"1,79",56,"1,15",60.01
Monzuno,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130440,1171,"50,91",1060,"46,09",43,"1,87",26,"1,13",10.47
Mordano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130450,1073,"58,83",696,"38,16",27,"1,48",28,"1,54",54.17
Ozzano Dell'Emilia,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130460,3692,"61,81",2056,"34,42",130,"2,18",95,"1,59",79.57
Pianoro,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130470,4336,"58,64",2805,"37,94",133,"1,80",120,"1,62",54.58
Pieve Di Cento,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130480,1696,"56,29",1230,"40,82",45,"1,49",42,"1,39",37.89
Sala Bolognese,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130500,2081,"59,09",1329,"37,73",58,"1,65",54,"1,53",56.58
