comune,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
SORI,34,79,6,19,128,40,3,1,3,0,23,5,13,223,79,44,7,1,0.0,2.0
TIGLIETO,0,11,5,3,73,0,0,0,0,0,5,0,0,1,9,2,0,0,0.0,0.0
TORRIGLIA,22,83,15,10,46,5,0,2,0,0,28,6,1,177,10,16,5,0,1.0,0.0
TRIBOGNA,10,16,31,14,15,0,1,0,1,0,3,0,0,13,26,4,2,0,0.0,0.0
USCIO,11,52,100,19,44,5,2,0,4,2,10,4,13,26,19,23,1,0,0.0,0.0
VALBREVENNA,17,10,1,3,52,1,7,0,1,0,4,4,0,7,4,23,3,0,1.0,0.0
VOBBIA,11,9,1,0,48,0,0,0,1,1,0,0,4,16,0,1,0,0,0.0,0.0
ZOAGLI,54,53,23,35,73,15,5,2,4,9,13,4,14,33,135,14,3,4,3.0,0.0
AIROLE,2,6,1,0,49,0,0,1,0,0,0,0,0,46,10,4,0,0,0.0,0.0
APRICALE,2,2,0,3,10,0,0,0,0,0,5,2,0,12,6,5,0,2,0.0,0.0
AQUILA D'ARROSCIA,0,0,0,0,1,0,0,0,0,0,0,0,0,65,27,0,0,0,0.0,0.0
ARMO,0,2,0,0,3,0,1,0,0,0,1,0,0,11,20,0,0,0,0.0,0.0
AURIGO,10,2,3,0,15,0,0,0,0,0,1,0,0,35,24,3,0,0,0.0,0.0
BADALUCCO,12,10,2,6,51,0,0,0,0,1,16,0,0,13,128,11,0,0,0.0,0.0
BAJARDO,0,6,0,2,11,0,5,0,0,0,2,0,0,29,32,0,1,1,0.0,0.0
BORDIGHERA,11,335,159,59,468,3,10,32,8,1,40,11,0,580,228,61,3,7,4.0,0.0
BORGHETTO D'ARROSCIA,1,2,0,2,6,0,0,0,0,0,2,0,0,28,22,0,2,0,0.0,0.0
BORGOMARO,8,16,3,0,35,0,0,1,0,0,0,0,0,61,14,13,0,1,0.0,0.0
CAMPOROSSO,4,189,15,39,531,1,5,5,0,0,6,0,0,229,213,9,0,3,0.0,0.0
CARAVONICA,0,12,0,0,7,0,0,0,0,0,0,0,0,53,26,0,0,0,0.0,0.0
CASTELLARO,3,42,2,1,49,1,0,0,0,0,6,0,0,50,136,11,0,3,0.0,0.0
CASTEL VITTORIO,0,10,1,0,29,0,0,0,0,0,3,0,0,20,21,2,0,3,0.0,0.0
CERIANA,2,32,0,5,17,1,2,0,0,0,8,13,0,17,39,7,0,4,0.0,0.0
CERVO,7,9,16,8,51,10,0,0,0,0,3,0,1,10,41,5,11,0,0.0,0.0
CESIO,3,12,2,0,8,0,0,0,0,0,1,0,0,18,7,1,17,0,0.0,0.0
CHIUSANICO,9,3,1,2,25,0,0,0,0,0,1,0,1,63,42,3,6,2,0.0,0.0
CHIUSAVECCHIA,5,5,4,3,16,0,1,0,0,0,2,0,0,38,37,3,1,0,0.0,0.0
CIPRESSA,45,40,3,8,87,6,1,0,0,0,11,0,0,41,33,8,2,0,0.0,0.0
CIVEZZA,10,7,8,1,39,0,1,0,2,0,5,0,0,17,36,16,0,0,0.0,0.0
COSIO D'ARROSCIA,3,2,0,0,5,0,0,0,0,0,1,0,0,64,26,0,3,0,0.0,0.0
COSTARAINERA,101,12,0,2,41,1,2,0,1,0,7,6,0,20,18,9,2,0,0.0,0.0
DIANO ARENTINO,5,9,16,2,5,1,2,3,0,0,5,0,0,31,13,3,0,8,0.0,0.0
DIANO CASTELLO,28,45,33,2,78,10,4,1,1,1,0,0,0,59,119,5,0,1,1.0,0.0
DIANO MARINA,51,143,47,15,227,31,19,1,0,0,9,2,0,139,245,27,13,15,0.0,0.0
DIANO SAN PIETRO,4,17,59,2,31,8,4,3,0,0,4,0,0,49,28,4,2,1,0.0,0.0
DOLCEACQUA,0,61,6,16,153,0,0,0,0,0,5,2,0,84,70,11,2,0,0.0,0.0
DOLCEDO,16,24,3,1,78,1,0,0,0,0,0,4,0,27,57,21,2,0,0.0,0.0
IMPERIA,432,809,182,123,4014,37,97,62,8,6,121,23,34,1064,2954,422,242,59,1.0,0.0
ISOLABONA,1,35,0,4,53,0,0,2,0,0,1,0,0,25,42,3,0,0,0.0,0.0
LUCINASCO,2,8,0,1,29,0,0,0,0,0,0,0,0,43,14,0,2,0,0.0,0.0
MENDATICA,2,2,3,2,15,0,0,0,0,0,0,0,0,24,10,5,7,0,0.0,0.0
MOLINI DI TRIORA,1,36,0,3,9,0,0,1,0,0,5,0,0,17,48,20,0,0,1.0,0.0
MONTALTO CARPASIO,4,12,2,0,34,0,0,0,0,0,3,0,0,19,35,8,0,0,0.0,0.0
MONTEGROSSO PIAN LATTE,0,2,2,0,10,0,0,0,0,0,2,0,0,17,29,0,2,0,0.0,0.0
OLIVETTA SAN MICHELE,0,9,0,1,7,0,0,0,0,0,0,0,0,15,16,0,7,0,0.0,0.0
OSPEDALETTI,6,152,7,15,120,0,0,2,1,0,53,0,0,89,88,10,10,2,0.0,0.0
PERINALDO,0,28,2,7,23,0,0,0,0,0,5,0,0,24,26,4,0,0,0.0,0.0
PIETRABRUNA,5,14,0,0,25,1,0,0,0,1,8,0,2,38,4,7,0,0,0.0,0.0
PIEVE DI TECO,8,33,2,6,32,1,5,0,0,0,14,0,0,75,33,6,5,0,0.0,0.0
PIGNA,0,50,0,0,37,0,1,0,0,0,10,0,0,31,19,22,0,26,0.0,0.0
POMPEIANA,2,8,2,0,56,0,0,1,0,0,3,0,0,36,91,2,0,0,0.0,0.0
PONTEDASSIO,15,36,8,8,130,0,0,1,1,0,4,0,0,334,96,4,3,2,0.0,0.0
PORNASSIO,3,3,2,0,8,0,2,0,0,0,9,0,0,28,32,4,2,0,0.0,0.0
PRELA',1,0,1,0,32,0,2,0,0,0,0,0,0,49,9,2,4,0,0.0,0.0
RANZO,1,1,0,0,4,0,0,1,0,0,0,0,0,26,13,0,1,1,0.0,0.0
REZZO,6,2,0,0,23,3,0,0,0,0,0,0,0,25,23,1,0,0,0.0,0.0
RIVA LIGURE,18,86,2,7,75,1,4,2,0,1,25,0,0,58,152,15,8,0,0.0,0.0
ROCCHETTA NERVINA,0,22,1,4,12,0,0,2,0,0,0,0,0,3,9,5,1,1,0.0,0.0
SAN BARTOLOMEO AL MARE,19,108,31,15,169,23,4,5,0,0,0,1,1,77,76,8,9,5,0.0,0.0
SAN BIAGIO DELLA CIMA,0,98,6,4,60,0,2,1,0,0,11,2,0,112,23,11,0,0,0.0,0.0
SAN LORENZO AL MARE,19,30,3,6,102,0,1,0,0,2,1,0,1,32,92,27,3,0,0.0,0.0
SANREMO,203,3300,50,266,1305,48,52,61,22,1,814,69,9,1418,1328,369,117,20,31.0,0.0
SANTO STEFANO AL MARE,22,73,2,7,84,1,5,2,0,1,10,0,0,38,176,16,6,1,0.0,0.0
SEBORGA,0,16,6,0,9,0,0,0,0,0,0,0,0,16,7,1,0,0,0.0,0.0
SOLDANO,0,23,5,2,67,1,0,0,0,0,1,0,0,43,10,9,1,0,0.0,0.0
TAGGIA,37,341,11,57,600,9,8,6,5,0,57,15,0,355,1847,104,22,12,1.0,0.0
TERZORIO,2,6,0,1,15,0,0,0,0,0,2,0,0,3,29,4,1,0,1.0,0.0
TRIORA,0,13,0,0,14,0,0,0,0,0,2,0,0,17,38,8,1,1,0.0,0.0
VALLEBONA,2,23,20,3,48,0,0,2,0,1,6,2,0,122,35,6,0,0,0.0,0.0
VALLECROSIA,5,435,24,33,413,1,1,5,1,0,17,0,0,740,90,51,0,1,0.0,0.0
VASIA,1,11,0,2,21,1,0,0,0,0,0,0,0,20,22,8,4,1,0.0,0.0
VENTIMIGLIA,21,660,171,211,1407,11,3,64,9,4,48,4,1,1057,1469,153,1,9,3.0,0.0
VESSALICO,0,0,0,0,1,0,0,0,1,0,1,0,0,29,16,0,0,0,0.0,0.0
VILLA FARALDI,4,1,9,1,20,0,2,0,1,0,0,0,0,8,22,0,0,3,0.0,0.0
AMEGLIA,342,87,2,29,166,22,1,0,4,1,75,7,4,37,30,110,22,1,0.0,0.0
ARCOLA,257,251,18,77,610,42,22,6,15,32,44,20,25,153,91,134,40,1,0.0,0.0
BEVERINO,316,107,10,11,63,29,2,0,2,6,9,8,9,14,48,98,6,0,0.0,0.0
BOLANO,246,240,21,24,554,44,2,7,5,44,54,10,22,103,214,138,34,0,1.0,0.0
BONASSOLA,22,5,0,10,52,12,4,19,0,0,0,1,0,5,0,3,0,0,0.0,0.0
BORGHETTO DI VARA,53,74,1,2,36,37,0,0,0,2,0,4,4,27,8,6,2,0,1.0,0.0
BRUGNATO,89,130,2,4,46,60,0,2,0,6,4,2,0,31,8,15,1,0,0.0,0.0
CALICE AL CORNOVIGLIO,62,23,1,4,25,6,2,1,0,7,0,3,5,8,30,11,1,0,0.0,0.0
CARRO,59,10,0,6,10,29,1,0,2,16,0,1,2,2,2,8,0,0,0.0,0.0
CARRODANO,20,15,1,2,7,24,2,0,0,0,1,0,0,3,4,7,0,0,0.0,0.0
CASTELNUOVO MAGRA,320,129,5,31,838,12,12,0,20,4,18,6,6,143,25,55,28,0,2.0,0.0
DEIVA MARINA,142,6,0,2,34,7,36,0,0,0,0,0,0,23,20,6,0,0,0.0,0.0
FOLLO,38,95,8,28,220,40,3,6,6,7,24,18,2,63,953,87,13,0,0.0,0.0
FRAMURA,96,13,0,3,20,5,7,4,0,0,0,0,0,4,6,0,0,0,0.0,0.0
LA SPEZIA,1218,3107,1007,363,4406,509,49,18,40,287,651,265,377,1551,1565,2713,436,26,35.0,0.0
LERICI,93,983,40,49,467,283,9,0,5,8,92,13,12,163,75,229,35,1,2.0,0.0
LEVANTO,251,131,3,20,160,264,1,0,4,12,12,10,8,49,13,53,1,0,1.0,0.0
MAISSANA,12,13,0,0,40,24,2,0,0,1,0,12,0,1,9,3,1,0,0.0,0.0
MONTEROSSO AL MARE,60,31,0,3,5,193,0,0,0,1,3,0,0,22,12,18,0,0,0.0,0.0
LUNI,116,176,5,19,1432,20,6,4,11,0,16,2,1,70,17,22,14,0,0.0,0.0
PIGNONE,86,4,0,1,22,18,0,1,0,3,3,0,3,2,4,37,0,0,0.0,0.0
PORTOVENERE,41,182,20,12,178,27,18,0,0,5,34,30,5,33,64,88,13,0,2.0,0.0
RICCO' DEL GOLFO DI SPEZIA,164,103,8,21,124,48,0,0,0,10,17,20,10,31,43,94,19,0,1.0,0.0
RIOMAGGIORE,24,13,1,2,99,75,3,1,2,0,5,2,0,8,8,61,6,2,0.0,0.0
ROCCHETTA DI VARA,49,50,0,0,13,40,0,0,0,0,1,0,0,10,12,6,0,0,0.0,0.0
SANTO STEFANO DI MAGRA,105,226,23,80,1081,20,29,2,5,17,41,14,64,349,170,89,42,1,0.0,0.0
SARZANA,849,748,16,215,2054,162,78,11,18,27,92,8,51,267,150,313,333,8,0.0,0.0
SESTA GODANO,35,45,0,4,10,247,0,2,0,0,2,5,2,6,2,5,0,3,0.0,0.0
VARESE LIGURE,89,49,2,2,189,83,0,0,4,3,0,9,0,9,7,2,0,0,8.0,0.0
VERNAZZA,26,7,2,3,6,224,0,0,1,0,8,1,1,23,7,4,5,2,0.0,0.0
VEZZANO LIGURE,71,215,15,48,487,29,12,2,1,17,55,20,27,287,107,137,28,1,2.0,0.0
ZIGNAGO,10,62,1,0,3,16,1,0,0,4,2,0,0,3,7,1,0,0,0.0,0.0
ALASSIO,53,875,28,6,197,2,2,25,10,0,38,1,11,128,115,874,18,0,0.0,0.0
ALBENGA,422,451,63,26,2571,8,9,39,23,13,408,15,8,651,1045,276,12,6,0.0,0.0
ALBISSOLA MARINA,95,64,8,54,457,9,9,0,5,2,26,3,1,115,117,70,40,0,0.0,0.0
ALBISOLA SUPERIORE,231,75,6,122,581,21,12,1,16,2,21,7,2,336,83,117,54,1,0.0,0.0
ALTARE,14,13,1,1,74,7,0,0,4,0,3,0,0,32,15,17,6,0,0.0,0.0
