comune,provincia,regione,url,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE_perc,LISTA ANDREA ORLANDO PRESIDENTE,LISTA ANDREA ORLANDO PRESIDENTE_perc,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA_perc,MOVIMENTO 5 STELLE 2050,MOVIMENTO 5 STELLE 2050_perc,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA_perc,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,LIGURI A TESTA ALTA ORLANDO PRESIDENTE_perc,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA_perc,ORGOGLIO LIGURIA BUCCI PRESIDENTE,ORGOGLIO LIGURIA BUCCI PRESIDENTE_perc,BUCCI PRESIDENTE VINCE LIGURIA,BUCCI PRESIDENTE VINCE LIGURIA_perc,LEGA LIGURIA BUCCI PRESIDENTE,LEGA LIGURIA BUCCI PRESIDENTE_perc,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE_perc,BUCCI LIBERTAS UDC,BUCCI LIBERTAS UDC_perc,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE_perc,UNITI PER LA COSTITUZIONE,UNITI PER LA COSTITUZIONE_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,PARTITO COMUNISTA DEI LAVORATORI,PARTITO COMUNISTA DEI LAVORATORI_perc,INDIPENDENZA! ALEMANNO PER ROSSON,INDIPENDENZA! ALEMANNO PER ROSSON_perc,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA'_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,NICOLA MORRA_total_votes,NICOLA MORRA_total_perc,FRANCESCO TOSCANO_total_votes,FRANCESCO TOSCANO_total_perc,NICOLA ROLLANDO_total_votes,NICOLA ROLLANDO_total_perc,DAVIDE FELICE_total_votes,DAVIDE FELICE_total_perc,MARCO GIUSEPPE FERRANDO_total_votes,MARCO GIUSEPPE FERRANDO_total_perc,ALESSANDRO ROSSON_total_votes,ALESSANDRO ROSSON_total_perc,MARIA ANTONIETTA CELLA_total_votes,MARIA ANTONIETTA CELLA_total_perc,,None_perc
Casarza Ligure,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340110,625,"22,94",107,"3,93",75,"2,75",109,"4,00",38,"1,40",55,"2,02",245,"8,99",178,"6,53",115,"4,22",156,"5,73",834,"30,62",26,"0,95",30,"1,10",26,"0,95",30,"1,10",46,"1,69",5,"0,18",7.0,"0,26",6,"0,22",11.0,"0,40",1063,"37,67",1621,"57,44",27,"0,96",31,"1,10",51,"1,81",5,"0,18",7,"0,25",6,"0,21",11,"0,39",,
Casella,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340120,315,"26,45",63,"5,29",46,"3,86",61,"5,12",17,"1,43",16,"1,34",198,"16,62",106,"8,90",167,"14,02",87,"7,30",53,"4,45",28,"2,35",1,"0,08",9,"0,76",12,"1,01",5,"0,42",3,"0,25",0.0,0,1,"0,08",3.0,"0,25",544,"43,45",676,"53,99",7,"0,56",13,"1,04",5,"0,40",3,"0,24",0,0,1,"0,08",3,"0,24",,
Castiglione Chiavarese,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340130,129,"20,61",74,"11,82",20,"3,19",21,"3,35",9,"1,44",6,"0,96",74,"11,82",119,"19,01",22,"3,51",37,"5,91",74,"11,82",9,"1,44",4,"0,64",0,0,8,"1,28",12,"1,92",0,0,4.0,"0,64",1,"0,16",3.0,"0,48",265,"41,02",347,"53,72",0,0,9,"1,39",16,"2,48",0,0,4,"0,62",2,"0,31",3,"0,46",,
Ceranesi,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340140,503,"32,64",71,"4,61",70,"4,54",89,"5,78",24,"1,56",8,"0,52",181,"11,75",172,"11,16",149,"9,67",116,"7,53",51,"3,31",31,"2,01",4,"0,26",40,"2,60",2,"0,13",14,"0,91",2,"0,13",6.0,"0,39",3,"0,19",5.0,"0,32",797,"48,69",766,"46,79",38,"2,32",2,"0,12",18,"1,10",2,"0,12",6,"0,37",3,"0,18",5,"0,31",,
Chiavari,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340150,2513,"22,75",555,"5,02",448,"4,06",524,"4,74",185,"1,67",96,"0,87",1466,"13,27",935,"8,46",1428,"12,93",1431,"12,95",758,"6,86",135,"1,22",57,"0,52",77,"0,70",88,"0,80",98,"0,89",16,"0,14",38.0,"0,34",20,"0,18",179.0,"1,62",4573,"39,24",6529,"56,02",78,"0,67",97,"0,83",113,"0,97",16,"0,14",39,"0,33",23,"0,20",186,"1,60",,
Cicagna,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340160,116,"13,99",20,"2,41",21,"2,53",56,"6,76",14,"1,69",10,"1,21",132,"15,92",122,"14,72",57,"6,88",157,"18,94",78,"9,41",12,"1,45",5,"0,60",1,"0,12",13,"1,57",4,"0,48",1,"0,12",1.0,"0,12",0,0,9.0,"1,09",245,"28,16",592,"68,05",2,"0,23",13,"1,49",5,"0,57",1,"0,11",1,"0,11",0,0,11,"1,26",,
Cogoleto,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340170,1108,"30,26",261,"7,13",159,"4,34",205,"5,60",67,"1,83",226,"6,17",443,"12,10",315,"8,60",290,"7,92",245,"6,69",138,"3,77",68,"1,86",14,"0,38",31,"0,85",28,"0,76",24,"0,66",8,"0,22",19.0,"0,52",4,"0,11",9.0,"0,25",2093,"53,49",1687,"43,11",31,"0,79",30,"0,77",27,"0,69",10,"0,26",20,"0,51",4,"0,10",11,"0,28",,
Cogorno,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340180,529,"23,52",111,"4,94",77,"3,42",125,"5,56",34,"1,51",19,"0,84",340,"15,12",209,"9,29",284,"12,63",221,"9,83",144,"6,40",39,"1,73",10,"0,44",18,"0,80",16,"0,71",14,"0,62",2,"0,09",9.0,"0,40",2,"0,09",46.0,"2,05",923,"38,35",1335,"55,46",25,"1,04",22,"0,91",22,"0,91",4,"0,17",14,"0,58",6,"0,25",56,"2,33",,
Coreglia Ligure,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340190,23,"20,72",4,"3,60",8,"7,21",6,"5,41",0,0,0,0,12,"10,81",16,"14,41",6,"5,41",25,"22,52",6,"5,41",3,"2,70",1,"0,90",0,0,1,"0,90",0,0,0,0,0.0,0,0,0,0.0,0,42,"36,52",70,"60,87",0,0,1,"0,87",1,"0,87",0,0,0,0,0,0,1,"0,87",,
Crocefieschi,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340200,77,"28,95",23,"8,65",14,"5,26",20,"7,52",2,"0,75",5,"1,88",32,"12,03",28,"10,53",25,"9,40",17,"6,39",11,"4,14",3,"1,13",0,0,1,"0,38",6,"2,26",1,"0,38",0,0,0.0,0,1,"0,38",0.0,0,146,"51,05",131,"45,80",1,"0,35",6,"2,10",1,"0,35",0,0,0,0,1,"0,35",0,0,,
