comune,provincia,regione,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,left_right_index
Fabbrico,Reggio Nell'Emilia,Emilia-Romagna,1709,"72,79",553,"23,55",-0.51105216622458
Gattatico,Reggio Nell'Emilia,Emilia-Romagna,1167,"61,20",648,"33,98",-0.2859504132231405
Gualtieri,Reggio Nell'Emilia,Emilia-Romagna,1280,"62,20",724,"35,18",-0.2774451097804391
Guastalla,Reggio Nell'Emilia,Emilia-Romagna,2722,"55,30",2058,"41,81",-0.1389121338912134
Luzzara,Reggio Nell'Emilia,Emilia-Romagna,1721,"62,86",936,"34,19",-0.2954459917199849
Montecchio Emilia,Reggio Nell'Emilia,Emilia-Romagna,2185,"61,45",1206,"33,91",-0.28870539663815986
Novellara,Reggio Nell'Emilia,Emilia-Romagna,3473,"70,49",1342,"27,24",-0.4425752855659398
Poviglio,Reggio Nell'Emilia,Emilia-Romagna,1426,"61,92",792,"34,39",-0.28584310189359785
Quattro Castella,Reggio Nell'Emilia,Emilia-Romagna,3429,"62,06",1919,"34,73",-0.28234854151084515
Reggiolo,Reggio Nell'Emilia,Emilia-Romagna,2019,"65,36",947,"30,66",-0.3614295347269049
Reggio Nell'Emilia,Reggio Nell'Emilia,Emilia-Romagna,37836,"64,86",18619,"31,92",-0.34039500487113633
Rio Saliceto,Reggio Nell'Emilia,Emilia-Romagna,1409,"62,37",763,"33,78",-0.2974217311233886
Rolo,Reggio Nell'Emilia,Emilia-Romagna,827,"61,12",497,"36,73",-0.24924471299093656
Rubiera,Reggio Nell'Emilia,Emilia-Romagna,3511,"64,83",1721,"31,78",-0.34212538226299694
San Martino In Rio,Reggio Nell'Emilia,Emilia-Romagna,1812,"58,93",1158,"37,66",-0.2202020202020202
San Polo D'Enza,Reggio Nell'Emilia,Emilia-Romagna,1241,"59,01",778,"36,99",-0.229321446260525
Sant'Ilario D'Enza,Reggio Nell'Emilia,Emilia-Romagna,2229,"59,11",1399,"37,10",-0.22877618522601983
Scandiano,Reggio Nell'Emilia,Emilia-Romagna,6905,"65,64",3299,"31,36",-0.353390827126617
Toano,Reggio Nell'Emilia,Emilia-Romagna,600,"45,94",661,"50,61",0.04837430610626487
Ventasso,Reggio Nell'Emilia,Emilia-Romagna,806,"45,56",907,"51,27",0.05896088733216579
Vetto,Reggio Nell'Emilia,Emilia-Romagna,322,"46,80",356,"51,74",0.05014749262536873
Vezzano Sul Crostolo,Reggio Nell'Emilia,Emilia-Romagna,1002,"61,17",565,"34,49",-0.2788768347160179
Viano,Reggio Nell'Emilia,Emilia-Romagna,718,"54,19",560,"42,26",-0.12363067292644757
Villa Minozzo,Reggio Nell'Emilia,Emilia-Romagna,662,"47,25",657,"46,90",-0.0037907505686125853
Bellaria-Igea Marina,Rimini,Emilia-Romagna,2756,"45,09",3173,"51,91",0.07033226513745994
Casteldelci,Rimini,Emilia-Romagna,54,"32,53",109,"65,66",0.3374233128834356
Cattolica,Rimini,Emilia-Romagna,2837,"55,42",2066,"40,36",-0.15725066285947378
Coriano,Rimini,Emilia-Romagna,1953,"51,79",1696,"44,97",-0.0704302548643464
Gemmano,Rimini,Emilia-Romagna,154,"41,96",195,"53,13",0.1174785100286533
Maiolo,Rimini,Emilia-Romagna,142,"41,16",195,"56,52",0.1572700296735905
Misano Adriatico,Rimini,Emilia-Romagna,2243,"54,47",1755,"42,62",-0.12206103051525763
Mondaino,Rimini,Emilia-Romagna,230,"54,12",183,"43,06",-0.11380145278450363
Montefiore Conca,Rimini,Emilia-Romagna,228,"45,51",246,"49,10",0.0379746835443038
Montegridolfo,Rimini,Emilia-Romagna,166,"60,81",96,"35,16",-0.26717557251908397
Montescudo-Monte Colombo,Rimini,Emilia-Romagna,727,"41,17",976,"55,27",0.1462125660598943
Morciano Di Romagna,Rimini,Emilia-Romagna,899,"43,94",1074,"52,49",0.08869741510390268
Novafeltria,Rimini,Emilia-Romagna,1184,"45,19",1374,"52,44",0.07427677873338545
Pennabilli,Rimini,Emilia-Romagna,472,"45,21",552,"52,87",0.078125
Poggio Torriana,Rimini,Emilia-Romagna,1034,"59,87",616,"35,67",-0.25333333333333335
Riccione,Rimini,Emilia-Romagna,5992,"47,86",6232,"49,78",0.01963350785340314
Rimini,Rimini,Emilia-Romagna,27587,"53,63",22337,"43,42",-0.10515984296130118
Saludecio,Rimini,Emilia-Romagna,330,"42,69",418,"54,08",0.11764705882352941
San Clemente,Rimini,Emilia-Romagna,757,"53,20",620,"43,57",-0.09949164851125636
San Giovanni In Marignano,Rimini,Emilia-Romagna,1741,"57,25",1184,"38,93",-0.19042735042735043
San Leo,Rimini,Emilia-Romagna,463,"44,73",531,"51,30",0.06841046277665996
Sant'Agata Feltria,Rimini,Emilia-Romagna,363,"52,53",313,"45,30",-0.07396449704142012
Santarcangelo Di Romagna,Rimini,Emilia-Romagna,5130,"61,83",2916,"35,15",-0.2751677852348993
Talamello,Rimini,Emilia-Romagna,185,"48,56",184,"48,29",-0.0027100271002710027
Verucchio,Rimini,Emilia-Romagna,1662,"50,09",1507,"45,42",-0.04891132849479331
