ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Monte Santa Maria Tiberina,Terni,Umbria,454,494,948,63.19,69.76,599,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580320,-6.57
Regionali Speciali,Montone,Terni,Umbria,680,655,1335,59.78,70.58,798,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580330,-10.8
Regionali Speciali,Nocera Umbra,Terni,Umbria,2429,2488,4917,49.09,62.42,2414,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580340,-13.33
Regionali Speciali,Norcia,Terni,Umbria,1815,1835,3650,54.52,71.6,1990,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580350,-17.08
Regionali Speciali,Paciano,Terni,Umbria,383,387,770,58.96,66.62,454,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580360,-7.66
Regionali Speciali,Panicale,Terni,Umbria,2198,2091,4289,52.06,63.21,2233,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580370,-11.15
Regionali Speciali,Passignano Sul Trasimeno,Terni,Umbria,2469,2379,4848,49.01,63.3,2376,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580380,-14.29
Regionali Speciali,Perugia,Terni,Umbria,67551,62278,129829,55.47,66.35,67540,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580390,-10.88
Regionali Speciali,Piegaro,Terni,Umbria,1405,1343,2748,52.77,67.33,1450,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580400,-14.56
Regionali Speciali,Pietralunga,Terni,Umbria,932,914,1846,53.41,61.43,986,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580410,-8.02
Regionali Speciali,Poggiodomo,Terni,Umbria,30,50,80,62.5,66.29,50,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580420,-3.79
Regionali Speciali,Preci,Terni,Umbria,296,293,589,60.27,73.04,355,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580430,-12.77
Regionali Speciali,San Giustino,Terni,Umbria,4724,4495,9219,49.89,64.53,4599,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580440,-14.64
Regionali Speciali,Sant'Anatolia Di Narco,Terni,Umbria,195,236,431,56.38,65.63,243,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580450,-9.25
Regionali Speciali,Scheggia E Pascelupo,Terni,Umbria,651,654,1305,42.45,56.08,554,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580460,-13.63
Regionali Speciali,Scheggino,Terni,Umbria,178,197,375,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580470,0.0
Regionali Speciali,Sellano,Terni,Umbria,423,467,890,48.99,64.6,436,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580480,-15.61
Regionali Speciali,Sigillo,Terni,Umbria,1128,1046,2174,48.67,61.72,1058,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580490,-13.05
Regionali Speciali,Spello,Terni,Umbria,3688,3464,7152,52.91,66.75,3784,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580500,-13.84
Regionali Speciali,Spoleto,Terni,Umbria,15499,14701,30200,47.53,60.35,14044,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580510,-12.82
Regionali Speciali,Todi,Terni,Umbria,6613,6409,13022,54.16,66.03,7053,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580520,-11.87
Regionali Speciali,Torgiano,Terni,Umbria,2796,2690,5486,57.42,67.59,3150,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580530,-10.17
Regionali Speciali,Trevi,Terni,Umbria,3460,3328,6788,47.69,60.92,3237,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580540,-13.23
Regionali Speciali,Tuoro Sul Trasimeno,Terni,Umbria,1606,1540,3146,46.85,60.59,1474,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580550,-13.74
Regionali Speciali,Umbertide,Terni,Umbria,6458,6124,12582,57.8,68.38,7272,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580560,-10.58
Regionali Speciali,Valfabbrica,Terni,Umbria,1368,1346,2714,57.52,70.26,1561,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580570,-12.74
Regionali Speciali,Vallo Di Nera,Terni,Umbria,146,137,283,59.01,69.15,167,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580580,-10.14
Regionali Speciali,Valtopina,Terni,Umbria,553,557,1110,50.9,64.31,565,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100580590,-13.41
Regionali Speciali,Acquasparta,Terni,Umbria,1865,1712,3577,52.64,65.03,1883,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800010,-12.39
Regionali Speciali,Allerona,Terni,Umbria,713,685,1398,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800020,0.0
Regionali Speciali,Alviano,Terni,Umbria,603,568,1171,53.03,72.0,621,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800030,-18.97
Regionali Speciali,Amelia,Terni,Umbria,4903,4812,9715,56.02,65.31,5442,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800040,-9.29
Regionali Speciali,Arrone,Terni,Umbria,1060,992,2052,53.8,67.21,1104,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800050,-13.41
Regionali Speciali,Attigliano,Terni,Umbria,748,736,1484,58.56,69.97,869,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800060,-11.41
