comune,CSX_votes_2019,CSX_perc_2019,CDX_votes_2019,CDX_perc_2019,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2019,margin_2024,margin_shift,latitude,longitude
Cerreto Di Spoleto,150,25.38,416,70.39,Perugia,Umbria,165,36.03,288,62.88,45.010000000000005,26.85,-18.160000000000004,42.8210425,12.9176291
Citerna,618,34.49,1061,59.21,Perugia,Umbria,668,49.52,654,48.48,24.72,-1.0400000000000063,-25.760000000000005,43.4984067,12.1155164
Città Della Pieve,1726,43.97,1778,45.3,Perugia,Umbria,1804,62.4,970,33.55,1.3299999999999983,-28.85,-30.18,42.9527338,12.004326
Città Di Castello,7684,35.87,12461,58.18,Perugia,Umbria,8353,52.01,7261,45.21,22.310000000000002,-6.799999999999997,-29.11,43.4574214,12.2403118
Collazzone,510,28.32,1116,61.97,Perugia,Umbria,655,46.49,730,51.81,33.65,5.32,-28.33,42.8996582,12.4359527
Corciano,4316,39.01,5823,52.63,Perugia,Umbria,5103,55.69,3820,41.69,13.620000000000005,-14.0,-27.620000000000005,43.1290269,12.287718
Costacciaro,286,43.93,324,49.77,Perugia,Umbria,297,59.05,197,39.17,5.840000000000003,-19.879999999999995,-25.72,43.3604089,12.7123784
Deruta,1485,29.6,3032,60.43,Perugia,Umbria,1568,37.08,2569,60.75,30.83,23.67,-7.159999999999997,42.98229,12.4195878
Foligno,10675,37.84,15849,56.19,Perugia,Umbria,11975,53.14,9936,44.09,18.349999999999994,-9.049999999999997,-27.39999999999999,42.9559744,12.7034782
Fossato Di Vico,419,32.97,768,60.42,Perugia,Umbria,424,45.01,494,52.44,27.450000000000003,7.43,-20.020000000000003,43.2976278,12.7598803
Fratta Todina,350,32.89,530,49.81,Perugia,Umbria,552,61.13,337,37.32,16.92,-23.810000000000002,-40.730000000000004,42.8579387,12.3646786
Giano Dell'Umbria,460,26.47,1217,70.02,Perugia,Umbria,524,39.4,772,58.05,43.55,18.65,-24.9,42.8334672,12.5777111
Gualdo Cattaneo,819,25.51,2201,68.55,Perugia,Umbria,981,37.15,1615,61.15,43.03999999999999,24.0,-19.039999999999992,42.9094087,12.5558159
Gualdo Tadino,2539,31.55,5066,62.95,Perugia,Umbria,2403,39.58,3565,58.72,31.400000000000002,19.14,-12.260000000000002,43.2316518,12.7809617
Gubbio,6825,40.21,8653,50.98,Perugia,Umbria,7005,54.75,5450,42.59,10.769999999999996,-12.159999999999997,-22.929999999999993,43.3517605,12.5772959
Lisciano Niccone,125,47.17,123,46.42,Perugia,Umbria,113,68.9,47,28.66,-0.75,-40.24000000000001,-39.49000000000001,43.246844,12.14305
