comune,CSX_votes_2020,CSX_perc_2020,CDX_votes_2020,CDX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Jolanda Di Savoia,505,33.8,887,59.37,Ferrara,Emilia-Romagna,380,48.53,362,46.23,25.57,-2.3000000000000043,27.870000000000005,44.8824077,11.9793488
Lagosanto,753,28.13,1705,63.69,Ferrara,Emilia-Romagna,553,40.93,754,55.81,35.56,14.880000000000003,20.68,44.76198,12.142825
Masi Torello,356,25.72,926,66.91,Ferrara,Emilia-Romagna,306,34.3,556,62.33,41.19,28.03,13.159999999999997,44.794578,11.801817
Mesola,1059,29.42,2304,64.0,Ferrara,Emilia-Romagna,796,37.23,1303,60.94,34.58,23.71,10.869999999999997,44.9207815,12.2292244
Ostellato,1108,33.46,1912,57.75,Ferrara,Emilia-Romagna,868,47.88,848,46.77,24.29,-1.1099999999999994,25.4,44.745678,11.943521
Poggio Renatico,2138,40.92,2747,52.57,Ferrara,Emilia-Romagna,1666,51.04,1516,46.45,11.649999999999999,-4.589999999999996,16.239999999999995,44.765974,11.490111
Portomaggiore,2316,38.36,3328,55.13,Ferrara,Emilia-Romagna,1743,45.86,1962,51.62,16.770000000000003,5.759999999999998,11.010000000000005,44.6992584,11.804078
Riva Del Po,1331,32.82,2414,59.53,Ferrara,Emilia-Romagna,908,42.61,1166,54.72,26.71,12.11,14.600000000000001,44.9604698,11.8943944
Terre Del Reno,1897,34.93,3197,58.87,Ferrara,Emilia-Romagna,1455,41.52,1949,55.62,23.939999999999998,14.099999999999994,9.840000000000003,44.8121549,11.4043878
Tresignana,1487,39.4,2039,54.03,Ferrara,Emilia-Romagna,1170,50.11,1093,46.81,14.630000000000003,-3.299999999999997,17.93,44.8289372,11.8789171
Vigarano Mainarda,1693,38.19,2459,55.47,Ferrara,Emilia-Romagna,1346,48.28,1341,48.1,17.28,-0.17999999999999972,17.46,44.8434217,11.4944364
Voghiera,767,35.54,1238,57.37,Ferrara,Emilia-Romagna,616,42.22,791,54.22,21.83,12.0,9.829999999999998,44.759074,11.751132
Alto Reno Terme,1903,48.92,1781,45.78,Bologna,Emilia-Romagna,1240,49.13,1204,47.7,-3.1400000000000006,-1.4299999999999997,-1.7100000000000009,44.123913099999996,10.937216088213724
Anzola Dell'Emilia,4349,62.01,2128,30.34,Bologna,Emilia-Romagna,3346,66.04,1561,30.81,-31.669999999999998,-35.230000000000004,3.560000000000006,44.5466843,11.1933259
Argelato,3358,58.16,2019,34.97,Bologna,Emilia-Romagna,2536,63.51,1327,33.23,-23.189999999999998,-30.28,7.090000000000003,44.64157,11.34781
Baricella,1703,46.13,1699,46.02,Bologna,Emilia-Romagna,1277,51.6,1115,45.05,-0.10999999999999943,-6.550000000000004,6.440000000000005,44.6461651,11.5332953
Bentivoglio,1870,57.82,1171,36.21,Bologna,Emilia-Romagna,1357,60.15,806,35.73,-21.61,-24.42,2.8100000000000023,44.6357918,11.4171933
Bologna,135443,63.83,65014,30.64,Bologna,Emilia-Romagna,102589,63.55,51567,31.94,-33.19,-31.609999999999996,-1.5800000000000018,44.4938203,11.3426327
Borgo Tossignano,862,51.34,635,37.82,Bologna,Emilia-Romagna,592,55.64,425,39.94,-13.520000000000003,-15.700000000000003,2.1799999999999997,44.2756903,11.5898435
Budrio,5748,55.13,3930,37.69,Bologna,Emilia-Romagna,4144,55.41,3061,40.93,-17.440000000000005,-14.479999999999997,-2.960000000000008,44.537863,11.5354979
Calderara Di Reno,4600,58.41,2666,33.85,Bologna,Emilia-Romagna,3798,64.36,1893,32.08,-24.559999999999995,-32.28,7.720000000000006,44.5630515,11.271693
Camugnano,441,38.75,632,55.54,Bologna,Emilia-Romagna,351,44.88,409,52.3,16.79,7.419999999999995,9.370000000000005,44.170457,11.088812
Casalecchio Di Reno,12706,61.68,6616,32.11,Bologna,Emilia-Romagna,9514,64.51,4708,31.93,-29.57,-32.580000000000005,3.010000000000005,44.4760177,11.2756857
Casalfiumanese,975,53.05,713,38.79,Bologna,Emilia-Romagna,700,58.53,455,38.04,-14.259999999999998,-20.490000000000002,6.230000000000004,44.296864,11.624022
Castel D'Aiano,490,44.26,561,50.68,Bologna,Emilia-Romagna,341,42.79,423,53.07,6.420000000000002,10.280000000000001,-3.8599999999999994,44.275859,10.999408
Castel Del Rio,309,49.2,276,43.95,Bologna,Emilia-Romagna,248,55.48,184,41.16,-5.25,-14.32,9.07,44.2142924,11.5040816
Castel Di Casio,986,49.47,894,44.86,Bologna,Emilia-Romagna,660,49.62,620,46.62,-4.609999999999999,-3.0,-1.6099999999999994,44.162956,11.035811
Castel Guelfo Di Bologna,1290,52.35,984,39.94,Bologna,Emilia-Romagna,933,53.74,747,43.03,-12.410000000000004,-10.71,-1.7000000000000028,44.4311401,11.6774095
Castello D'Argile,1793,49.89,1544,42.96,Bologna,Emilia-Romagna,1376,56.91,970,40.12,-6.93,-16.79,9.86,44.6813212,11.2961688
Castel Maggiore,6827,62.31,3423,31.24,Bologna,Emilia-Romagna,5307,65.93,2435,30.25,-31.070000000000004,-35.68000000000001,4.610000000000003,44.575685,11.3648104
Castel San Pietro Terme,6783,56.13,4471,37.0,Bologna,Emilia-Romagna,5195,59.45,3271,37.43,-19.130000000000003,-22.020000000000003,2.8900000000000006,44.4012699,11.5854987
Castenaso,5788,61.0,3084,32.5,Bologna,Emilia-Romagna,4717,63.6,2486,33.52,-28.5,-30.08,1.5799999999999983,44.5088703,11.4698112
Castiglione Dei Pepoli,1436,44.72,1571,48.93,Bologna,Emilia-Romagna,1250,58.22,831,38.71,4.210000000000001,-19.509999999999998,23.72,44.1413775,11.1541163
Crevalcore,3537,48.58,3302,45.35,Bologna,Emilia-Romagna,2810,56.31,2048,41.04,-3.229999999999997,-15.270000000000003,12.040000000000006,44.72057,11.149804
Dozza,1703,48.41,1507,42.84,Bologna,Emilia-Romagna,1212,51.29,1073,45.41,-5.569999999999993,-5.880000000000003,0.3100000000000094,44.3593911,11.6288788
Fontanelice,495,45.08,514,46.81,Bologna,Emilia-Romagna,367,48.93,348,46.4,1.730000000000004,-2.530000000000001,4.260000000000005,44.2600978,11.5597358
Bagno Di Romagna,1641,47.02,1602,45.9,Forli'-Cesena,Emilia-Romagna,1260,55.73,957,42.33,-1.1200000000000045,-13.399999999999999,12.279999999999994,43.8352272,11.9595985
Bertinoro,2948,49.43,2448,41.05,Forli'-Cesena,Emilia-Romagna,2389,61.49,1360,35.01,-8.380000000000003,-26.480000000000004,18.1,44.148665,12.134235
Borghi,467,33.33,801,57.17,Forli'-Cesena,Emilia-Romagna,347,42.47,447,54.71,23.840000000000003,12.240000000000002,11.600000000000001,44.0315914,12.3543893
Castrocaro Terme E Terra Del Sole,1433,42.75,1686,50.3,Forli'-Cesena,Emilia-Romagna,1188,53.18,991,44.36,7.549999999999997,-8.82,16.369999999999997,44.182365,11.955631
Cesena,28978,53.6,20875,38.61,Forli'-Cesena,Emilia-Romagna,23422,63.31,12630,34.14,-14.990000000000002,-29.17,14.18,44.136352,12.2422442
Cesenatico,5873,41.8,6883,48.99,Forli'-Cesena,Emilia-Romagna,4840,51.44,4326,45.98,7.190000000000005,-5.460000000000001,12.650000000000006,44.1999283,12.3969692
Civitella Di Romagna,826,41.47,1036,52.01,Forli'-Cesena,Emilia-Romagna,680,50.86,630,47.12,10.54,-3.740000000000002,14.280000000000001,44.0071707,11.9413464
Dovadola,339,43.02,378,47.97,Forli'-Cesena,Emilia-Romagna,230,51.8,204,45.95,4.949999999999996,-5.849999999999994,10.79999999999999,44.1225739,11.888255
Forlì,31635,51.64,25565,41.73,Forli'-Cesena,Emilia-Romagna,24799,58.91,16271,38.65,-9.910000000000004,-20.259999999999998,10.349999999999994,44.2227278,12.041273
Forlimpopoli,3764,53.34,2640,37.41,Forli'-Cesena,Emilia-Romagna,2926,62.49,1610,34.39,-15.930000000000007,-28.1,12.169999999999995,44.1873049,12.1259056
Galeata,540,44.96,606,50.46,Forli'-Cesena,Emilia-Romagna,459,54.06,364,42.87,5.5,-11.190000000000005,16.690000000000005,43.9966629,11.9120062
Gambettola,2514,46.14,2450,44.96,Forli'-Cesena,Emilia-Romagna,1991,57.18,1379,39.6,-1.1799999999999997,-17.58,16.4,44.1169463,12.3387643
Gatteo,1900,41.16,2271,49.2,Forli'-Cesena,Emilia-Romagna,1473,52.01,1258,44.42,8.040000000000006,-7.589999999999996,15.630000000000003,44.109466,12.386042
Longiano,1907,48.04,1665,41.94,Forli'-Cesena,Emilia-Romagna,1460,58.82,920,37.07,-6.100000000000001,-21.75,15.649999999999999,44.0743778,12.3274733
Meldola,2275,45.52,2344,46.9,Forli'-Cesena,Emilia-Romagna,1710,54.55,1333,42.52,1.3799999999999955,-12.029999999999994,13.40999999999999,44.1267212,12.0611527
Mercato Saraceno,1545,40.88,1939,51.31,Forli'-Cesena,Emilia-Romagna,1224,52.15,1084,46.19,10.43,-5.960000000000001,16.39,43.9567671,12.1959387
Modigliana,1097,43.72,1229,48.98,Forli'-Cesena,Emilia-Romagna,754,48.06,770,49.08,5.259999999999998,1.019999999999996,4.240000000000002,44.161163,11.793528
Montiano,486,46.87,470,45.32,Forli'-Cesena,Emilia-Romagna,398,58.02,267,38.92,-1.5499999999999972,-19.1,17.550000000000004,44.082965,12.30444
Portico E San Benedetto,176,43.78,197,49.0,Forli'-Cesena,Emilia-Romagna,131,49.62,129,48.86,5.219999999999999,-0.759999999999998,5.979999999999997,43.9968881,11.7150838
Predappio,1296,39.0,1781,53.6,Forli'-Cesena,Emilia-Romagna,1037,47.94,1077,49.79,14.600000000000001,1.8500000000000014,12.75,44.1022154,11.9816196
Premilcuore,156,37.41,226,54.2,Forli'-Cesena,Emilia-Romagna,141,47.47,151,50.84,16.790000000000006,3.3700000000000045,13.420000000000002,43.9759077,11.7775267
Rocca San Casciano,476,42.69,588,52.74,Forli'-Cesena,Emilia-Romagna,368,44.77,441,53.65,10.050000000000004,8.879999999999995,1.1700000000000088,44.0590962,11.8420614
Roncofreddo,821,43.3,935,49.31,Forli'-Cesena,Emilia-Romagna,749,57.22,500,38.2,6.010000000000005,-19.019999999999996,25.03,44.0422403,12.3182595
San Mauro Pascoli,2698,44.37,2878,47.33,Forli'-Cesena,Emilia-Romagna,2118,57.48,1484,40.27,2.960000000000001,-17.209999999999994,20.169999999999995,44.1064626,12.4148977
Santa Sofia,1215,50.71,1027,42.86,Forli'-Cesena,Emilia-Romagna,1317,69.13,562,29.5,-7.850000000000001,-39.629999999999995,31.779999999999994,43.9472672,11.9084513
Sarsina,755,37.69,1100,54.92,Forli'-Cesena,Emilia-Romagna,551,41.49,753,56.7,17.230000000000004,15.21,2.020000000000003,43.9187582,12.1432584
Savignano Sul Rubicone,4014,45.97,3934,45.05,Forli'-Cesena,Emilia-Romagna,3068,56.35,2217,40.72,-0.9200000000000017,-15.630000000000003,14.71,44.0925118,12.3991309
Sogliano Al Rubicone,654,37.26,923,52.59,Forli'-Cesena,Emilia-Romagna,513,46.34,554,50.05,15.330000000000005,3.7099999999999937,11.620000000000012,44.004663,12.300541
Tredozio,269,38.54,392,56.16,Forli'-Cesena,Emilia-Romagna,182,45.61,212,53.13,17.619999999999997,7.520000000000003,10.099999999999994,44.0810425,11.7442078
Verghereto,316,31.76,626,62.91,Forli'-Cesena,Emilia-Romagna,260,39.51,389,59.12,31.149999999999995,19.61,11.539999999999996,43.792956,12.003938
Bastiglia,1149,51.85,898,40.52,Modena,Emilia-Romagna,880,61.5,513,35.85,-11.329999999999998,-25.65,14.32,44.726969,10.9986
Bomporto,2463,46.32,2394,45.03,Modena,Emilia-Romagna,1910,55.86,1414,41.36,-1.2899999999999991,-14.5,13.21,44.72977,11.038401
Campogalliano,2996,62.2,1490,30.93,Modena,Emilia-Romagna,2083,65.15,1015,31.75,-31.270000000000003,-33.400000000000006,2.1300000000000026,44.6905118,10.8407336
Camposanto,742,44.38,846,50.6,Modena,Emilia-Romagna,524,45.13,605,52.11,6.219999999999999,6.979999999999997,-0.759999999999998,44.7901008,11.1378084
Carpi,21482,57.57,13298,35.64,Modena,Emilia-Romagna,16855,63.82,8837,33.46,-21.93,-30.36,8.43,44.7835699,10.8854523
Castelfranco Emilia,9424,55.83,6157,36.48,Modena,Emilia-Romagna,7281,63.09,3936,34.1,-19.35,-28.990000000000002,9.64,44.5949319,11.0528375
Castelnuovo Rangone,4457,53.21,3402,40.61,Modena,Emilia-Romagna,3534,59.65,2224,37.54,-12.600000000000001,-22.11,9.509999999999998,44.5491616,10.9395008
Castelvetro Di Modena,3033,49.84,2589,42.54,Modena,Emilia-Romagna,2321,58.55,1541,38.87,-7.300000000000004,-19.68,12.379999999999995,44.5034615,10.9432999
Cavezzo,1773,45.32,1879,48.03,Modena,Emilia-Romagna,1300,49.54,1247,47.52,2.710000000000001,-2.019999999999996,4.729999999999997,44.8365,11.0294353
Concordia Sulla Secchia,1958,43.88,2207,49.46,Modena,Emilia-Romagna,1580,56.23,1160,41.28,5.579999999999998,-14.949999999999996,20.529999999999994,44.913174,10.983297
Fanano,715,41.26,897,51.76,Modena,Emilia-Romagna,634,51.76,573,46.78,10.5,-4.979999999999997,15.479999999999997,44.2077372,10.7938365
Finale Emilia,2829,35.37,4413,55.17,Modena,Emilia-Romagna,2187,42.9,2716,53.28,19.800000000000004,10.380000000000003,9.420000000000002,44.834574,11.293905
Fiorano Modenese,4001,44.35,4132,45.8,Modena,Emilia-Romagna,3165,57.84,2189,40.0,1.4499999999999957,-17.840000000000003,19.29,44.539143,10.8118482
Fiumalbo,159,20.23,609,77.48,Modena,Emilia-Romagna,112,22.95,368,75.41,57.25,52.459999999999994,4.790000000000006,44.1799513,10.6477331
Formigine,10186,51.58,8053,40.78,Modena,Emilia-Romagna,8965,63.97,4770,34.04,-10.799999999999997,-29.93,19.130000000000003,44.5751432,10.8470277
Frassinoro,446,41.41,568,52.74,Modena,Emilia-Romagna,310,42.7,394,54.27,11.330000000000005,11.57,-0.23999999999999488,44.2957717,10.573046
Guiglia,841,39.84,1128,53.43,Modena,Emilia-Romagna,696,48.1,705,48.72,13.589999999999996,0.6199999999999974,12.969999999999999,44.4281931,10.9569048
Lama Mocogno,611,38.57,899,56.76,Modena,Emilia-Romagna,452,42.72,581,54.91,18.189999999999998,12.189999999999998,6.0,44.3072628,10.7317768
Maranello,4343,46.22,4337,46.16,Modena,Emilia-Romagna,3245,55.18,2483,42.22,-0.060000000000002274,-12.96,12.899999999999999,44.5255217,10.8663607
Marano Sul Panaro,1195,43.22,1388,50.2,Modena,Emilia-Romagna,889,48.32,895,48.64,6.980000000000004,0.3200000000000003,6.660000000000004,44.4558978,10.9663838
Medolla,1739,47.08,1686,45.64,Modena,Emilia-Romagna,1340,53.43,1111,44.3,-1.4399999999999977,-9.130000000000003,7.690000000000005,44.846673,11.0676
Mirandola,5610,44.2,6271,49.41,Modena,Emilia-Romagna,4391,50.95,4043,46.91,5.209999999999994,-4.040000000000006,9.25,44.8872071,11.0661063
Modena,60349,60.65,33027,33.19,Modena,Emilia-Romagna,46486,65.85,22286,31.57,-27.46,-34.279999999999994,6.819999999999993,44.6458885,10.9255707
Montecreto,224,41.03,298,54.58,Modena,Emilia-Romagna,168,39.9,243,57.72,13.549999999999997,17.82,-4.270000000000003,44.245955,10.717602
Montefiorino,539,43.12,640,51.2,Modena,Emilia-Romagna,382,46.99,409,50.31,8.080000000000005,3.3200000000000003,4.760000000000005,44.3580054,10.6229898
Montese,643,36.23,1016,57.24,Modena,Emilia-Romagna,515,42.21,677,55.49,21.010000000000005,13.280000000000001,7.730000000000004,44.2685063,10.9411886
Nonantola,5040,58.42,2839,32.91,Modena,Emilia-Romagna,4030,66.95,1847,30.69,-25.510000000000005,-36.260000000000005,10.75,44.6776083,11.0436236
Novi Di Modena,2815,53.43,2088,39.63,Modena,Emilia-Romagna,2186,63.33,1162,33.66,-13.799999999999997,-29.67,15.870000000000005,44.8934392,10.9012535
Palagano,525,43.39,619,51.16,Modena,Emilia-Romagna,374,45.39,428,51.94,7.769999999999996,6.549999999999997,1.2199999999999989,44.320957,10.6461
Pavullo Nel Frignano,3376,36.37,5273,56.81,Modena,Emilia-Romagna,2696,42.98,3429,54.67,20.440000000000005,11.690000000000005,8.75,44.339694,10.8341135
Pievepelago,368,28.93,841,66.12,Modena,Emilia-Romagna,293,36.76,486,60.98,37.190000000000005,24.22,12.970000000000006,44.204754,10.616601
Polinago,282,34.02,494,59.59,Modena,Emilia-Romagna,224,38.69,338,58.38,25.57,19.690000000000005,5.8799999999999955,44.344758,10.723501
Prignano Sulla Secchia,784,35.64,1271,57.77,Modena,Emilia-Romagna,599,41.31,794,54.76,22.130000000000003,13.449999999999996,8.680000000000007,44.4379426,10.6919848
Ravarino,1704,52.72,1278,39.54,Modena,Emilia-Romagna,1386,62.89,748,33.94,-13.18,-28.950000000000003,15.770000000000003,44.7240342,11.099811
Riolunato,131,30.11,292,67.13,Modena,Emilia-Romagna,116,40.7,164,57.54,37.019999999999996,16.839999999999996,20.18,44.2299738,10.6515646
San Cesario Sul Panaro,2130,56.54,1365,36.24,Modena,Emilia-Romagna,1699,64.53,844,32.05,-20.299999999999997,-32.480000000000004,12.180000000000007,44.5611362,11.033218
San Felice Sul Panaro,2243,39.36,2997,52.59,Modena,Emilia-Romagna,1673,45.64,1906,51.99,13.230000000000004,6.350000000000001,6.880000000000003,44.8394154,11.1431653
San Possidonio,745,40.01,972,52.2,Modena,Emilia-Romagna,600,49.34,590,48.52,12.190000000000005,-0.8200000000000003,13.010000000000005,44.8920894,10.9961365
San Prospero,1373,45.66,1407,46.79,Modena,Emilia-Romagna,989,53.46,794,42.92,1.1300000000000026,-10.54,11.670000000000002,44.789671,11.0221
Sassuolo,8948,43.7,10065,49.15,Modena,Emilia-Romagna,6552,50.58,6040,46.63,5.449999999999996,-3.9499999999999957,9.399999999999991,44.5409769,10.7829023
Savignano Sul Panaro,2587,51.05,2021,39.88,Modena,Emilia-Romagna,1939,57.74,1299,38.68,-11.169999999999995,-19.060000000000002,7.890000000000008,44.4805382,11.0351093
Serramazzoni,1413,31.99,2687,60.83,Modena,Emilia-Romagna,1122,39.93,1591,56.62,28.84,16.689999999999998,12.150000000000002,44.4224625,10.789147
Sestola,578,39.73,811,55.74,Modena,Emilia-Romagna,445,45.04,521,52.73,16.010000000000005,7.689999999999998,8.320000000000007,44.230455,10.771404
Gaggio Montano,1201,44.3,1344,49.58,Bologna,Emilia-Romagna,684,39.2,1017,58.28,5.280000000000001,19.08,-13.799999999999997,44.196956,10.932908
Galliera,1390,49.63,1194,42.63,Bologna,Emilia-Romagna,1006,55.67,741,41.01,-7.0,-14.660000000000004,7.660000000000004,44.7491629,11.4265329
