comune,CSX_votes_2020,CSX_perc_2020,CDX_votes_2020,CDX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Felino,2079,42.71,2437,50.06,Parma,Emilia-Romagna,1632,51.53,1407,44.43,7.350000000000001,-7.100000000000001,14.450000000000003,44.6965871,10.2372047
Fidenza,6123,44.29,6848,49.53,Parma,Emilia-Romagna,5060,54.58,3954,42.65,5.240000000000002,-11.93,17.17,44.866522,10.0611939
Fontanellato,1276,35.72,2021,56.58,Parma,Emilia-Romagna,986,43.96,1203,53.63,20.86,9.670000000000002,11.189999999999998,44.8822638,10.1729422
Fontevivo,985,34.11,1623,56.2,Parma,Emilia-Romagna,798,38.44,1229,59.2,22.090000000000003,20.760000000000005,1.3299999999999983,44.858765,10.17518
Fornovo Di Taro,1330,44.69,1430,48.05,Parma,Emilia-Romagna,961,54.76,731,41.65,3.3599999999999994,-13.11,16.47,44.6919621,10.1009854
Langhirano,1974,39.24,2753,54.73,Parma,Emilia-Romagna,1470,46.42,1607,50.74,15.489999999999995,4.32,11.169999999999995,44.6130645,10.2661136
Lesignano De' Bagni,1064,37.41,1595,56.08,Parma,Emilia-Romagna,835,47.02,872,49.1,18.67,2.0799999999999983,16.590000000000003,44.6434282,10.3004841
Medesano,2029,36.32,3177,56.87,Parma,Emilia-Romagna,1451,41.77,1935,55.7,20.549999999999997,13.93,6.619999999999997,44.756739,10.1398342
Imola,21855,57.21,13366,34.99,Bologna,Emilia-Romagna,17092,63.45,8974,33.32,-22.22,-30.130000000000003,7.910000000000004,44.3535145,11.7141233
Lizzano In Belvedere,613,46.69,638,48.59,Bologna,Emilia-Romagna,406,43.84,493,53.24,1.9000000000000057,9.399999999999999,-7.499999999999993,44.1618295,10.8940436
Loiano,1195,50.02,1022,42.78,Bologna,Emilia-Romagna,854,50.18,770,45.24,-7.240000000000002,-4.939999999999998,-2.3000000000000043,44.26833,11.3234319
Malalbergo,2209,45.73,2299,47.6,Bologna,Emilia-Romagna,1679,54.06,1330,42.82,1.8700000000000045,-11.240000000000002,13.110000000000007,44.718674,11.532212
Marzabotto,2297,60.65,1240,32.74,Bologna,Emilia-Romagna,1565,59.3,970,36.76,-27.909999999999997,-22.54,-5.369999999999997,44.3409877,11.204782
Medicina,5042,55.54,3249,35.79,Bologna,Emilia-Romagna,3896,59.58,2410,36.86,-19.75,-22.72,2.969999999999999,44.4765572,11.6384123
Minerbio,2500,51.3,1986,40.76,Bologna,Emilia-Romagna,1890,56.71,1342,40.26,-10.54,-16.450000000000003,5.910000000000004,44.6241987,11.4906968
Molinella,3585,43.97,4066,49.87,Bologna,Emilia-Romagna,2434,42.14,3182,55.09,5.899999999999999,12.950000000000003,-7.050000000000004,44.620853,11.6702371
Monghidoro,872,42.31,1066,51.72,Bologna,Emilia-Romagna,623,43.02,778,53.73,9.409999999999997,10.709999999999994,-1.2999999999999972,44.2198594,11.3187467
Monterenzio,1634,51.99,1267,40.31,Bologna,Emilia-Romagna,1125,52.45,912,42.52,-11.68,-9.93,-1.75,44.3268824,11.406144
Monte San Pietro,3718,55.54,2520,37.65,Bologna,Emilia-Romagna,2909,59.73,1818,37.33,-17.89,-22.4,4.509999999999998,44.4283961,11.15107755527979
Monzuno,1648,48.05,1553,45.28,Bologna,Emilia-Romagna,1171,50.91,1060,46.09,-2.769999999999996,-4.819999999999993,2.049999999999997,44.2792634,11.266408
Mordano,1384,52.54,1067,40.51,Bologna,Emilia-Romagna,1073,58.83,696,38.16,-12.030000000000001,-20.67,8.64,44.3974264,11.8108566
Ozzano Dell'Emilia,4927,59.45,2799,33.78,Bologna,Emilia-Romagna,3692,61.81,2056,34.42,-25.67,-27.39,1.7199999999999989,44.4449797,11.4760503
Pianoro,6027,58.69,3562,34.68,Bologna,Emilia-Romagna,4336,58.64,2805,37.94,-24.009999999999998,-20.700000000000003,-3.309999999999995,44.392964,11.342314
Pieve Di Cento,2143,51.23,1776,42.46,Bologna,Emilia-Romagna,1696,56.29,1230,40.82,-8.769999999999996,-15.469999999999999,6.700000000000003,44.7132091,11.3065981
Sala Bolognese,2648,53.26,1923,38.68,Bologna,Emilia-Romagna,2081,59.09,1329,37.73,-14.579999999999998,-21.360000000000007,6.780000000000008,44.629603,11.272747686018814
San Benedetto Val Di Sambro,984,41.28,1260,52.85,Bologna,Emilia-Romagna,822,49.91,782,47.48,11.57,-2.4299999999999997,14.0,44.215259,11.232914
San Giorgio Di Piano,3029,59.99,1654,32.76,Bologna,Emilia-Romagna,2385,65.06,1168,31.86,-27.230000000000004,-33.2,5.969999999999999,44.6467934,11.3754491
San Giovanni In Persiceto,8348,50.71,6927,42.08,Bologna,Emilia-Romagna,6731,56.09,4912,40.93,-8.630000000000003,-15.160000000000004,6.530000000000001,44.6386593,11.1874019
San Lazzaro Di Savena,12003,61.26,6571,33.54,Bologna,Emilia-Romagna,9284,61.77,5336,35.5,-27.72,-26.270000000000003,-1.4499999999999957,44.4715668,11.4048591
San Pietro In Casale,3447,50.97,2843,42.04,Bologna,Emilia-Romagna,2534,57.21,1701,38.41,-8.93,-18.800000000000004,9.870000000000005,44.6990515,11.4029261
Sant'Agata Bolognese,1803,45.7,1850,46.89,Bologna,Emilia-Romagna,1423,52.16,1245,45.64,1.1899999999999977,-6.519999999999996,7.709999999999994,44.664169,11.134004
Sasso Marconi,5317,59.75,3114,34.99,Bologna,Emilia-Romagna,3927,59.79,2426,36.94,-24.759999999999998,-22.85,-1.9099999999999966,44.3996319,11.247554
Monchio Delle Corti,169,33.07,300,58.71,Parma,Emilia-Romagna,153,41.02,210,56.3,25.64,15.279999999999994,10.360000000000007,44.4129554,10.1241904
Montechiarugolo,2753,46.5,2809,47.44,Parma,Emilia-Romagna,2115,52.2,1817,44.84,0.9399999999999977,-7.359999999999999,8.299999999999997,44.6934008,10.4224798
Neviano Degli Arduini,811,40.75,1052,52.86,Parma,Emilia-Romagna,592,45.19,670,51.15,12.11,5.960000000000001,6.149999999999999,44.5823646,10.315689
Noceto,2657,38.79,3803,55.52,Parma,Emilia-Romagna,2054,43.24,2603,54.8,16.730000000000004,11.559999999999995,5.170000000000009,44.8099007,10.1772596
Palanzano,241,38.13,356,56.33,Parma,Emilia-Romagna,170,39.72,252,58.88,18.199999999999996,19.160000000000004,-0.960000000000008,44.4374371,10.1944619
Parma,49696,52.33,39282,41.37,Parma,Emilia-Romagna,36828,55.99,27012,41.06,-10.96,-14.93,3.969999999999999,44.8013678,10.3280833
Pellegrino Parmense,162,30.62,346,65.41,Parma,Emilia-Romagna,127,40.97,177,57.1,34.78999999999999,16.130000000000003,18.65999999999999,44.7331681,9.9275557
Polesine Zibello,433,26.91,1074,66.75,Parma,Emilia-Romagna,310,35.39,546,62.33,39.84,26.939999999999998,12.900000000000006,45.0108093,10.0987126
Roccabianca,574,38.84,804,54.4,Parma,Emilia-Romagna,423,48.62,411,47.24,15.559999999999995,-1.3799999999999955,16.93999999999999,45.009369,10.219378
Sala Baganza,1392,46.25,1406,46.71,Parma,Emilia-Romagna,1118,56.58,800,40.49,0.46000000000000085,-16.089999999999996,16.549999999999997,44.7139495,10.2263338
Salsomaggiore Terme,3608,37.65,5326,55.58,Parma,Emilia-Romagna,3070,50.39,2893,47.48,17.93,-2.9100000000000037,20.840000000000003,44.814762,9.979576
San Secondo Parmense,1217,40.35,1585,52.55,Parma,Emilia-Romagna,961,49.9,905,46.99,12.199999999999996,-2.9099999999999966,15.109999999999992,44.9201605,10.229558
Sissa Trecasali,1531,37.68,2236,55.03,Parma,Emilia-Romagna,1082,45.42,1230,51.64,17.35,6.219999999999999,11.130000000000003,44.9455937,10.2799467
Solignano,307,33.48,558,60.85,Parma,Emilia-Romagna,253,44.54,298,52.46,27.370000000000005,7.920000000000002,19.450000000000003,44.613057,9.97548
Soragna,883,32.9,1622,60.43,Parma,Emilia-Romagna,716,39.32,1059,58.15,27.53,18.83,8.700000000000003,44.9281878,10.1235973
Sorbolo Mezzani,2960,45.67,3018,46.57,Parma,Emilia-Romagna,2078,52.36,1763,44.42,0.8999999999999986,-7.939999999999998,8.839999999999996,44.9000966,10.4421595
Terenzo,238,36.9,367,56.9,Parma,Emilia-Romagna,174,45.19,200,51.95,20.0,6.760000000000005,13.239999999999995,44.609958,10.089682
Tizzano Val Parma,471,41.03,601,52.35,Parma,Emilia-Romagna,387,47.2,400,48.78,11.32,1.5799999999999983,9.740000000000002,44.5205442,10.1991991
Tornolo,159,27.41,399,68.79,Parma,Emilia-Romagna,157,37.2,263,62.32,41.38000000000001,25.119999999999997,16.260000000000012,44.485251,9.625274
Torrile,1504,41.16,1810,49.53,Parma,Emilia-Romagna,1054,50.62,913,43.85,8.370000000000005,-6.769999999999996,15.14,44.8988504,10.3394973
Traversetolo,1994,39.34,2758,54.41,Parma,Emilia-Romagna,1388,40.94,1869,55.13,15.069999999999993,14.190000000000005,0.8799999999999883,44.6392123,10.3817954
Valmozzola,98,31.82,181,58.77,Parma,Emilia-Romagna,72,40.45,98,55.06,26.950000000000003,14.61,12.340000000000003,44.5855083,9.8691506
Varano De' Melegari,613,42.04,750,51.44,Parma,Emilia-Romagna,468,47.71,497,50.66,9.399999999999999,2.9499999999999957,6.450000000000003,44.68806,10.011479
Varsi,213,31.6,430,63.8,Parma,Emilia-Romagna,151,37.94,241,60.55,32.199999999999996,22.61,9.589999999999996,44.662157,9.846676
Valsamoggia,9691,56.73,6115,35.8,Bologna,Emilia-Romagna,7321,60.92,4239,35.28,-20.93,-25.64,4.710000000000001,44.439823649999994,11.059274991313368
Vergato,1862,45.95,1916,47.29,Bologna,Emilia-Romagna,1258,51.2,1132,46.07,1.3399999999999963,-5.130000000000003,6.469999999999999,44.28266,11.10731
Zola Predosa,6882,60.52,3737,32.86,Bologna,Emilia-Romagna,5359,62.79,2895,33.92,-27.660000000000004,-28.869999999999997,1.2099999999999937,44.489665,11.218309
Albinea,3254,58.82,1936,35.0,Reggio Nell'Emilia,Emilia-Romagna,2599,63.42,1357,33.11,-23.82,-30.310000000000002,6.490000000000002,44.6201821,10.6019259
Bagnolo In Piano,2988,59.78,1637,32.75,Reggio Nell'Emilia,Emilia-Romagna,2323,67.0,1016,29.3,-27.03,-37.7,10.670000000000002,44.762967,10.673293
Agazzano,319,32.65,602,61.62,Piacenza,Emilia-Romagna,251,37.02,405,59.73,28.97,22.709999999999994,6.260000000000005,44.945661,9.518564
Alseno,774,29.64,1679,64.3,Piacenza,Emilia-Romagna,548,32.6,1100,65.44,34.66,32.839999999999996,1.8200000000000003,44.898364,9.961374
Alta Val Tidone,472,27.86,1138,67.18,Piacenza,Emilia-Romagna,358,31.38,752,65.91,39.32000000000001,34.53,4.790000000000006,44.919977,9.347182
Besenzone,107,19.96,390,72.76,Piacenza,Emilia-Romagna,88,25.51,253,73.33,52.800000000000004,47.81999999999999,4.980000000000011,44.987157,9.9535782
Bettola,394,25.67,1038,67.62,Piacenza,Emilia-Romagna,305,29.99,688,67.65,41.95,37.66000000000001,4.289999999999992,44.7764457,9.6062795
Bobbio,860,41.75,1081,52.48,Piacenza,Emilia-Romagna,569,39.38,849,58.75,10.729999999999997,19.369999999999997,-8.64,44.769273,9.3862814
Borgonovo Val Tidone,1168,32.87,2212,62.26,Piacenza,Emilia-Romagna,780,36.97,1296,61.42,29.39,24.450000000000003,4.939999999999998,45.014362,9.443461
Cadeo,880,29.02,1956,64.51,Piacenza,Emilia-Romagna,645,36.65,1083,61.53,35.49000000000001,24.880000000000003,10.610000000000007,44.975365,9.83107
Calendasco,431,33.2,794,61.17,Piacenza,Emilia-Romagna,322,40.71,448,56.64,27.97,15.93,12.04,45.0873218,9.5974792
Caorso,710,28.55,1641,65.98,Piacenza,Emilia-Romagna,531,35.98,910,61.65,37.43000000000001,25.67,11.760000000000005,45.0495995,9.8743749
Carpaneto Piacentino,1058,25.22,2936,69.99,Piacenza,Emilia-Romagna,852,30.57,1881,67.49,44.769999999999996,36.919999999999995,7.850000000000001,44.9152116,9.7880952
Castell'Arquato,831,30.83,1725,64.01,Piacenza,Emilia-Romagna,619,36.37,1037,60.93,33.18000000000001,24.560000000000002,8.620000000000005,44.8511798,9.8671175
Castel San Giovanni,1897,32.17,3686,62.51,Piacenza,Emilia-Romagna,1294,34.11,2432,64.1,30.339999999999996,29.989999999999995,0.3500000000000014,45.0590671,9.4341783
Castelvetro Piacentino,812,31.34,1626,62.76,Piacenza,Emilia-Romagna,900,51.84,791,45.56,31.419999999999998,-6.280000000000001,37.7,45.1003347,9.9867161
Cerignale,49,59.76,26,31.71,Piacenza,Emilia-Romagna,24,39.34,34,55.74,-28.049999999999997,16.4,-44.449999999999996,44.677853,9.350765
Coli,177,34.04,318,61.15,Piacenza,Emilia-Romagna,146,40.44,206,57.06,27.11,16.620000000000005,10.489999999999995,44.744756,9.414565
Corte Brugnatella,125,35.71,207,59.14,Piacenza,Emilia-Romagna,76,31.67,157,65.42,23.43,33.75,-10.32,44.7157673,9.3602888
Cortemaggiore,683,31.0,1415,64.23,Piacenza,Emilia-Romagna,527,34.42,976,63.75,33.230000000000004,29.33,3.9000000000000057,44.9963532,9.9310724
Farini,188,26.0,512,70.82,Piacenza,Emilia-Romagna,124,27.62,321,71.49,44.81999999999999,43.86999999999999,0.9500000000000028,44.7128373,9.5692864
Ferriere,188,29.24,432,67.19,Piacenza,Emilia-Romagna,119,25.05,349,73.47,37.95,48.42,-10.469999999999999,44.6441441,9.4974568
Fiorenzuola D'Arda,2839,38.25,4094,55.15,Piacenza,Emilia-Romagna,2263,46.26,2512,51.35,16.9,5.090000000000003,11.809999999999995,44.9280841,9.9107218
Gazzola,407,33.25,734,59.97,Piacenza,Emilia-Romagna,342,39.86,484,56.41,26.72,16.549999999999997,10.170000000000002,44.960062,9.548964
Baiso,764,43.56,854,48.69,Reggio Nell'Emilia,Emilia-Romagna,640,55.65,480,41.74,5.1299999999999955,-13.909999999999997,19.039999999999992,44.4968268,10.6016783
Bibbiano,3039,55.34,2006,36.53,Reggio Nell'Emilia,Emilia-Romagna,2265,65.69,1072,31.09,-18.810000000000002,-34.599999999999994,15.789999999999992,44.6634303,10.4727188
Boretto,1089,42.0,1305,50.33,Reggio Nell'Emilia,Emilia-Romagna,789,51.33,685,44.57,8.329999999999998,-6.759999999999998,15.089999999999996,44.90187,10.554287
Brescello,993,37.11,1515,56.61,Reggio Nell'Emilia,Emilia-Romagna,708,49.0,700,48.44,19.5,-0.5600000000000023,20.060000000000002,44.9012244,10.515728
Cadelbosco Di Sopra,2369,46.35,2210,43.24,Reggio Nell'Emilia,Emilia-Romagna,1905,61.06,1124,36.03,-3.1099999999999994,-25.03,21.92,44.7633191,10.5951823
Campagnola Emilia,1660,59.05,976,34.72,Reggio Nell'Emilia,Emilia-Romagna,1276,64.97,616,31.36,-24.33,-33.61,9.280000000000001,44.83927,10.757093
Campegine,1461,58.05,838,33.29,Reggio Nell'Emilia,Emilia-Romagna,1122,66.67,476,28.28,-24.759999999999998,-38.39,13.630000000000003,44.7817335,10.5284188
Carpineti,1031,43.65,1167,49.41,Reggio Nell'Emilia,Emilia-Romagna,840,53.92,670,43.0,5.759999999999998,-10.920000000000002,16.68,44.4559609,10.5196982
Casalgrande,4844,49.9,3974,40.94,Reggio Nell'Emilia,Emilia-Romagna,3656,61.5,2108,35.46,-8.96,-26.04,17.08,44.5880091,10.7373209
Casina,1222,47.38,1156,44.82,Reggio Nell'Emilia,Emilia-Romagna,1013,54.82,759,41.07,-2.5600000000000023,-13.75,11.189999999999998,44.5113388,10.4997852
Castellarano,3573,42.33,4168,49.38,Reggio Nell'Emilia,Emilia-Romagna,2923,52.99,2416,43.8,7.050000000000004,-9.190000000000005,16.24000000000001,44.5102806,10.7286395
Castelnovo Di Sotto,2459,56.5,1581,36.33,Reggio Nell'Emilia,Emilia-Romagna,1920,66.74,847,29.44,-20.17,-37.3,17.129999999999995,44.8108626,10.5632954
Castelnovo Ne' Monti,2452,40.78,3109,51.7,Reggio Nell'Emilia,Emilia-Romagna,1992,50.13,1849,46.53,10.920000000000002,-3.6000000000000014,14.520000000000003,44.4355622,10.4032946
Cavriago,3185,60.45,1594,30.25,Reggio Nell'Emilia,Emilia-Romagna,2418,68.58,923,26.18,-30.200000000000003,-42.4,12.199999999999996,44.6941945,10.5268984
Canossa,862,42.59,1010,49.9,Reggio Nell'Emilia,Emilia-Romagna,594,48.37,580,47.23,7.309999999999995,-1.1400000000000006,8.449999999999996,44.5535604,10.4119138
Correggio,8335,60.73,4309,31.4,Reggio Nell'Emilia,Emilia-Romagna,6499,67.08,2868,29.6,-29.33,-37.48,8.149999999999999,44.770561,10.7797829
Fabbrico,2137,64.84,877,26.61,Reggio Nell'Emilia,Emilia-Romagna,1709,72.79,553,23.55,-38.230000000000004,-49.24000000000001,11.010000000000005,44.8720906,10.8100618
Gattatico,1601,52.56,1196,39.26,Reggio Nell'Emilia,Emilia-Romagna,1167,61.2,648,33.98,-13.300000000000004,-27.220000000000006,13.920000000000002,44.7956839,10.4445566
Gualtieri,1645,49.19,1473,44.05,Reggio Nell'Emilia,Emilia-Romagna,1280,62.2,724,35.18,-5.140000000000001,-27.020000000000003,21.880000000000003,44.9050126,10.6302265
Guastalla,3534,45.66,3593,46.42,Reggio Nell'Emilia,Emilia-Romagna,2722,55.3,2058,41.81,0.7600000000000051,-13.489999999999995,14.25,44.9211516,10.6539985
Luzzara,2272,53.0,1731,40.38,Reggio Nell'Emilia,Emilia-Romagna,1721,62.86,936,34.19,-12.619999999999997,-28.67,16.050000000000004,44.961655,10.6870685
Montecchio Emilia,3024,53.08,2269,39.83,Reggio Nell'Emilia,Emilia-Romagna,2185,61.45,1206,33.91,-13.25,-27.540000000000006,14.290000000000006,44.7004508,10.4464132
Novellara,4047,57.31,2524,35.74,Reggio Nell'Emilia,Emilia-Romagna,3473,70.49,1342,27.24,-21.57,-43.25,21.68,44.84297,10.727492
Poviglio,1978,53.85,1427,38.85,Reggio Nell'Emilia,Emilia-Romagna,1426,61.92,792,34.39,-15.0,-27.53,12.530000000000001,44.8416698,10.541615
Gossolengo,1227,37.74,1824,56.11,Piacenza,Emilia-Romagna,975,46.32,1055,50.12,18.369999999999997,3.799999999999997,14.57,45.0011074,9.6162072
Gragnano Trebbiense,831,39.35,1168,55.3,Piacenza,Emilia-Romagna,613,45.78,687,51.31,15.949999999999996,5.530000000000001,10.419999999999995,45.013163,9.568964
Gropparello,352,29.24,800,66.45,Piacenza,Emilia-Romagna,257,32.91,507,64.92,37.21000000000001,32.010000000000005,5.200000000000003,44.8327057,9.729894
Quattro Castella,4405,55.79,2923,37.02,Reggio Nell'Emilia,Emilia-Romagna,3429,62.06,1919,34.73,-18.769999999999996,-27.330000000000005,8.56000000000001,44.6356048,10.4724248
Reggiolo,2647,56.24,1640,34.84,Reggio Nell'Emilia,Emilia-Romagna,2019,65.36,947,30.66,-21.4,-34.7,13.300000000000004,44.9185339,10.8042114
Reggio Nell'Emilia,48786,57.89,29563,35.08,Reggio Nell'Emilia,Emilia-Romagna,37836,64.86,18619,31.92,-22.810000000000002,-32.94,10.129999999999995,44.6978389,10.6304971
Rio Saliceto,1833,56.82,1117,34.62,Reggio Nell'Emilia,Emilia-Romagna,1409,62.37,763,33.78,-22.200000000000003,-28.589999999999996,6.3899999999999935,44.8100097,10.8030993
Rolo,1131,56.1,727,36.06,Reggio Nell'Emilia,Emilia-Romagna,827,61.12,497,36.73,-20.04,-24.39,4.350000000000001,44.8866561,10.8582083
Rubiera,4439,55.52,2905,36.33,Reggio Nell'Emilia,Emilia-Romagna,3511,64.83,1721,31.78,-19.190000000000005,-33.05,13.859999999999992,44.6532007,10.781081
San Martino In Rio,2434,53.58,1738,38.26,Reggio Nell'Emilia,Emilia-Romagna,1812,58.93,1158,37.66,-15.32,-21.270000000000003,5.950000000000003,44.7328018,10.7839876
San Polo D'Enza,1566,47.69,1448,44.09,Reggio Nell'Emilia,Emilia-Romagna,1241,59.01,778,36.99,-3.5999999999999943,-22.019999999999996,18.42,44.6258624,10.4222874
Sant'Ilario D'Enza,3110,53.92,2176,37.73,Reggio Nell'Emilia,Emilia-Romagna,2229,59.11,1399,37.1,-16.190000000000005,-22.009999999999998,5.819999999999993,44.7605046,10.4498922
Scandiano,8172,54.4,5643,37.56,Reggio Nell'Emilia,Emilia-Romagna,6905,65.64,3299,31.36,-16.839999999999996,-34.28,17.440000000000005,44.5993449,10.6878385
Toano,829,36.01,1317,57.21,Reggio Nell'Emilia,Emilia-Romagna,600,45.94,661,50.61,21.200000000000003,4.670000000000002,16.53,44.376357,10.561197
Ventasso,924,37.68,1345,54.85,Reggio Nell'Emilia,Emilia-Romagna,806,45.56,907,51.27,17.17,5.710000000000001,11.46,44.3688304,10.2693097
Vetto,428,39.45,602,55.48,Reggio Nell'Emilia,Emilia-Romagna,322,46.8,356,51.74,16.029999999999994,4.940000000000005,11.08999999999999,44.4843413,10.3414194
Vezzano Sul Crostolo,1373,54.92,928,37.12,Reggio Nell'Emilia,Emilia-Romagna,1002,61.17,565,34.49,-17.800000000000004,-26.68,8.879999999999995,44.6025837,10.5468531
Viano,818,42.6,927,48.28,Reggio Nell'Emilia,Emilia-Romagna,718,54.19,560,42.26,5.68,-11.93,17.61,44.5437293,10.6216195
Villa Minozzo,821,39.04,1149,54.64,Reggio Nell'Emilia,Emilia-Romagna,662,47.25,657,46.9,15.600000000000001,-0.3500000000000014,15.950000000000003,44.365056,10.465995
Lugagnano Val D'Arda,679,29.73,1491,65.28,Piacenza,Emilia-Romagna,497,35.32,890,63.26,35.55,27.939999999999998,7.609999999999999,44.821994,9.8284819
Monticelli D'Ongina,898,33.43,1630,60.69,Piacenza,Emilia-Romagna,919,50.0,877,47.71,27.259999999999998,-2.289999999999999,29.549999999999997,45.0895109,9.9331646
Morfasso,135,22.58,441,73.75,Piacenza,Emilia-Romagna,88,26.75,236,71.73,51.17,44.980000000000004,6.189999999999998,44.7227486,9.7028607
Ottone,87,37.83,122,53.04,Piacenza,Emilia-Romagna,38,33.33,75,65.79,15.21,32.46000000000001,-17.250000000000007,44.6232492,9.3326598
Piacenza,20888,42.86,25363,52.04,Piacenza,Emilia-Romagna,15116,46.15,16643,50.82,9.18,4.670000000000002,4.509999999999998,45.0534751,9.6947461
Pianello Val Tidone,297,25.52,813,69.85,Piacenza,Emilia-Romagna,224,31.59,468,66.01,44.33,34.42,9.909999999999997,44.94666,9.405161
Piozzano,108,28.05,249,64.68,Piacenza,Emilia-Romagna,81,35.37,133,58.08,36.63000000000001,22.71,13.920000000000009,44.926261,9.496064
Podenzano,1573,31.71,3064,61.76,Piacenza,Emilia-Romagna,1199,37.72,1943,61.12,30.049999999999997,23.4,6.649999999999999,44.956363,9.684967
Ponte Dell'Olio,829,31.69,1656,63.3,Piacenza,Emilia-Romagna,645,38.26,1011,59.96,31.609999999999996,21.700000000000003,9.909999999999993,44.867361,9.642268
Pontenure,1130,33.89,2026,60.77,Piacenza,Emilia-Romagna,858,42.31,1093,53.9,26.880000000000003,11.589999999999996,15.290000000000006,44.9992666,9.7884285
Rivergaro,1437,37.2,2213,57.29,Piacenza,Emilia-Romagna,1123,44.97,1315,52.66,20.089999999999996,7.689999999999998,12.399999999999999,44.9102508,9.5965212
Rottofreno,2038,34.45,3487,58.94,Piacenza,Emilia-Romagna,1478,41.15,2027,56.43,24.489999999999995,15.280000000000001,9.209999999999994,45.0576876,9.5502149
San Giorgio Piacentino,846,27.34,2063,66.68,Piacenza,Emilia-Romagna,638,30.5,1406,67.21,39.34,36.709999999999994,2.6300000000000097,44.954163,9.736869
San Pietro In Cerro,123,27.77,291,65.69,Piacenza,Emilia-Romagna,77,28.84,184,68.91,37.92,40.06999999999999,-2.1499999999999915,45.0214997,9.948488
Sarmato,488,37.05,757,57.48,Piacenza,Emilia-Romagna,319,41.86,430,56.43,20.43,14.57,5.859999999999999,45.0597632,9.4913135
Travo,512,40.63,689,54.68,Piacenza,Emilia-Romagna,598,60.47,371,37.51,14.049999999999997,-22.96,37.01,44.86246,9.545366
Vernasca,472,39.33,669,55.75,Piacenza,Emilia-Romagna,340,45.76,385,51.82,16.42,6.060000000000002,10.36,44.7994378,9.8306675
Vigolzone,679,30.81,1384,62.79,Piacenza,Emilia-Romagna,503,33.76,959,64.36,31.98,30.6,1.379999999999999,44.914662,9.669368
Villanova Sull'Arda,357,37.7,540,57.02,Piacenza,Emilia-Romagna,258,45.26,291,51.05,19.32,5.789999999999999,13.530000000000001,45.026005,9.9970611
Zerba,17,40.48,22,52.38,Piacenza,Emilia-Romagna,12,36.36,20,60.61,11.900000000000006,24.25,-12.349999999999994,44.666153,9.287164
Ziano Piacentino,416,31.9,828,63.5,Piacenza,Emilia-Romagna,292,35.18,509,61.33,31.6,26.15,5.450000000000003,45.001462,9.40156
Bellaria-Igea Marina,3748,38.23,5331,54.38,Rimini,Emilia-Romagna,2756,45.09,3173,51.91,16.150000000000006,6.819999999999993,9.330000000000013,44.1421077,12.4696937
Casteldelci,89,36.93,134,55.6,Rimini,Emilia-Romagna,54,32.53,109,65.66,18.67,33.129999999999995,-14.459999999999994,43.7911505,12.1551264
Cattolica,3962,47.3,3595,42.92,Rimini,Emilia-Romagna,2837,55.42,2066,40.36,-4.3799999999999955,-15.060000000000002,10.680000000000007,43.9639933,12.7441515
Coriano,2622,44.16,2849,47.99,Rimini,Emilia-Romagna,1953,51.79,1696,44.97,3.8300000000000054,-6.82,10.650000000000006,43.965186,12.602374
Gemmano,173,30.24,346,60.49,Rimini,Emilia-Romagna,154,41.96,195,53.13,30.250000000000004,11.170000000000002,19.080000000000002,43.9041617,12.5830579
Maiolo,207,42.95,236,48.96,Rimini,Emilia-Romagna,142,41.16,195,56.52,6.009999999999998,15.360000000000007,-9.350000000000009,43.87396,12.311144
Misano Adriatico,3132,44.95,3247,46.6,Rimini,Emilia-Romagna,2243,54.47,1755,42.62,1.6499999999999986,-11.850000000000001,13.5,43.9774954,12.6986947
Mondaino,320,44.08,343,47.25,Rimini,Emilia-Romagna,230,54.12,183,43.06,3.1700000000000017,-11.059999999999995,14.229999999999997,43.8557055,12.6713923
Montefiore Conca,383,35.11,574,52.61,Rimini,Emilia-Romagna,228,45.51,246,49.1,17.5,3.5900000000000034,13.909999999999997,43.8902363,12.6103147
Montegridolfo,209,41.72,221,44.11,Rimini,Emilia-Romagna,166,60.81,96,35.16,2.3900000000000006,-25.650000000000006,28.040000000000006,43.8589996,12.6885114
Montescudo-Monte Colombo,1041,31.84,1833,56.07,Rimini,Emilia-Romagna,727,41.17,976,55.27,24.23,14.100000000000001,10.129999999999999,43.9313763,12.5422299
Morciano Di Romagna,1252,35.7,1919,54.72,Rimini,Emilia-Romagna,899,43.94,1074,52.49,19.019999999999996,8.550000000000004,10.469999999999992,43.913748,12.6460672
Novafeltria,1864,45.49,1958,47.78,Rimini,Emilia-Romagna,1184,45.19,1374,52.44,2.289999999999999,7.25,-4.960000000000001,43.8957266,12.2903985
Pennabilli,694,42.84,830,51.23,Rimini,Emilia-Romagna,472,45.21,552,52.87,8.389999999999993,7.659999999999997,0.7299999999999969,43.8170539,12.265276
Poggio Torriana,1312,46.16,1226,43.14,Rimini,Emilia-Romagna,1034,59.87,616,35.67,-3.019999999999996,-24.199999999999996,21.18,43.9998476,12.3926599
Riccione,8212,43.97,9095,48.69,Rimini,Emilia-Romagna,5992,47.86,6232,49.78,4.719999999999999,1.9200000000000017,2.799999999999997,43.998274,12.6474368
Rimini,36438,47.89,34028,44.72,Rimini,Emilia-Romagna,27587,53.63,22337,43.42,-3.1700000000000017,-10.21,7.039999999999999,44.0593886,12.5684371
