comune,provincia,regione,STEFANIA PROIETTI_total_votes,STEFANIA PROIETTI_total_perc,DONATELLA TESEI_total_votes,DONATELLA TESEI_total_perc,left_right_index
Lugnano In Teverina,Terni,Umbria,244,"35,78",418,"61,29",-0.2628398791540785
Montecastrilli,Terni,Umbria,897,"38,88",1358,"58,86",-0.20443458980044346
Montecchio,Terni,Umbria,271,"43,36",338,"54,08",-0.11001642036124795
Montefranco,Terni,Umbria,163,"31,65",338,"65,63",-0.34930139720558884
Montegabbione,Terni,Umbria,217,"53,85",151,"37,47",0.1793478260869565
Monteleone D'Orvieto,Terni,Umbria,274,"50,09",256,"46,80",0.033962264150943396
Narni,Terni,Umbria,4336,"55,78",3231,"41,57",0.1460288093035549
Orvieto,Terni,Umbria,4229,"53,07",3552,"44,58",0.08700681146382214
Otricoli,Terni,Umbria,255,"33,82",487,"64,59",-0.31266846361185985
Parrano,Terni,Umbria,156,"63,41",82,"33,33",0.31092436974789917
Penna In Teverina,Terni,Umbria,211,"42,28",275,"55,11",-0.13168724279835392
Polino,Terni,Umbria,48,"37,80",76,"59,84",-0.22580645161290322
Porano,Terni,Umbria,439,"52,70",368,"44,18",0.08798017348203221
San Gemini,Terni,Umbria,1036,"51,31",932,"46,16",0.052845528455284556
San Venanzo,Terni,Umbria,595,"53,46",497,"44,65",0.08974358974358974
Stroncone,Terni,Umbria,705,"39,79",1008,"56,88",-0.17688266199649738
Terni,Terni,Umbria,19533,"49,79",18504,"47,17",0.02705260667245051
