comune,provincia,regione,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,left_right_index
Castellaro,Imperia,Liguria,271,"62,16",152,"34,86",0.28132387706855794
Castel Vittorio,Imperia,Liguria,60,"61,22",34,"34,69",0.2765957446808511
Ceriana,Imperia,Liguria,162,"65,59",67,"27,13",0.4148471615720524
Cervo,Imperia,Liguria,187,"55,65",136,"40,48",0.15789473684210525
Cesio,Imperia,Liguria,60,"61,22",34,"34,69",0.2765957446808511
Chiusanico,Imperia,Liguria,153,"61,45",86,"34,54",0.2803347280334728
Chiusavecchia,Imperia,Liguria,108,"71,05",42,"27,63",0.44
Cipressa,Imperia,Liguria,234,"53,79",179,"41,15",0.13317191283292978
Civezza,Imperia,Liguria,125,"57,34",86,"39,45",0.1848341232227488
Cosio D'Arroscia,Imperia,Liguria,79,"81,44",13,"13,40",0.717391304347826
Costarainera,Imperia,Liguria,194,"63,19",102,"33,22",0.3108108108108108
Diano Arentino,Imperia,Liguria,127,"63,50",59,"29,50",0.3655913978494624
Diano Castello,Imperia,Liguria,464,"68,34",190,"27,98",0.41896024464831805
Diano Marina,Imperia,Liguria,1221,"65,15",567,"30,26",0.36577181208053694
Diano San Pietro,Imperia,Liguria,245,"65,16",115,"30,59",0.3611111111111111
Dolceacqua,Imperia,Liguria,353,"53,65",274,"41,64",0.12599681020733652
Dolcedo,Imperia,Liguria,225,"53,32",177,"41,94",0.11940298507462686
Imperia,Imperia,Liguria,7623,"52,55",6279,"43,29",0.09667673716012085
Isolabona,Imperia,Liguria,131,"57,71",88,"38,77",0.1963470319634703
Lucinasco,Imperia,Liguria,61,"62,89",34,"35,05",0.28421052631578947
Mendatica,Imperia,Liguria,62,"65,26",30,"31,58",0.34782608695652173
Molini Di Triora,Imperia,Liguria,93,"59,24",54,"34,39",0.2653061224489796
Montalto Carpasio,Imperia,Liguria,82,"52,90",69,"44,52",0.08609271523178808
Montegrosso Pian Latte,Imperia,Liguria,50,"68,49",23,"31,51",0.3698630136986301
Olivetta San Michele,Imperia,Liguria,43,"64,18",22,"32,84",0.3230769230769231
Ospedaletti,Imperia,Liguria,653,"62,91",353,"34,01",0.2982107355864811
Perinaldo,Imperia,Liguria,116,"59,79",69,"35,57",0.25405405405405407
Pietrabruna,Imperia,Liguria,96,"63,58",50,"33,11",0.3150684931506849
Pieve Di Teco,Imperia,Liguria,250,"61,12",137,"33,50",0.29198966408268734
Pigna,Imperia,Liguria,133,"50,76",98,"37,40",0.15151515151515152
Pompeiana,Imperia,Liguria,174,"64,21",89,"32,84",0.3231939163498099
Pontedassio,Imperia,Liguria,597,"68,07",252,"28,73",0.40636042402826855
Pornassio,Imperia,Liguria,115,"69,28",45,"27,11",0.4375
Prelà,Imperia,Liguria,79,"51,63",65,"42,48",0.09722222222222222
Ranzo,Imperia,Liguria,105,"61,76",56,"32,94",0.30434782608695654
Rezzo,Imperia,Liguria,86,"64,66",42,"31,58",0.34375
Riva Ligure,Imperia,Liguria,572,"65,82",265,"30,49",0.36678614097968937
Rocchetta Nervina,Imperia,Liguria,57,"56,44",33,"32,67",0.26666666666666666
San Bartolomeo Al Mare,Imperia,Liguria,627,"60,29",365,"35,10",0.26411290322580644
San Biagio Della Cima,Imperia,Liguria,274,"67,82",118,"29,21",0.3979591836734694
San Lorenzo Al Mare,Imperia,Liguria,283,"56,94",200,"40,24",0.17184265010351968
Sanremo,Imperia,Liguria,8723,"60,61",5042,"35,04",0.26741736287686163
Santo Stefano Al Mare,Imperia,Liguria,434,"60,45",238,"33,15",0.2916666666666667
Seborga,Imperia,Liguria,71,"70,30",27,"26,73",0.4489795918367347
Soldano,Imperia,Liguria,171,"57,38",109,"36,58",0.22142857142857142
Taggia,Imperia,Liguria,2821,"62,84",1494,"33,28",0.30753186558516804
Terzorio,Imperia,Liguria,65,"65,00",29,"29,00",0.3829787234042553
Triora,Imperia,Liguria,83,"65,87",40,"31,75",0.34959349593495936
Vallebona,Imperia,Liguria,243,"65,32",114,"30,65",0.36134453781512604
Vallecrosia,Imperia,Liguria,1606,"66,75",746,"31,01",0.3656462585034014
Vasia,Imperia,Liguria,79,"58,52",50,"37,04",0.2248062015503876
Ventimiglia,Imperia,Liguria,4418,"64,22",2260,"32,85",0.3231506439053609
Vessalico,Imperia,Liguria,67,"77,01",18,"20,69",0.5764705882352941
Villa Faraldi,Imperia,Liguria,75,"64,10",33,"28,21",0.3888888888888889
Ameglia,La Spezia,Liguria,900,"52,05",780,"45,11",0.07142857142857142
Arcola,La Spezia,Liguria,1633,"43,30",1980,"52,51",-0.09604207030168835
Beverino,La Spezia,Liguria,610,"57,77",416,"39,39",0.18908382066276802
Bolano,La Spezia,Liguria,1530,"50,97",1405,"46,80",0.04258943781942078
Bonassola,La Spezia,Liguria,122,"32,97",185,"50,00",-0.20521172638436483
Borghetto Di Vara,La Spezia,Liguria,260,"64,20",134,"33,09",0.3197969543147208
Brugnato,La Spezia,Liguria,400,"60,98",236,"35,98",0.2578616352201258
Calice Al Cornoviglio,La Spezia,Liguria,241,"58,78",149,"36,34",0.2358974358974359
Carro,La Spezia,Liguria,135,"58,70",83,"36,09",0.23853211009174313
Carrodano,La Spezia,Liguria,104,"46,02",111,"49,12",-0.03255813953488372
Castelnuovo Magra,La Spezia,Liguria,1365,"43,76",1622,"52,00",-0.08603950451958486
Deiva Marina,La Spezia,Liguria,369,"59,32",215,"34,57",0.2636986301369863
Follo,La Spezia,Liguria,1379,"56,70",970,"39,88",0.1741166453810132
Framura,La Spezia,Liguria,182,"60,67",107,"35,67",0.25951557093425603
La Spezia,La Spezia,Liguria,15770,"45,77",17610,"51,11",-0.05512282804074296
Lerici,La Spezia,Liguria,2104,"47,71",2176,"49,34",-0.016822429906542057
Levanto,La Spezia,Liguria,1146,"48,91",1104,"47,12",0.018666666666666668
Maissana,La Spezia,Liguria,101,"46,33",96,"44,04",0.025380710659898477
Monterosso Al Mare,La Spezia,Liguria,251,"44,27",301,"53,09",-0.09057971014492754
Luni,La Spezia,Liguria,1018,"35,78",1749,"61,48",-0.26418503794723525
Pignone,La Spezia,Liguria,160,"56,74",116,"41,13",0.15942028985507245
Portovenere,La Spezia,Liguria,724,"49,22",682,"46,36",0.029871977240398292
Riccò Del Golfo Di Spezia,La Spezia,Liguria,682,"47,20",719,"49,76",-0.026409707351891507
Riomaggiore,La Spezia,Liguria,196,"27,80",469,"66,52",-0.4105263157894737
Rocchetta Di Vara,La Spezia,Liguria,182,"59,67",116,"38,03",0.2214765100671141
