comune,provincia,regione,url,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,"CIVICI, CON DE PASCALE PRESIDENTE","CIVICI, CON DE PASCALE PRESIDENTE_perc",ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE,ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE_perc,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE_perc,FRATELLI D'ITALIA - GIORGIA MELONI,FRATELLI D'ITALIA - GIORGIA MELONI_perc,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI_perc,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA_perc,RETE CIVICA - ELENA UGOLINI PRESIDENTE,RETE CIVICA - ELENA UGOLINI PRESIDENTE_perc,"EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO","EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO_perc",LEALTA' COERENZA VERITA' - LUCA TEODORI,LEALTA' COERENZA VERITA' - LUCA TEODORI_perc,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,FEDERICO SERRA_total_votes,FEDERICO SERRA_total_perc,LUCA TEODORI_total_votes,LUCA TEODORI_total_perc,Unnamed: 34,None_perc,latitude,longitude
Castel D'Aiano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130130,245,"32,75",35,"4,68",18,"2,41",21,"2,81",3,"0,40",269,"35,96",29,"3,88",35,"4,68",65,"8,69",17,"2,27",11.0,"1,47",341,"42,79",423,"53,07",20,"2,51",13,"1,63",,,44.275859,10.999408
Castel Del Rio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130140,189,"44,47",12,"2,82",18,"4,24",11,"2,59",9,"2,12",129,"30,35",11,"2,59",13,"3,06",20,"4,71",8,"1,88",5.0,"1,18",248,"55,48",184,"41,16",9,"2,01",6,"1,34",,,44.2142924,11.5040816
Castel Di Casio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130150,442,"35,19",68,"5,41",50,"3,98",37,"2,95",20,"1,59",420,"33,44",52,"4,14",66,"5,25",59,"4,70",27,"2,15",15.0,"1,19",660,"49,62",620,"46,62",34,"2,56",16,"1,20",,,44.162956,11.035811
Castel Guelfo Di Bologna,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130160,679,"42,23",57,"3,54",59,"3,67",53,"3,30",38,"2,36",403,"25,06",69,"4,29",59,"3,67",147,"9,14",22,"1,37",22.0,"1,37",933,"53,74",747,"43,03",27,"1,56",29,"1,67",,,44.4311401,11.6774095
Castello D'Argile,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130170,965,"43,53",93,"4,19",83,"3,74",86,"3,88",38,"1,71",557,"25,12",78,"3,52",111,"5,01",144,"6,50",26,"1,17",36.0,"1,62",1376,"56,91",970,"40,12",32,"1,32",40,"1,65",,,44.6813212,11.2961688
Castel Maggiore,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130190,3772,"52,14",244,"3,37",317,"4,38",409,"5,65",161,"2,23",1273,"17,60",251,"3,47",167,"2,31",399,"5,51",133,"1,84",109.0,"1,51",5307,"65,93",2435,"30,25",181,"2,25",127,"1,58",,,44.575685,11.3648104
Castel San Pietro Terme,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130200,3968,"49,12",249,"3,08",216,"2,67",309,"3,83",141,"1,75",1573,"19,47",247,"3,06",197,"2,44",944,"11,69",122,"1,51",112.0,"1,39",5195,"59,45",3271,"37,43",144,"1,65",129,"1,48",,,44.4012699,11.5854987
Castenaso,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130210,3377,"50,19",237,"3,52",283,"4,21",339,"5,04",125,"1,86",1267,"18,83",280,"4,16",168,"2,50",475,"7,06",111,"1,65",67.0,"1,00",4717,"63,60",2486,"33,52",131,"1,77",83,"1,12",,,44.5088703,11.4698112
Castiglione Dei Pepoli,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130220,1120,"53,82",31,"1,49",25,"1,20",35,"1,68",15,"0,72",504,"24,22",64,"3,08",78,"3,75",147,"7,06",28,"1,35",34.0,"1,63",1250,"58,22",831,"38,71",28,"1,30",38,"1,77",,,44.1413775,11.1541163
Crevalcore,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130240,2019,"43,50",171,"3,68",138,"2,97",229,"4,93",64,"1,38",1165,"25,10",298,"6,42",232,"5,00",233,"5,02",59,"1,27",33.0,"0,71",2810,"56,31",2048,"41,04",78,"1,56",54,"1,08",,,44.72057,11.149804
