comune,provincia,regione,url,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,"CIVICI, CON DE PASCALE PRESIDENTE","CIVICI, CON DE PASCALE PRESIDENTE_perc",ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE,ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE_perc,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE_perc,FRATELLI D'ITALIA - GIORGIA MELONI,FRATELLI D'ITALIA - GIORGIA MELONI_perc,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI_perc,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA_perc,RETE CIVICA - ELENA UGOLINI PRESIDENTE,RETE CIVICA - ELENA UGOLINI PRESIDENTE_perc,"EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO","EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO_perc",LEALTA' COERENZA VERITA' - LUCA TEODORI,LEALTA' COERENZA VERITA' - LUCA TEODORI_perc,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,FEDERICO SERRA_total_votes,FEDERICO SERRA_total_perc,LUCA TEODORI_total_votes,LUCA TEODORI_total_perc,Unnamed: 34,None_perc,latitude,longitude
San Giorgio Di Piano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130520,1680,"51,33",123,"3,76",148,"4,52",162,"4,95",75,"2,29",610,"18,64",86,"2,63",100,"3,06",206,"6,29",50,"1,53",33.0,"1,01",2385,"65,06",1168,"31,86",72,"1,96",41,"1,12",,,44.6467934,11.3754491
San Giovanni In Persiceto,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130530,4674,"42,27",451,"4,08",334,"3,02",542,"4,90",204,"1,84",2492,"22,54",401,"3,63",912,"8,25",716,"6,47",201,"1,82",131.0,"1,18",6731,"56,09",4912,"40,93",212,"1,77",146,"1,22",,,44.6386593,11.1874019
San Lazzaro Di Savena,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130540,7011,"49,99",390,"2,78",563,"4,01",614,"4,38",236,"1,68",2950,"21,03",578,"4,12",356,"2,54",964,"6,87",198,"1,41",165.0,"1,18",9284,"61,77",5336,"35,50",233,"1,55",178,"1,18",,,44.4715668,11.4048591
San Pietro In Casale,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130550,1728,"42,76",196,"4,85",160,"3,96",183,"4,53",77,"1,91",869,"21,50",146,"3,61",229,"5,67",287,"7,10",109,"2,70",57.0,"1,41",2534,"57,21",1701,"38,41",130,"2,94",64,"1,45",,,44.6990515,11.4029261
Sant'Agata Bolognese,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130560,949,"37,96",108,"4,32",84,"3,36",108,"4,32",52,"2,08",730,"29,20",102,"4,08",146,"5,84",173,"6,92",18,"0,72",30.0,"1,20",1423,"52,16",1245,"45,64",21,"0,77",39,"1,43",,,44.664169,11.134004
Sasso Marconi,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130570,2508,"41,72",196,"3,26",464,"7,72",369,"6,14",99,"1,65",1186,"19,73",213,"3,54",185,"3,08",600,"9,98",108,"1,80",83.0,"1,38",3927,"59,79",2426,"36,94",120,"1,83",95,"1,45",,,44.3996319,11.247554
Valsamoggia,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130585,5310,"47,51",381,"3,41",400,"3,58",596,"5,33",190,"1,70",2449,"21,91",414,"3,70",421,"3,77",611,"5,47",267,"2,39",138.0,"1,23",7321,"60,92",4239,"35,28",306,"2,55",151,"1,26",,,44.439823649999994,11.059274991313368
Vergato,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130590,916,"39,53",104,"4,49",52,"2,24",89,"3,84",24,"1,04",724,"31,25",82,"3,54",129,"5,57",135,"5,83",39,"1,68",23.0,"0,99",1258,"51,20",1132,"46,07",42,"1,71",25,"1,02",,,44.28266,11.10731
Zola Predosa,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130600,3799,"48,62",263,"3,37",337,"4,31",424,"5,43",163,"2,09",1681,"21,52",289,"3,70",201,"2,57",427,"5,47",145,"1,86",84.0,"1,08",5359,"62,79",2895,"33,92",180,"2,11",101,"1,18",,,44.489665,11.218309
Argenta,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290010,3050,"44,62",223,"3,26",245,"3,58",205,"3,00",89,"1,30",1758,"25,72",340,"4,97",379,"5,54",388,"5,68",88,"1,29",71.0,"1,04",4050,"54,27",3245,"43,48",94,"1,26",74,"0,99",,,44.6143379,11.833842
Bondeno,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290030,1536,"35,32",113,"2,60",81,"1,86",122,"2,81",120,"2,76",872,"20,05",198,"4,55",1089,"25,04",134,"3,08",45,"1,03",39.0,"0,90",2096,"45,19",2451,"52,85",47,"1,01",44,"0,95",,,44.886177,11.410807
Cento,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290040,3680,"32,66",355,"3,15",365,"3,24",328,"2,91",119,"1,06",2943,"26,12",765,"6,79",791,"7,02",1651,"14,65",124,"1,10",148.0,"1,31",5319,"42,46",6879,"54,91",151,"1,21",179,"1,43",,,44.7274395,11.2903029
Codigoro,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290050,949,"29,59",93,"2,90",141,"4,40",64,"2,00",40,"1,25",1074,"33,49",286,"8,92",234,"7,30",199,"6,21",62,"1,93",65.0,"2,03",1353,"39,71",1911,"56,09",69,"2,03",74,"2,17",,,44.831581,12.109524
Comacchio,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290060,1100,"21,10",201,"3,86",608,"11,66",171,"3,28",83,"1,59",1890,"36,26",357,"6,85",391,"7,50",267,"5,12",82,"1,57",63.0,"1,21",2312,"40,67",3203,"56,34",93,"1,64",77,"1,35",,,44.696379,12.180427
Copparo,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290070,2194,"42,28",160,"3,08",101,"1,95",103,"1,98",57,"1,10",1503,"28,97",246,"4,74",416,"8,02",240,"4,63",63,"1,21",106.0,"2,04",2785,"48,39",2776,"48,24",73,"1,27",121,"2,10",,,44.8941828,11.8278892
Ferrara,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290080,17608,"39,63",1633,"3,68",1777,"4,00",2415,"5,44",910,"2,05",11005,"24,77",2388,"5,37",3104,"6,99",2276,"5,12",615,"1,38",702.0,"1,58",26816,"54,17",21160,"42,74",740,"1,49",790,"1,60",,,44.8372737,11.6186451
Fiscaglia,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290085,1007,"41,41",120,"4,93",84,"3,45",44,"1,81",20,"0,82",667,"27,43",113,"4,65",171,"7,03",109,"4,48",52,"2,14",45.0,"1,85",1345,"51,06",1179,"44,76",55,"2,09",55,"2,09",,,44.7941326,12.029515
Goro,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290091,208,"15,59",14,"1,05",16,"1,20",10,"0,75",7,"0,52",945,"70,84",60,"4,50",40,"3,00",23,"1,72",8,"0,60",3.0,"0,22",264,"19,35",1088,"79,77",9,"0,66",3,"0,22",,,44.850883,12.294927
Jolanda Di Savoia,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290100,292,"40,05",31,"4,25",22,"3,02",13,"1,78",7,"0,96",195,"26,75",29,"3,98",46,"6,31",54,"7,41",7,"0,96",33.0,"4,53",380,"48,53",362,"46,23",9,"1,15",32,"4,09",,,44.8824077,11.9793488
Lagosanto,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290110,337,"27,47",61,"4,97",71,"5,79",28,"2,28",16,"1,30",362,"29,50",77,"6,28",181,"14,75",58,"4,73",17,"1,39",19.0,"1,55",553,"40,93",754,"55,81",20,"1,48",24,"1,78",,,44.76198,12.142825
Masi Torello,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290111,209,"25,00",19,"2,27",16,"1,91",24,"2,87",9,"1,08",394,"47,13",46,"5,50",49,"5,86",45,"5,38",13,"1,56",12.0,"1,44",306,"34,30",556,"62,33",14,"1,57",16,"1,79",,,44.794578,11.801817
Mesola,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290130,594,"29,25",59,"2,90",52,"2,56",30,"1,48",13,"0,64",679,"33,43",238,"11,72",85,"4,19",246,"12,11",11,"0,54",24.0,"1,18",796,"37,23",1303,"60,94",15,"0,70",24,"1,12",,,44.9207815,12.2292244
Ostellato,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290150,692,"41,17",60,"3,57",52,"3,09",21,"1,25",13,"0,77",454,"27,01",81,"4,82",118,"7,02",101,"6,01",40,"2,38",49.0,"2,91",868,"47,88",848,"46,77",45,"2,48",52,"2,87",,,44.745678,11.943521
Poggio Renatico,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290160,1176,"39,64",102,"3,44",126,"4,25",104,"3,51",29,"0,98",804,"27,10",151,"5,09",192,"6,47",214,"7,21",34,"1,15",35.0,"1,18",1666,"51,04",1516,"46,45",40,"1,23",42,"1,29",,,44.765974,11.490111
Portomaggiore,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290170,1324,"37,75",115,"3,28",111,"3,17",66,"1,88",35,"1,00",1067,"30,42",215,"6,13",231,"6,59",255,"7,27",43,"1,23",45.0,"1,28",1743,"45,86",1962,"51,62",48,"1,26",48,"1,26",,,44.6992584,11.804078
Riva Del Po,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290175,666,"34,40",62,"3,20",59,"3,05",40,"2,07",27,"1,39",671,"34,66",80,"4,13",141,"7,28",142,"7,33",28,"1,45",20.0,"1,03",908,"42,61",1166,"54,72",31,"1,45",26,"1,22",,,44.9604698,11.8943944
Terre Del Reno,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290185,990,"30,81",90,"2,80",127,"3,95",82,"2,55",51,"1,59",951,"29,60",212,"6,60",315,"9,80",301,"9,37",48,"1,49",46.0,"1,43",1455,"41,52",1949,"55,62",50,"1,43",50,"1,43",,,44.8121549,11.4043878
Tresignana,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290195,888,"41,21",50,"2,32",86,"3,99",51,"2,37",35,"1,62",625,"29,00",105,"4,87",130,"6,03",119,"5,52",27,"1,25",39.0,"1,81",1170,"50,11",1093,"46,81",29,"1,24",43,"1,84",,,44.8289372,11.8789171
Vigarano Mainarda,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290200,933,"36,06",86,"3,32",99,"3,83",105,"4,06",38,"1,47",714,"27,60",128,"4,95",281,"10,86",112,"4,33",51,"1,97",40.0,"1,55",1346,"48,28",1341,"48,10",54,"1,94",47,"1,69",,,44.8434217,11.4944364
Voghiera,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290210,439,"33,82",35,"2,70",49,"3,78",29,"2,23",18,"1,39",346,"26,66",77,"5,93",81,"6,24",182,"14,02",20,"1,54",22.0,"1,69",616,"42,22",791,"54,22",25,"1,71",27,"1,85",,,44.759074,11.751132
Bagno Di Romagna,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320010,1060,"48,85",37,"1,71",36,"1,66",48,"2,21",38,"1,75",687,"31,66",106,"4,88",75,"3,46",45,"2,07",27,"1,24",11.0,"0,51",1260,"55,73",957,"42,33",32,"1,42",12,"0,53",,,43.8352272,11.9595985
Bertinoro,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320020,1704,"47,28",109,"3,02",132,"3,66",218,"6,05",59,"1,64",844,"23,42",145,"4,02",165,"4,58",114,"3,16",51,"1,42",63.0,"1,75",2389,"61,49",1360,"35,01",63,"1,62",73,"1,88",,,44.148665,12.134235
Borghi,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320030,238,"31,32",31,"4,08",19,"2,50",30,"3,95",4,"0,53",302,"39,74",46,"6,05",47,"6,18",23,"3,03",11,"1,45",9.0,"1,18",347,"42,47",447,"54,71",11,"1,35",12,"1,47",,,44.0315914,12.3543893
Castrocaro Terme E Terra Del Sole,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320040,787,"37,66",57,"2,73",125,"5,98",107,"5,12",26,"1,24",623,"29,81",143,"6,84",109,"5,22",66,"3,16",17,"0,81",30.0,"1,44",1188,"53,18",991,"44,36",19,"0,85",36,"1,61",,,44.182365,11.955631
Cesena,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320060,15974,"47,61",1383,"4,12",1310,"3,90",1985,"5,92",885,"2,64",6925,"20,64",1610,"4,80",1342,"4,00",1319,"3,93",357,"1,06",463.0,"1,38",23422,"63,31",12630,"34,14",421,"1,14",525,"1,42",,,44.136352,12.2422442
Cesenatico,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320070,3346,"38,87",258,"3,00",350,"4,07",303,"3,52",143,"1,66",2187,"25,40",1195,"13,88",401,"4,66",196,"2,28",111,"1,29",119.0,"1,38",4840,"51,44",4326,"45,98",114,"1,21",129,"1,37",,,44.1999283,12.3969692
Civitella Di Romagna,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320080,564,"44,55",34,"2,69",33,"2,61",19,"1,50",3,"0,24",400,"31,60",73,"5,77",90,"7,11",19,"1,50",15,"1,18",16.0,"1,26",680,"50,86",630,"47,12",15,"1,12",12,"0,90",,,44.0071707,11.9413464
Dovadola,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320100,153,"36,60",13,"3,11",20,"4,78",29,"6,94",2,"0,48",132,"31,58",32,"7,66",21,"5,02",7,"1,67",5,"1,20",4.0,"0,96",230,"51,80",204,"45,95",6,"1,35",4,"0,90",,,44.1225739,11.888255
Forli',Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320110,16953,"44,06",1245,"3,24",2117,"5,50",1957,"5,09",563,"1,46",8873,"23,06",2194,"5,70",2200,"5,72",1486,"3,86",449,"1,17",439.0,"1,14",24799,"58,91",16271,"38,65",515,"1,22",513,"1,22",,,44.2227278,12.041273
Forlimpopoli,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320120,2026,"47,12",157,"3,65",170,"3,95",261,"6,07",84,"1,95",922,"21,44",204,"4,74",219,"5,09",132,"3,07",51,"1,19",74.0,"1,72",2926,"62,49",1610,"34,39",60,"1,28",86,"1,84",,,44.1873049,12.1259056
Galeata,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320130,382,"46,42",14,"1,70",48,"5,83",12,"1,46",2,"0,24",240,"29,16",39,"4,74",47,"5,71",12,"1,46",16,"1,94",11.0,"1,34",459,"54,06",364,"42,87",15,"1,77",11,"1,30",,,43.9966629,11.9120062
Gambettola,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320140,1364,"43,04",139,"4,39",131,"4,13",150,"4,73",75,"2,37",794,"25,06",137,"4,32",169,"5,33",117,"3,69",43,"1,36",50.0,"1,58",1991,"57,18",1379,"39,60",50,"1,44",62,"1,78",,,44.1169463,12.3387643
Gatteo,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320150,996,"38,65",111,"4,31",92,"3,57",114,"4,42",35,"1,36",728,"28,25",170,"6,60",148,"5,74",92,"3,57",45,"1,75",46.0,"1,79",1473,"52,01",1258,"44,42",49,"1,73",52,"1,84",,,44.109466,12.386042
Longiano,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320170,1031,"45,32",107,"4,70",74,"3,25",104,"4,57",33,"1,45",552,"24,26",94,"4,13",98,"4,31",90,"3,96",41,"1,80",51.0,"2,24",1460,"58,82",920,"37,07",44,"1,77",58,"2,34",,,44.0743778,12.3274733
Meldola,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320180,1182,"41,33",95,"3,32",148,"5,17",110,"3,85",32,"1,12",750,"26,22",163,"5,70",165,"5,77",123,"4,30",48,"1,68",44.0,"1,54",1710,"54,55",1333,"42,52",46,"1,47",46,"1,47",,,44.1267212,12.0611527
Mercato Saraceno,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320190,783,"35,48",49,"2,22",52,"2,36",237,"10,74",31,"1,40",599,"27,14",88,"3,99",268,"12,14",62,"2,81",17,"0,77",21.0,"0,95",1224,"52,15",1084,"46,19",17,"0,72",22,"0,94",,,43.9567671,12.1959387
Modigliana,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320210,521,"37,24",45,"3,22",62,"4,43",40,"2,86",18,"1,29",422,"30,16",76,"5,43",133,"9,51",60,"4,29",19,"1,36",3.0,"0,21",754,"48,06",770,"49,08",35,"2,23",10,"0,64",,,44.161163,11.793528
Montiano,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320270,296,"46,54",27,"4,25",20,"3,14",27,"4,25",12,"1,89",159,"25,00",33,"5,19",15,"2,36",31,"4,87",6,"0,94",10.0,"1,57",398,"58,02",267,"38,92",11,"1,60",10,"1,46",,,44.082965,12.30444
Portico E San Benedetto,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320300,106,"41,90",4,"1,58",12,"4,74",4,"1,58",3,"1,19",62,"24,51",43,"17,00",11,"4,35",4,"1,58",4,"1,58",0.0,0,131,"49,62",129,"48,86",4,"1,52",0,0,,,43.9968881,11.7150838
Predappio,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320310,714,"35,05",132,"6,48",63,"3,09",51,"2,50",20,"0,98",774,"38,00",105,"5,15",94,"4,61",43,"2,11",15,"0,74",26.0,"1,28",1037,"47,94",1077,"49,79",18,"0,83",31,"1,43",,,44.1022154,11.9816196
Premilcuore,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320320,116,"40,56",3,"1,05",15,"5,24",5,"1,75",3,"1,05",103,"36,01",11,"3,85",20,"6,99",5,"1,75",3,"1,05",2.0,"0,70",141,"47,47",151,"50,84",3,"1,01",2,"0,67",,,43.9759077,11.7775267
Rocca San Casciano,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320350,190,"24,20",17,"2,17",109,"13,89",25,"3,18",4,"0,51",172,"21,91",231,"29,43",18,"2,29",9,"1,15",7,"0,89",3.0,"0,38",368,"44,77",441,"53,65",9,"1,09",4,"0,49",,,44.0590962,11.8420614
Roncofreddo,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320360,549,"44,31",35,"2,82",25,"2,02",93,"7,51",13,"1,05",329,"26,55",38,"3,07",59,"4,76",41,"3,31",18,"1,45",39.0,"3,15",749,"57,22",500,"38,20",19,"1,45",41,"3,13",,,44.0422403,12.3182595
San Mauro Pascoli,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320400,1555,"45,68",155,"4,55",94,"2,76",116,"3,41",47,"1,38",857,"25,18",190,"5,58",220,"6,46",93,"2,73",41,"1,20",36.0,"1,06",2118,"57,48",1484,"40,27",44,"1,19",39,"1,06",,,44.1064626,12.4148977
Santa Sofia,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320420,1235,"66,61",23,"1,24",21,"1,13",28,"1,51",6,"0,32",325,"17,53",97,"5,23",67,"3,61",27,"1,46",15,"0,81",10.0,"0,54",1317,"69,13",562,"29,50",15,"0,79",11,"0,58",,,43.9472672,11.9084513
Sarsina,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320430,408,"31,92",36,"2,82",16,"1,25",50,"3,91",11,"0,86",563,"44,05",57,"4,46",91,"7,12",23,"1,80",14,"1,10",9.0,"0,70",551,"41,49",753,"56,70",14,"1,05",10,"0,75",,,43.9187582,12.1432584
Savignano Sul Rubicone,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320440,2076,"43,06",259,"5,37",182,"3,78",197,"4,09",52,"1,08",1251,"25,95",241,"5,00",248,"5,14",171,"3,55",68,"1,41",76.0,"1,58",3068,"56,35",2217,"40,72",75,"1,38",85,"1,56",,,44.0925118,12.3991309
Sogliano Al Rubicone,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320450,365,"34,24",51,"4,78",19,"1,78",49,"4,60",11,"1,03",383,"35,93",49,"4,60",62,"5,82",40,"3,75",16,"1,50",21.0,"1,97",513,"46,34",554,"50,05",16,"1,45",24,"2,17",,,44.004663,12.300541
Tredozio,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320480,125,"34,72",5,"1,39",23,"6,39",7,"1,94",6,"1,67",123,"34,17",14,"3,89",37,"10,28",15,"4,17",3,"0,83",2.0,"0,56",182,"45,61",212,"53,13",3,"0,75",2,"0,50",,,44.0810425,11.7442078
Verghereto,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320490,190,"30,21",11,"1,75",15,"2,38",10,"1,59",21,"3,34",313,"49,76",20,"3,18",27,"4,29",14,"2,23",2,"0,32",6.0,"0,95",260,"39,51",389,"59,12",3,"0,46",6,"0,91",,,43.792956,12.003938
Bastiglia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500010,665,"48,75",55,"4,03",53,"3,89",54,"3,96",18,"1,32",243,"17,82",71,"5,21",89,"6,52",78,"5,72",32,"2,35",6.0,"0,44",880,"61,50",513,"35,85",29,"2,03",9,"0,63",,,44.726969,10.9986
Bomporto,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500020,1296,"40,53",173,"5,41",147,"4,60",146,"4,57",39,"1,22",833,"26,05",179,"5,60",161,"5,03",140,"4,38",40,"1,25",44.0,"1,38",1910,"55,86",1414,"41,36",45,"1,32",50,"1,46",,,44.72977,11.038401
Campogalliano,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500030,1543,"51,36",114,"3,79",131,"4,36",156,"5,19",40,"1,33",578,"19,24",93,"3,10",102,"3,40",159,"5,29",41,"1,36",47.0,"1,56",2083,"65,15",1015,"31,75",46,"1,44",53,"1,66",,,44.6905118,10.8407336
Camposanto,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500040,402,"36,45",36,"3,26",21,"1,90",37,"3,35",4,"0,36",407,"36,90",64,"5,80",54,"4,90",49,"4,44",14,"1,27",15.0,"1,36",524,"45,13",605,"52,11",15,"1,29",17,"1,46",,,44.7901008,11.1378084
Carpi,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500050,12236,"48,71",759,"3,02",1213,"4,83",1457,"5,80",427,"1,70",5637,"22,44",809,"3,22",753,"3,00",1179,"4,69",391,"1,56",257.0,"1,02",16855,"63,82",8837,"33,46",428,"1,62",292,"1,11",,,44.7835699,10.8854523
Castelfranco Emilia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500060,5481,"50,11",526,"4,81",321,"2,93",483,"4,42",149,"1,36",2071,"18,93",747,"6,83",430,"3,93",441,"4,03",197,"1,80",93.0,"0,85",7281,"63,09",3936,"34,10",213,"1,85",111,"0,96",,,44.5949319,11.0528375
Castelnuovo Rangone,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500070,2530,"45,15",174,"3,11",327,"5,84",266,"4,75",67,"1,20",1413,"25,22",223,"3,98",231,"4,12",225,"4,02",71,"1,27",76.0,"1,36",3534,"59,65",2224,"37,54",83,"1,40",84,"1,42",,,44.5491616,10.9395008
Castelvetro Di Modena,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500080,1603,"42,93",114,"3,05",225,"6,03",187,"5,01",88,"2,36",940,"25,17",166,"4,45",172,"4,61",153,"4,10",37,"0,99",49.0,"1,31",2321,"58,55",1541,"38,87",45,"1,14",57,"1,44",,,44.5034615,10.9432999
Cavezzo,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500090,971,"39,09",81,"3,26",79,"3,18",72,"2,90",27,"1,09",745,"29,99",103,"4,15",190,"7,65",149,"6,00",32,"1,29",35.0,"1,41",1300,"49,54",1247,"47,52",36,"1,37",41,"1,56",,,44.8365,11.0294353
