comune,CDX_votes_2020,CDX_perc_2020,CSX_votes_2020,CSX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Riva Ligure,821,65.52,322,25.7,Imperia,Liguria,265,30.49,572,65.82,39.81999999999999,35.33,-4.489999999999995,43.8383252,7.8826679
Roccavignale,258,61.28,139,33.02,Savona,Liguria,141,44.48,168,53.0,28.259999999999998,8.520000000000003,-19.739999999999995,44.347172,8.1646818
Rocchetta Di Vara,246,72.14,77,22.58,La Spezia,Liguria,116,38.03,182,59.67,49.56,21.64,-27.92,44.251273,9.7572844
Rocchetta Nervina,90,63.83,46,32.62,Imperia,Liguria,33,32.67,57,56.44,31.21,23.769999999999996,-7.440000000000005,43.890619,7.599642
Ronco Scrivia,1312,59.18,766,34.55,Genova,Liguria,683,40.49,945,56.02,24.630000000000003,15.530000000000001,-9.100000000000001,44.6132988,8.9523681
Rondanina,19,61.29,8,25.81,Genova,Liguria,6,24.0,18,72.0,35.480000000000004,48.0,12.519999999999996,44.563245,9.218071
Rossiglione,477,35.44,792,58.84,Genova,Liguria,843,67.22,378,30.14,-23.400000000000006,-37.08,-13.679999999999993,44.5639606,8.6685132
Rovegno,160,63.75,80,31.87,Genova,Liguria,75,33.63,137,61.43,31.88,27.799999999999997,-4.080000000000002,44.5767478,9.2791616
San Bartolomeo Al Mare,731,57.56,336,26.46,Imperia,Liguria,365,35.1,627,60.29,31.1,25.189999999999998,-5.910000000000004,43.922924,8.101152
San Biagio Della Cima,376,68.36,138,25.09,Imperia,Liguria,118,29.21,274,67.82,43.269999999999996,38.60999999999999,-4.660000000000004,43.8182416,7.6488198
San Colombano Certenoli,950,68.94,316,22.93,Genova,Liguria,322,32.89,602,61.49,46.01,28.6,-17.409999999999997,44.3992532,9.3288048
San Lorenzo Al Mare,390,61.03,155,24.26,Imperia,Liguria,200,40.24,283,56.94,36.769999999999996,16.699999999999996,-20.07,43.8547109,7.9637075
Sanremo,14059,65.15,6078,28.17,Imperia,Liguria,5042,35.04,8723,60.61,36.980000000000004,25.57,-11.410000000000004,43.8198253,7.7748827
Sant'Olcese,1062,30.99,2218,64.72,Genova,Liguria,1901,65.55,896,30.9,-33.730000000000004,-34.65,-0.9199999999999946,44.4908639,8.9705395
Santa Margherita Ligure,2928,68.83,1087,25.55,Genova,Liguria,1143,32.19,2286,64.38,43.28,32.19,-11.090000000000003,44.3339761,9.2111267
Santo Stefano Al Mare,789,68.67,267,23.24,Imperia,Liguria,238,33.15,434,60.45,45.43000000000001,27.300000000000004,-18.130000000000003,43.8377772,7.8982074
Santo Stefano D'Aveto,362,79.91,64,14.13,Genova,Liguria,71,15.88,229,51.23,65.78,35.349999999999994,-30.430000000000007,44.5472974,9.4502082
Santo Stefano Di Magra,2127,47.07,1977,43.75,La Spezia,Liguria,1974,51.21,1718,44.57,3.3200000000000003,-6.640000000000001,-9.96,44.1650993,9.9173304
Sarzana,4646,45.19,4548,44.23,La Spezia,Liguria,4774,53.2,3809,42.45,0.9600000000000009,-10.75,-11.71,44.1131762,9.9599823
Sassello,465,52.31,375,42.18,Savona,Liguria,336,45.28,374,50.4,10.130000000000003,5.119999999999997,-5.010000000000005,44.4789695,8.4901712
Savignone,881,59.93,493,33.54,Genova,Liguria,479,37.99,724,57.41,26.39,19.419999999999995,-6.970000000000006,44.5641434,8.9895956
Savona,12630,45.99,12473,45.42,Savona,Liguria,12932,57.96,8373,37.53,0.5700000000000003,-20.43,-21.0,44.3080251,8.4810315
Seborga,93,65.96,32,22.7,Imperia,Liguria,27,26.73,71,70.3,43.25999999999999,43.56999999999999,0.3100000000000023,43.826406,7.6945093
Serra Ricco',1889,47.61,1753,44.18,Genova,Liguria,1863,54.08,1466,42.55,3.4299999999999997,-11.530000000000001,-14.96,44.5188233,8.9516139
Sesta Godano,406,58.59,222,32.03,La Spezia,Liguria,385,57.38,259,38.6,26.560000000000002,-18.78,-45.34,44.2939663,9.675716
Sestri Levante,4442,51.93,3499,40.91,Genova,Liguria,3251,44.02,3640,49.29,11.020000000000003,5.269999999999996,-5.750000000000007,44.2714526,9.3958627
Soldano,241,57.79,142,34.05,Imperia,Liguria,109,36.58,171,57.38,23.740000000000002,20.800000000000004,-2.9399999999999977,43.8283447,7.6542098
Sori,1159,57.43,738,36.57,Genova,Liguria,819,43.96,983,52.76,20.86,8.799999999999997,-12.060000000000002,44.3733735,9.1044467
Spotorno,1072,59.85,613,34.23,Savona,Liguria,624,44.8,723,51.9,25.620000000000005,7.100000000000001,-18.520000000000003,44.2272571,8.4191772
Stella,826,54.96,555,36.93,Savona,Liguria,554,46.17,572,47.67,18.03,1.5,-16.53,44.4047212,8.5015651
Stellanello,278,73.54,77,20.37,Savona,Liguria,92,32.06,184,64.11,53.17,32.05,-21.120000000000005,44.0004199,8.0580389
Taggia,4083,67.86,1446,24.03,Imperia,Liguria,1494,33.28,2821,62.84,43.83,29.560000000000002,-14.269999999999996,43.8696068,7.8364582
Terzorio,50,36.5,20,14.6,Imperia,Liguria,29,29.0,65,65.0,21.9,36.0,14.100000000000001,43.852321,7.898349
Testico,70,81.4,10,11.63,Savona,Liguria,16,21.05,57,75.0,69.77000000000001,53.95,-15.820000000000007,44.005626,8.029249
Tiglieto,149,52.46,128,45.07,Genova,Liguria,120,49.38,120,49.38,7.390000000000001,0.0,-7.390000000000001,44.5245575,8.6192573
Toirano,937,66.22,368,26.01,Savona,Liguria,323,30.36,700,65.79,40.209999999999994,35.43000000000001,-4.779999999999987,44.12753,8.20485
Torriglia,816,64.61,367,29.06,Genova,Liguria,310,32.77,594,62.79,35.55,30.019999999999996,-5.530000000000001,44.5193954,9.1583522
Tovo San Giacomo,837,65.09,351,27.29,Savona,Liguria,366,35.06,627,60.06,37.800000000000004,25.0,-12.800000000000004,44.1764742,8.2684492
Tribogna,207,70.17,74,25.08,Genova,Liguria,71,31.98,139,62.61,45.09,30.63,-14.460000000000004,44.4199527,9.1902231
Triora,127,72.57,38,21.71,Imperia,Liguria,40,31.75,83,65.87,50.85999999999999,34.120000000000005,-16.739999999999988,43.992523,7.766243
Urbe,244,65.95,109,29.46,Savona,Liguria,129,45.1,146,51.05,36.49,5.949999999999996,-30.540000000000006,44.4772561,8.6313928
Uscio,664,64.22,308,29.79,Genova,Liguria,307,37.3,483,58.69,34.43,21.39,-13.04,44.4133432,9.1625628
Vado Ligure,1778,43.87,1897,46.8,Savona,Liguria,1888,61.12,963,31.18,-2.9299999999999997,-29.939999999999998,-27.009999999999998,44.2714401,8.4382205
Valbrevenna,206,49.76,185,44.69,Genova,Liguria,145,43.94,164,49.7,5.07,5.760000000000005,0.6900000000000048,44.5605766,9.0916029
Vallebona,301,59.49,184,36.36,Imperia,Liguria,114,30.65,243,65.32,23.130000000000003,34.669999999999995,11.539999999999992,43.812718,7.666544
Vallecrosia,1902,65.2,894,30.65,Imperia,Liguria,746,31.01,1606,66.75,34.550000000000004,35.739999999999995,1.1899999999999906,43.7888272,7.6434111
Varazze,4329,65.42,1806,27.29,Savona,Liguria,2036,37.43,3203,58.88,38.13,21.450000000000003,-16.68,44.3592996,8.5753273
Varese Ligure,732,71.98,213,20.94,La Spezia,Liguria,376,43.67,443,51.45,51.040000000000006,7.780000000000001,-43.260000000000005,44.3760527,9.5926994
Vasia,105,52.76,45,22.61,Imperia,Liguria,50,37.04,79,58.52,30.15,21.480000000000004,-8.669999999999995,43.93266,7.9532267
Vendone,134,62.04,54,25.0,Savona,Liguria,58,37.66,91,59.09,37.04,21.430000000000007,-15.609999999999992,44.0747064,8.0739301
Ventimiglia,5972,65.71,2680,29.49,Imperia,Liguria,2260,32.85,4418,64.22,36.22,31.369999999999997,-4.850000000000001,43.7917623,7.6033131
Vernazza,240,54.18,174,39.28,La Spezia,Liguria,242,63.85,125,32.98,14.899999999999999,-30.870000000000005,-45.77,44.1349412,9.6827757
Vessalico,65,70.65,17,18.48,Imperia,Liguria,18,20.69,67,77.01,52.17,56.32000000000001,4.150000000000006,44.0459373,7.960853
Vezzano Ligure,1545,44.09,1663,47.46,La Spezia,Liguria,1561,52.72,1296,43.77,-3.3699999999999974,-8.949999999999996,-5.579999999999998,44.14677475,9.87632698298859
Vezzi Portio,223,56.74,147,37.4,Savona,Liguria,168,54.9,129,42.16,19.340000000000003,-12.740000000000002,-32.080000000000005,44.23754985,8.353740825847455
Villa Faraldi,74,37.37,38,19.19,Imperia,Liguria,33,28.21,75,64.1,18.179999999999996,35.88999999999999,17.709999999999997,43.9685283,8.085228845771546
Villanova D'Albenga,1092,74.24,286,19.44,Savona,Liguria,404,37.51,629,58.4,54.8,20.89,-33.91,44.0468362,8.1428461
Vobbia,136,53.12,68,26.56,Genova,Liguria,71,41.04,96,55.49,26.56,14.450000000000003,-12.109999999999996,44.6012449,9.0386677
Zignago,200,68.97,76,26.21,La Spezia,Liguria,75,32.75,146,63.76,42.76,31.009999999999998,-11.75,44.2972458,9.749064
Zoagli,926,64.85,430,30.11,Genova,Liguria,311,32.4,588,61.25,34.739999999999995,28.85,-5.8899999999999935,44.3367625,9.2669559
Zuccarello,122,63.54,59,30.73,Savona,Liguria,54,36.49,92,62.16,32.81,25.669999999999995,-7.140000000000008,44.111029,8.115849
