comune,CDX_votes_2020,CDX_perc_2020,CSX_votes_2020,CSX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Camogli,1448,50.91,1013,35.62,Genova,Liguria,1125,44.29,1311,51.61,15.29,7.32,-7.969999999999999,44.349247,9.158863
Campo Ligure,653,45.47,701,48.82,Genova,Liguria,734,56.2,534,40.89,-3.3500000000000014,-15.310000000000002,-11.96,44.537644,8.698153
Campomorone,1706,50.52,1427,42.26,Genova,Liguria,1517,51.93,1277,43.72,8.260000000000005,-8.21,-16.470000000000006,44.507337,8.8901102
Camporosso,1802,71.2,592,23.39,Imperia,Liguria,668,38.52,1023,59.0,47.81,20.479999999999997,-27.330000000000005,43.8151011,7.6284178
Carasco,1036,63.87,466,28.73,Genova,Liguria,479,35.32,788,58.11,35.14,22.79,-12.350000000000001,44.3497559,9.3456502
Caravonica,87,70.16,25,20.16,Imperia,Liguria,20,16.26,97,78.86,50.0,62.599999999999994,12.599999999999994,43.993025,7.958047
Carcare,1426,53.63,1063,39.98,Savona,Liguria,1095,55.36,799,40.39,13.650000000000006,-14.969999999999999,-28.620000000000005,44.3574727,8.2901625
Carro,190,69.85,66,24.26,La Spezia,Liguria,83,36.09,135,58.7,45.58999999999999,22.61,-22.97999999999999,44.2728242,9.6074789
Carrodano,151,52.98,113,39.65,La Spezia,Liguria,111,49.12,104,46.02,13.329999999999998,-3.0999999999999943,-16.429999999999993,44.2419991,9.6557533
Casanova Lerrone,169,58.89,74,25.78,Savona,Liguria,85,42.08,110,54.46,33.11,12.380000000000003,-20.729999999999997,44.0321164,8.0502228
Casarza Ligure,2073,61.3,1054,31.16,Genova,Liguria,1063,37.67,1621,57.44,30.139999999999997,19.769999999999996,-10.370000000000001,44.2735459,9.4497709
Casella,1066,60.95,603,34.48,Genova,Liguria,544,43.45,676,53.99,26.470000000000006,10.54,-15.930000000000007,44.5355862,8.9967857
Castel Vittorio,91,70.54,27,20.93,Imperia,Liguria,34,34.69,60,61.22,49.61000000000001,26.53,-23.080000000000005,43.9285566,7.674434
Castelbianco,58,38.41,31,20.53,Savona,Liguria,46,36.22,76,59.84,17.879999999999995,23.620000000000005,5.740000000000009,44.1118166,8.0709079
Castellaro,386,65.65,145,24.66,Imperia,Liguria,152,34.86,271,62.16,40.99000000000001,27.299999999999997,-13.690000000000012,43.865221,7.868748
Castelnuovo Magra,1839,47.75,1717,44.59,La Spezia,Liguria,1622,52.0,1365,43.76,3.1599999999999966,-8.240000000000002,-11.399999999999999,44.0998518,10.0169419
