comune,provincia,regione,url,L'ALTRA EMILIA ROMAGNA,L'ALTRA EMILIA ROMAGNA_perc,MOVIMENTO 3V VACCINI VOGLIAMO VERITA',MOVIMENTO 3V VACCINI VOGLIAMO VERITA'_perc,POTERE AL POPOLO!,POTERE AL POPOLO!_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,VOLT EMILIA-ROMAGNA,VOLT EMILIA-ROMAGNA_perc,+EUROPA - PSI - PRI,+EUROPA - PSI - PRI_perc,BONACCINI PRESIDENTE,BONACCINI PRESIDENTE_perc,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA_perc,EUROPA VERDE,EUROPA VERDE_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,LEGA,LEGA_perc,FORZA ITALIA,FORZA ITALIA_perc,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!_perc,GIOVANI PER L'AMBIENTE,GIOVANI PER L'AMBIENTE_perc,TESORO CALABRIA CARLO TANSI PRESIDENTE,TESORO CALABRIA CARLO TANSI PRESIDENTE_perc,CALABRIA PULITA CON CARLO TANSI,CALABRIA PULITA CON CARLO TANSI_perc,CALABRIA LIBERA CON CARLO TANSI,CALABRIA LIBERA CON CARLO TANSI_perc,IO RESTO IN CALABRIA CON CALLIPO,IO RESTO IN CALABRIA CON CALLIPO_perc,DEMOCRATICI PROGRESSISTI CALABRIA,DEMOCRATICI PROGRESSISTI CALABRIA_perc,FORZA ITALIA BERLUSCONI PER SANTELLI,FORZA ITALIA BERLUSCONI PER SANTELLI_perc,JOLE SANTELLI PRESIDENTE,JOLE SANTELLI PRESIDENTE_perc,LEGA SALVINI CALABRIA,LEGA SALVINI CALABRIA_perc,GIORGIA MELONI FRATELLI D'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA_perc,CASA DELLE LIBERTA',CASA DELLE LIBERTA'_perc,CALABRIA LIBERTAS UNIONE DI CENTRO,CALABRIA LIBERTAS UNIONE DI CENTRO_perc,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL_perc,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT_perc,LUGLI STEFANO_total_votes,LUGLI STEFANO_total_perc,BATTAGLIA DOMENICO_total_votes,BATTAGLIA DOMENICO_total_perc,COLLOT MARTA_total_votes,COLLOT MARTA_total_perc,BENINI SIMONE_total_votes,BENINI SIMONE_total_perc,BONACCINI STEFANO_total_votes,BONACCINI STEFANO_total_perc,BERGAMINI LAURA_total_votes,BERGAMINI LAURA_total_perc,BORGONZONI LUCIA_total_votes,BORGONZONI LUCIA_total_perc,TANSI CARLO_total_votes,TANSI CARLO_total_perc,CALLIPO FILIPPO_total_votes,CALLIPO FILIPPO_total_perc,SANTELLI JOLE_total_votes,SANTELLI JOLE_total_perc,AIELLO FRANCESCO_total_votes,AIELLO FRANCESCO_total_perc
STILO,,,,0,0.0,0,0.0,0,0.0,0,0.0,106,8.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,41,3.32,0,0.0,0,0.0,13,1.05,201,16.28,414,33.52,23,1.86,64,5.18,62,5.02,210,17.0,45,3.64,2,0.16,27,2.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42,3.4,321,25.99,819,66.32,30,2.43
TAURIANOVA,,,,0,0.0,0,0.0,0,0.0,0,0.0,859,14.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,126,2.06,0,0.0,0,0.0,209,3.42,67,1.1,984,16.1,450,7.36,1311,21.45,686,11.23,264,4.32,488,7.99,19,0.31,279,4.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,160,2.62,1257,20.57,4216,68.99,310,5.07
TERRANOVA SAPPO MINULIO,,,,0,0.0,0,0.0,0,0.0,0,0.0,6,2.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.91,0,0.0,0,0.0,9,4.31,4,1.91,37,17.7,9,4.31,25,11.96,82,39.23,4,1.91,5,2.39,1,0.48,18,8.61,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.91,19,9.09,162,77.51,19,9.09
VARAPODIO,,,,0,0.0,0,0.0,0,0.0,0,0.0,38,3.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,1.58,0,0.0,0,0.0,25,2.08,19,1.58,131,10.88,60,4.98,48,3.99,691,57.39,8,0.66,33,2.74,6,0.5,60,4.98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,1.91,92,7.64,980,81.4,67,5.56
VILLA SAN GIOVANNI,,,,0,0.0,0,0.0,0,0.0,0,0.0,1137,20.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,244,4.33,0,0.0,0,0.0,285,5.05,227,4.02,677,12.0,270,4.79,414,7.34,830,14.72,143,2.54,706,12.52,32,0.57,327,5.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,260,4.61,1774,31.45,3075,54.52,371,6.58
ISCA SULLO IONIO,,,,0,0.0,0,0.0,0,0.0,0,0.0,174,24.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,3.59,0,0.0,0,0.0,36,5.16,6,0.86,53,7.6,19,2.73,108,15.49,38,5.45,169,24.25,20,2.87,4,0.57,26,3.73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,3.59,218,31.28,408,58.54,31,4.45
JACURSO,,,,0,0.0,0,0.0,0,0.0,0,0.0,44,14.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,3.64,0,0.0,0,0.0,62,20.53,10,3.31,47,15.56,20,6.62,33,10.93,17,5.63,17,5.63,13,4.3,1,0.33,6,1.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3.97,124,41.06,150,49.67,9,2.98
LAMEZIA TERME,,,,0,0.0,0,0.0,0,0.0,0,0.0,2948,10.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1511,5.47,0,0.0,0,0.0,2589,9.38,510,1.85,2594,9.4,3909,14.16,3695,13.39,1684,6.1,1841,6.67,1974,7.15,109,0.39,1510,5.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1896,6.87,7218,26.15,16006,57.99,1786,6.47
MAGISANO,,,,0,0.0,0,0.0,0,0.0,0,0.0,98,15.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,1.73,0,0.0,0,0.0,34,5.34,34,5.34,261,40.97,9,1.41,85,13.34,49,7.69,20,3.14,0,0.0,4,0.63,12,1.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,1.73,169,26.53,426,66.88,16,2.51
MAIDA,,,,0,0.0,0,0.0,0,0.0,0,0.0,348,17.98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,72,3.72,0,0.0,0,0.0,150,7.75,54,2.79,249,12.87,139,7.18,269,13.9,356,18.4,43,2.22,44,2.27,8,0.41,97,5.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73,3.77,598,30.9,1103,57.0,110,5.68
