comune,provincia,regione,url,L'ALTRA EMILIA ROMAGNA,L'ALTRA EMILIA ROMAGNA_perc,MOVIMENTO 3V VACCINI VOGLIAMO VERITA',MOVIMENTO 3V VACCINI VOGLIAMO VERITA'_perc,POTERE AL POPOLO!,POTERE AL POPOLO!_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,VOLT EMILIA-ROMAGNA,VOLT EMILIA-ROMAGNA_perc,+EUROPA - PSI - PRI,+EUROPA - PSI - PRI_perc,BONACCINI PRESIDENTE,BONACCINI PRESIDENTE_perc,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA_perc,EUROPA VERDE,EUROPA VERDE_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,LEGA,LEGA_perc,FORZA ITALIA,FORZA ITALIA_perc,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!_perc,GIOVANI PER L'AMBIENTE,GIOVANI PER L'AMBIENTE_perc,TESORO CALABRIA CARLO TANSI PRESIDENTE,TESORO CALABRIA CARLO TANSI PRESIDENTE_perc,CALABRIA PULITA CON CARLO TANSI,CALABRIA PULITA CON CARLO TANSI_perc,CALABRIA LIBERA CON CARLO TANSI,CALABRIA LIBERA CON CARLO TANSI_perc,IO RESTO IN CALABRIA CON CALLIPO,IO RESTO IN CALABRIA CON CALLIPO_perc,DEMOCRATICI PROGRESSISTI CALABRIA,DEMOCRATICI PROGRESSISTI CALABRIA_perc,FORZA ITALIA BERLUSCONI PER SANTELLI,FORZA ITALIA BERLUSCONI PER SANTELLI_perc,JOLE SANTELLI PRESIDENTE,JOLE SANTELLI PRESIDENTE_perc,LEGA SALVINI CALABRIA,LEGA SALVINI CALABRIA_perc,GIORGIA MELONI FRATELLI D'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA_perc,CASA DELLE LIBERTA',CASA DELLE LIBERTA'_perc,CALABRIA LIBERTAS UNIONE DI CENTRO,CALABRIA LIBERTAS UNIONE DI CENTRO_perc,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL_perc,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT_perc,LUGLI STEFANO_total_votes,LUGLI STEFANO_total_perc,BATTAGLIA DOMENICO_total_votes,BATTAGLIA DOMENICO_total_perc,COLLOT MARTA_total_votes,COLLOT MARTA_total_perc,BENINI SIMONE_total_votes,BENINI SIMONE_total_perc,BONACCINI STEFANO_total_votes,BONACCINI STEFANO_total_perc,BERGAMINI LAURA_total_votes,BERGAMINI LAURA_total_perc,BORGONZONI LUCIA_total_votes,BORGONZONI LUCIA_total_perc,TANSI CARLO_total_votes,TANSI CARLO_total_perc,CALLIPO FILIPPO_total_votes,CALLIPO FILIPPO_total_perc,SANTELLI JOLE_total_votes,SANTELLI JOLE_total_perc,AIELLO FRANCESCO_total_votes,AIELLO FRANCESCO_total_perc
SALUDECIO,,,,3,0.21,17,1.19,0,0.0,78,5.44,332,23.15,2,0.14,9,0.63,94,6.56,8,0.56,21,1.46,11,0.77,566,39.47,43,3.0,16,1.12,87,6.07,21,1.46,5,0.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.21,14,0.98,0,0.0,82,5.72,523,36.47,12,0.84,759,52.93,0,0.0,0,0.0,0,0.0,0,0.0
SAN CLEMENTE,,,,7,0.27,22,0.86,0,0.0,178,6.92,677,26.33,2,0.08,22,0.86,130,5.06,18,0.7,27,1.05,13,0.51,965,37.53,80,3.11,41,1.59,161,6.26,8,0.31,10,0.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.31,22,0.86,0,0.0,151,5.87,1011,39.32,9,0.35,1304,50.72,0,0.0,0,0.0,0,0.0,0,0.0
SAN GIOVANNI IN MARIGNANO,,,,6,0.12,52,1.04,0,0.0,237,4.74,1614,32.31,11,0.22,57,1.14,209,4.18,56,1.12,104,2.08,24,0.48,1597,31.97,132,2.64,93,1.86,291,5.82,12,0.24,20,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.12,61,1.22,0,0.0,229,4.58,2337,46.78,34,0.68,2199,44.02,0,0.0,0,0.0,0,0.0,0,0.0
SAN LEO,,,,1,0.06,27,1.62,0,0.0,54,3.24,484,29.05,8,0.48,15,0.9,58,3.48,20,1.2,24,1.44,10,0.6,663,39.8,33,1.98,29,1.74,104,6.24,9,0.54,3,0.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.18,24,1.44,0,0.0,40,2.4,681,40.88,11,0.66,865,51.92,0,0.0,0,0.0,0,0.0,0,0.0
SANT'AGATA FELTRIA,,,,3,0.25,8,0.67,0,0.0,64,5.39,347,29.23,5,0.42,15,1.26,33,2.78,16,1.35,14,1.18,5,0.42,451,37.99,15,1.26,8,0.67,116,9.77,3,0.25,5,0.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.17,8,0.67,0,0.0,44,3.71,497,41.87,5,0.42,604,50.88,0,0.0,0,0.0,0,0.0,0,0.0
SANTARCANGELO DI ROMAGNA,,,,42,0.33,182,1.44,0,0.0,511,4.05,4041,32.05,26,0.21,157,1.25,595,4.72,473,3.75,190,1.51,62,0.49,4077,32.34,292,2.32,163,1.29,663,5.26,45,0.36,22,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39,0.31,163,1.29,0,0.0,421,3.34,6223,49.36,57,0.45,5432,43.09,0,0.0,0,0.0,0,0.0,0,0.0
TALAMELLO,,,,3,0.47,2,0.31,0,0.0,22,3.44,188,29.42,3,0.47,7,1.1,44,6.89,5,0.78,6,0.94,7,1.1,245,38.34,18,2.82,7,1.1,35,5.48,1,0.16,1,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.31,2,0.31,0,0.0,12,1.88,291,45.54,9,1.41,307,48.04,0,0.0,0,0.0,0,0.0,0,0.0
VERUCCHIO,,,,10,0.18,131,2.36,0,0.0,285,5.14,1669,30.08,28,0.5,40,0.72,263,4.74,99,1.78,63,1.14,30,0.54,1829,32.97,138,2.49,174,3.14,310,5.59,23,0.41,10,0.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.18,118,2.13,0,0.0,250,4.51,2464,44.41,31,0.56,2554,46.03,0,0.0,0,0.0,0,0.0,0,0.0
BRISIGHELLA,,,,10,0.24,28,0.66,15,0.36,156,3.7,1167,27.67,9,0.21,43,1.02,173,4.1,203,4.81,79,1.87,0,0.0,1346,31.92,60,1.42,45,1.07,525,12.45,11,0.26,8,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.17,29,0.69,15,0.36,117,2.77,1897,44.98,0,0.0,2049,48.59,0,0.0,0,0.0,0,0.0,0,0.0
CASOLA VALSENIO,,,,8,0.53,3,0.2,7,0.47,36,2.39,546,36.3,0,0.0,20,1.33,71,4.72,46,3.06,17,1.13,0,0.0,450,29.92,27,1.8,13,0.86,120,7.98,4,0.27,2,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.53,4,0.27,8,0.53,28,1.86,780,51.86,0,0.0,641,42.62,0,0.0,0,0.0,0,0.0,0,0.0
CASTEL BOLOGNESE,,,,7,0.14,31,0.6,23,0.45,209,4.04,1617,31.29,21,0.41,60,1.16,211,4.08,218,4.22,62,1.2,0,0.0,1606,31.08,155,3.0,59,1.14,375,7.26,13,0.25,17,0.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.12,33,0.64,21,0.41,194,3.75,2493,48.25,0,0.0,2287,44.26,0,0.0,0,0.0,0,0.0,0,0.0
CERVIA,,,,52,0.33,130,0.83,60,0.38,700,4.49,4928,31.58,56,0.36,544,3.49,443,2.84,250,1.6,229,1.47,0,0.0,5010,32.11,396,2.54,157,1.01,1108,7.1,35,0.22,55,0.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27,0.17,127,0.81,50,0.32,555,3.56,7449,47.74,0,0.0,7036,45.09,0,0.0,0,0.0,0,0.0,0,0.0
CONSELICE,,,,29,0.61,41,0.86,18,0.38,218,4.58,1972,41.43,11,0.23,52,1.09,157,3.3,57,1.2,37,0.78,0,0.0,1394,29.29,75,1.58,59,1.24,219,4.6,6,0.13,16,0.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,0.55,39,0.82,15,0.32,184,3.87,2550,53.57,0,0.0,1826,38.36,0,0.0,0,0.0,0,0.0,0,0.0
COTIGNOLA,,,,7,0.16,13,0.3,14,0.32,173,4.0,1551,35.83,10,0.23,65,1.5,161,3.72,110,2.54,69,1.59,0,0.0,1317,30.42,89,2.06,79,1.82,229,5.29,19,0.44,12,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.12,13,0.3,15,0.35,135,3.12,2232,51.56,0,0.0,1795,41.46,0,0.0,0,0.0,0,0.0,0,0.0
FAENZA,,,,97,0.3,293,0.91,177,0.55,1427,4.41,10706,33.1,106,0.33,550,1.7,1717,5.31,1404,4.34,763,2.36,0,0.0,8701,26.9,619,1.91,330,1.02,2263,7.0,112,0.35,90,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,74,0.23,267,0.83,138,0.43,1065,3.29,17668,54.62,0,0.0,12548,38.79,0,0.0,0,0.0,0,0.0,0,0.0
FUSIGNANO,,,,17,0.39,27,0.62,17,0.39,149,3.41,1820,41.7,5,0.11,72,1.65,128,2.93,62,1.42,81,1.86,0,0.0,1222,28.0,72,1.65,53,1.21,190,4.35,11,0.25,14,0.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.39,25,0.57,15,0.34,122,2.79,2446,56.04,0,0.0,1635,37.46,0,0.0,0,0.0,0,0.0,0,0.0
LUGO,,,,71,0.4,93,0.52,52,0.29,631,3.52,6116,34.09,86,0.48,301,1.68,582,3.24,375,2.09,453,2.52,0,0.0,5386,30.02,431,2.4,329,1.83,1217,6.78,64,0.36,53,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,51,0.28,83,0.46,42,0.23,524,2.92,9083,50.63,0,0.0,7789,43.41,0,0.0,0,0.0,0,0.0,0,0.0
MASSA LOMBARDA,,,,28,0.56,17,0.34,17,0.34,261,5.19,2109,41.96,13,0.26,71,1.41,178,3.54,134,2.67,56,1.11,0,0.0,1271,25.29,71,1.41,50,0.99,288,5.73,9,0.18,15,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,0.52,16,0.32,18,0.36,226,4.5,2848,56.67,0,0.0,1779,35.4,0,0.0,0,0.0,0,0.0,0,0.0
RAVENNA,,,,271,0.32,497,0.58,412,0.48,4551,5.32,29003,33.93,388,0.45,2066,2.42,2788,3.26,2556,2.99,1590,1.86,0,0.0,23376,27.35,2129,2.49,1011,1.18,7073,8.27,236,0.28,351,0.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,220,0.26,457,0.53,318,0.37,3492,4.09,43912,51.37,0,0.0,35309,41.31,0,0.0,0,0.0,0,0.0,0,0.0
RIOLO TERME,,,,9,0.29,14,0.45,15,0.48,163,5.18,1102,35.03,5,0.16,50,1.59,140,4.45,75,2.38,35,1.11,0,0.0,948,30.13,69,2.19,41,1.3,242,7.69,17,0.54,12,0.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.19,16,0.51,12,0.38,137,4.35,1545,49.11,0,0.0,1367,43.45,0,0.0,0,0.0,0,0.0,0,0.0
RUSSI,,,,41,0.6,58,0.85,34,0.5,290,4.25,2020,29.63,31,0.45,166,2.44,267,3.92,215,3.15,114,1.67,0,0.0,2075,30.44,191,2.8,102,1.5,497,7.29,15,0.22,16,0.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,0.48,52,0.76,33,0.48,258,3.78,3239,47.51,0,0.0,3018,44.27,0,0.0,0,0.0,0,0.0,0,0.0
SANT'AGATA SUL SANTERNO,,,,4,0.26,3,0.19,3,0.19,78,5.02,450,28.94,8,0.51,22,1.41,63,4.05,32,2.06,43,2.77,0,0.0,528,33.95,34,2.19,20,1.29,114,7.33,5,0.32,9,0.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.19,3,0.19,3,0.19,62,3.99,704,45.27,0,0.0,741,47.65,0,0.0,0,0.0,0,0.0,0,0.0
SOLAROLO,,,,24,0.99,12,0.49,14,0.58,80,3.29,808,33.22,3,0.12,27,1.11,110,4.52,80,3.29,28,1.15,0,0.0,759,31.21,47,1.93,28,1.15,152,6.25,2,0.08,6,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.29,13,0.53,12,0.49,68,2.8,1205,49.55,0,0.0,1047,43.05,0,0.0,0,0.0,0,0.0,0,0.0
ARGENTA,,,,29,0.25,33,0.28,0,0.0,466,3.99,3874,33.14,38,0.33,194,1.66,352,3.01,151,1.29,111,0.95,0,0.0,3978,34.03,270,2.31,104,0.89,1017,8.7,0,0.0,30,0.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,0.18,29,0.25,0,0.0,383,3.28,5341,45.68,0,0.0,5624,48.11,0,0.0,0,0.0,0,0.0,0,0.0
BONDENO,,,,26,0.34,14,0.18,0,0.0,196,2.56,1970,25.75,21,0.27,68,0.89,235,3.07,97,1.27,80,1.05,0,0.0,3690,48.24,138,1.8,61,0.8,476,6.22,0,0.0,21,0.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,0.27,14,0.18,0,0.0,148,1.93,2827,36.95,0,0.0,4453,58.21,0,0.0,0,0.0,0,0.0,0,0.0
CENTO,,,,70,0.37,66,0.35,0,0.0,871,4.65,3278,17.51,50,0.27,142,0.76,1714,9.16,274,1.46,217,1.16,0,0.0,7765,41.48,468,2.5,195,1.04,1764,9.42,0,0.0,76,0.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,61,0.33,64,0.34,0,0.0,739,3.95,6750,36.06,0,0.0,10673,57.02,0,0.0,0,0.0,0,0.0,0,0.0
CODIGORO,,,,23,0.38,61,1.01,0,0.0,289,4.77,1306,21.55,12,0.2,84,1.39,111,1.83,71,1.17,63,1.04,0,0.0,2783,45.92,188,3.1,116,1.91,540,8.91,0,0.0,25,0.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.33,56,0.92,0,0.0,261,4.31,1811,29.88,0,0.0,3735,61.63,0,0.0,0,0.0,0,0.0,0,0.0
COMACCHIO,,,,51,0.45,79,0.7,0,0.0,423,3.74,2099,18.54,17,0.15,79,0.7,203,1.79,189,1.67,75,0.66,0,0.0,6003,53.03,357,3.15,79,0.7,914,8.07,0,0.0,31,0.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,43,0.38,87,0.77,0,0.0,347,3.07,2922,25.82,0,0.0,7589,67.05,0,0.0,0,0.0,0,0.0,0,0.0
COPPARO,,,,31,0.34,22,0.24,0,0.0,355,3.92,2426,26.79,34,0.38,80,0.88,279,3.08,198,2.19,75,0.83,0,0.0,3614,39.9,244,2.69,133,1.47,742,8.19,0,0.0,39,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,0.36,24,0.26,0,0.0,323,3.57,3445,38.04,0,0.0,5019,55.42,0,0.0,0,0.0,0,0.0,0,0.0
FERRARA,,,,244,0.34,360,0.5,0,0.0,2669,3.68,19779,27.29,256,0.35,1125,1.55,2894,3.99,3481,4.8,1154,1.59,0,0.0,22078,30.47,2085,2.88,1216,1.68,6450,8.9,0,0.0,293,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,192,0.26,348,0.48,0,0.0,2113,2.92,34020,46.95,0,0.0,34162,47.14,0,0.0,0,0.0,0,0.0,0,0.0
FISCAGLIA,,,,21,0.46,19,0.42,0,0.0,191,4.22,1310,28.94,10,0.22,25,0.55,130,2.87,54,1.19,35,0.77,0,0.0,1872,41.35,92,2.03,47,1.04,340,7.51,0,0.0,10,0.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,0.46,19,0.42,0,0.0,173,3.82,1715,37.88,0,0.0,2447,54.05,0,0.0,0,0.0,0,0.0,0,0.0
GORO,,,,2,0.09,6,0.27,0,0.0,55,2.48,326,14.72,3,0.14,19,0.86,31,1.4,10,0.45,4,0.18,0,0.0,1249,56.39,51,2.3,202,9.12,138,6.23,0,0.0,2,0.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.09,7,0.32,0,0.0,48,2.17,421,19.01,0,0.0,1666,75.21,0,0.0,0,0.0,0,0.0,0,0.0
JOLANDA DI SAVOIA,,,,5,0.33,4,0.27,0,0.0,59,3.95,392,26.24,5,0.33,9,0.6,30,2.01,16,1.07,18,1.2,0,0.0,450,30.12,27,1.81,298,19.95,74,4.95,0,0.0,5,0.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.2,5,0.33,0,0.0,55,3.68,505,33.8,0,0.0,887,59.37,0,0.0,0,0.0,0,0.0,0,0.0
LAGOSANTO,,,,3,0.11,34,1.27,0,0.0,129,4.82,531,19.84,0,0.0,26,0.97,71,2.65,24,0.9,13,0.49,0,0.0,1370,51.18,69,2.58,25,0.93,179,6.69,0,0.0,5,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.15,34,1.27,0,0.0,104,3.88,753,28.13,0,0.0,1705,63.69,0,0.0,0,0.0,0,0.0,0,0.0
MASI TORELLO,,,,5,0.36,3,0.22,0,0.0,56,4.05,265,19.15,1,0.07,10,0.72,24,1.73,19,1.37,17,1.23,0,0.0,636,45.95,37,2.67,18,1.3,205,14.81,0,0.0,7,0.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.36,4,0.29,0,0.0,57,4.12,356,25.72,0,0.0,926,66.91,0,0.0,0,0.0,0,0.0,0,0.0
MESOLA,,,,13,0.36,12,0.33,0,0.0,139,3.86,805,22.36,7,0.19,34,0.94,74,2.06,37,1.03,23,0.64,0,0.0,1760,48.89,92,2.56,91,2.53,266,7.39,0,0.0,7,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.33,12,0.33,0,0.0,122,3.39,1059,29.42,0,0.0,2304,64.0,0,0.0,0,0.0,0,0.0,0,0.0
OSTELLATO,,,,39,1.18,42,1.27,0,0.0,111,3.35,854,25.79,9,0.27,34,1.03,56,1.69,36,1.09,24,0.72,0,0.0,1460,44.1,94,2.84,27,0.82,266,8.03,0,0.0,13,0.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38,1.15,38,1.15,0,0.0,102,3.08,1108,33.46,0,0.0,1912,57.75,0,0.0,0,0.0,0,0.0,0,0.0
POGGIO RENATICO,,,,12,0.23,17,0.33,0,0.0,184,3.52,1350,25.84,13,0.25,59,1.13,223,4.27,126,2.41,60,1.15,0,0.0,1943,37.19,124,2.37,86,1.65,478,9.15,0,0.0,24,0.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.31,18,0.34,0,0.0,170,3.25,2138,40.92,0,0.0,2747,52.57,0,0.0,0,0.0,0,0.0,0,0.0
PORTOMAGGIORE,,,,35,0.58,32,0.53,0,0.0,208,3.45,1746,28.92,13,0.22,66,1.09,144,2.39,81,1.34,60,0.99,0,0.0,2425,40.17,273,4.52,64,1.06,463,7.67,0,0.0,16,0.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,0.48,27,0.45,0,0.0,181,3.0,2316,38.36,0,0.0,3328,55.13,0,0.0,0,0.0,0,0.0,0,0.0
RIVA DEL PO,,,,11,0.27,14,0.35,0,0.0,182,4.49,985,24.29,9,0.22,32,0.79,95,2.34,37,0.91,29,0.72,0,0.0,1751,43.18,113,2.79,137,3.38,311,7.67,0,0.0,13,0.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.25,14,0.35,0,0.0,164,4.04,1331,32.82,0,0.0,2414,59.53,0,0.0,0,0.0,0,0.0,0,0.0
TERRE DEL RENO,,,,30,0.55,13,0.24,0,0.0,185,3.41,1211,22.3,19,0.35,62,1.14,226,4.16,92,1.69,53,0.98,0,0.0,2351,43.29,132,2.43,103,1.9,521,9.59,0,0.0,20,0.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.44,14,0.26,0,0.0,159,2.93,1897,34.93,0,0.0,3197,58.87,0,0.0,0,0.0,0,0.0,0,0.0
TRESIGNANA,,,,11,0.29,26,0.69,0,0.0,151,4.0,1128,29.89,3,0.08,22,0.58,91,2.41,63,1.67,46,1.22,0,0.0,1317,34.9,92,2.44,48,1.27,509,13.49,0,0.0,6,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.21,26,0.69,0,0.0,121,3.21,1487,39.4,0,0.0,2039,54.03,0,0.0,0,0.0,0,0.0,0,0.0
VIGARANO MAINARDA,,,,6,0.14,13,0.29,0,0.0,161,3.63,1121,25.29,9,0.2,58,1.31,136,3.07,109,2.46,59,1.33,0,0.0,1803,40.67,92,2.08,60,1.35,420,9.47,0,0.0,17,0.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.16,12,0.27,0,0.0,133,3.0,1693,38.19,0,0.0,2459,55.47,0,0.0,0,0.0,0,0.0,0,0.0
VOGHIERA,,,,6,0.28,12,0.56,0,0.0,89,4.12,521,24.14,9,0.42,34,1.58,61,2.83,30,1.39,15,0.7,0,0.0,846,39.2,80,3.71,33,1.53,204,9.45,0,0.0,10,0.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.32,11,0.51,0,0.0,74,3.43,767,35.54,0,0.0,1238,57.37,0,0.0,0,0.0,0,0.0,0,0.0
ALTO RENO TERME,,,,6,0.15,15,0.39,7,0.18,109,2.8,884,22.72,4,0.1,28,0.72,161,4.14,653,16.79,34,0.87,19,0.49,1253,32.21,76,1.95,55,1.41,352,9.05,0,0.0,7,0.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.08,14,0.36,7,0.18,72,1.85,1903,48.92,23,0.59,1781,45.78,0,0.0,0,0.0,0,0.0,0,0.0
ANZOLA DELL'EMILIA,,,,15,0.21,38,0.54,34,0.48,336,4.79,2953,42.11,32,0.46,88,1.25,362,5.16,250,3.56,115,1.64,36,0.51,1386,19.76,107,1.53,116,1.65,394,5.62,0,0.0,12,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.16,36,0.51,30,0.43,268,3.82,4349,62.01,37,0.53,2128,30.34,0,0.0,0,0.0,0,0.0,0,0.0
